[0m-----------------------------------------------------------------------------------------------------------------------------[0m
[0mShowing VGG16_CIFAR100_Conv2dRFFTFunction_date-20240210-165907.pt[0m
[0m-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::mul_         0.00%       1.118ms         0.42%     184.053ms       1.180ms       0.000us         0.00%     256.250ms       1.643ms           0 b         320 b           0 b           0 b           156            --  
                                              aten::exp         0.16%      70.584ms         0.16%      70.584ms     452.462us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     352.58 Gb     352.58 Gb           156            --  
autograd::engine::evaluate_function: MaxPool2DWithIn...         0.00%     190.000us         0.15%      66.877ms       3.344ms       0.000us         0.00%       7.816ms     390.800us           0 b           0 b      87.02 Mb    -288.98 Mb            20            --  
                          MaxPool2DWithIndicesBackward0         0.00%      90.000us         0.15%      66.687ms       3.334ms       0.000us         0.00%       7.816ms     390.800us           0 b           0 b     376.00 Mb           0 b            20            --  
                 aten::max_pool2d_with_indices_backward         0.00%     313.000us         0.15%      66.597ms       3.330ms       5.556ms         0.03%       7.816ms     390.800us           0 b           0 b     376.00 Mb     282.34 Mb            20            --  
                               Conv2dRFFTPhasorFunction         0.02%       8.739ms         0.14%      60.716ms       1.168ms       0.000us         0.00%        6.388s     122.838ms           0 b           0 b     838.44 Mb    -532.37 Gb            52            --  
                                       aten::contiguous         0.00%      27.000us         0.11%      49.509ms       2.475ms       0.000us         0.00%     861.000us      43.050us           0 b           0 b     102.97 Mb           0 b            20            --  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.00%     624.000us         0.09%      40.087ms     770.904us       0.000us         0.00%      17.429ms     335.173us           0 b           0 b    -837.09 Mb      -1.64 Gb            52            --  
                                CudnnBatchNormBackward0         0.00%     275.000us         0.09%      39.463ms     758.904us       0.000us         0.00%      17.429ms     335.173us           0 b           0 b     843.76 Mb           0 b            52            --  
                        aten::cudnn_batch_norm_backward         0.00%       1.182ms         0.09%      39.188ms     753.615us      17.429ms         0.08%      17.429ms     335.173us           0 b           0 b     843.76 Mb           0 b            52            --  
                                              aten::add         0.01%       2.488ms         0.09%      37.600ms     180.769us        1.670s         7.57%        1.670s       8.029ms           0 b           0 b     177.12 Gb     177.12 Gb           208       491.560  
     autograd::engine::evaluate_function: ReluBackward0         0.00%     452.000us         0.08%      36.261ms     604.350us       0.000us         0.00%      10.111ms     168.517us           0 b           0 b    -857.02 Mb      -1.66 Gb            60            --  
                                          ReluBackward0         0.00%     250.000us         0.08%      35.809ms     596.817us       0.000us         0.00%      10.111ms     168.517us           0 b           0 b     842.78 Mb           0 b            60            --  
                               aten::threshold_backward         0.00%     714.000us         0.08%      35.559ms     592.650us      10.111ms         0.05%      10.111ms     168.517us           0 b           0 b     842.78 Mb     842.78 Mb            60            --  
                                            aten::zero_         0.00%      72.000us         0.04%      17.597ms     549.906us       0.000us         0.00%       1.474ms      46.062us           0 b           0 b           0 b           0 b            32            --  
                                            aten::randn         0.00%      89.000us         0.03%      14.114ms       1.764ms       0.000us         0.00%       0.000us       0.000us       9.19 Mb           0 b           0 b           0 b             8            --  
                                          aten::normal_         0.03%      13.918ms         0.03%      13.918ms       1.740ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             8            --  
                                            aten::empty         0.03%      11.378ms         0.03%      11.378ms       4.195us       0.000us         0.00%       0.000us       0.000us       9.19 Mb       9.19 Mb     360.07 Gb     360.07 Gb          2712            --  
                                             aten::real         0.00%       1.802ms         0.01%       5.003ms       8.018us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           624            --  
                                       aten::batch_norm         0.00%     123.000us         0.01%       4.423ms      85.058us       0.000us         0.00%      11.832ms     227.538us           0 b           0 b     843.51 Mb           0 b            52            --  
                           aten::_batch_norm_impl_index         0.00%     179.000us         0.01%       4.300ms      82.692us       0.000us         0.00%      11.832ms     227.538us           0 b           0 b     843.51 Mb           0 b            52            --  
                                 aten::cudnn_batch_norm         0.00%       2.091ms         0.01%       4.121ms      79.250us      11.832ms         0.05%      11.832ms     227.538us           0 b           0 b     843.51 Mb           0 b            52            --  
                                       aten::empty_like         0.00%       1.263ms         0.01%       3.953ms       6.960us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      62.63 Gb           0 b           568            --  
                                          aten::resize_         0.01%       3.904ms         0.01%       3.904ms       2.879us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     154.24 Gb     154.24 Gb          1356            --  
                                            aten::slice         0.01%       2.581ms         0.01%       3.562ms       2.740us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1300            --  
                                    aten::empty_strided         0.01%       2.739ms         0.01%       2.739ms       4.998us       0.000us         0.00%       0.000us       0.000us       9.19 Mb       9.19 Mb      91.38 Gb      91.38 Gb           548            --  
                                           aten::narrow         0.00%     969.000us         0.01%       2.671ms       3.669us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           728            --  
                                       aten::as_strided         0.01%       2.387ms         0.01%       2.387ms       0.828us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2884            --  
                                           aten::select         0.00%       1.231ms         0.00%       1.815ms       2.909us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           624            --  
    autograd::engine::evaluate_function: AddmmBackward0         0.00%     262.000us         0.00%       1.639ms     136.583us       0.000us         0.00%      16.124ms       1.344ms           0 b           0 b       1.79 Gb      -2.53 Mb            12            --  
                                          aten::reshape         0.00%       1.141ms         0.00%       1.556ms       3.297us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           472            --  
                                            aten::relu_         0.00%     545.000us         0.00%       1.523ms      25.383us       0.000us         0.00%       6.892ms     114.867us           0 b           0 b           0 b           0 b            60            --  
                                     aten::view_as_real         0.00%       1.386ms         0.00%       1.386ms       2.221us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           624            --  
                                          aten::permute         0.00%     800.000us         0.00%       1.103ms       2.651us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           416            --  
                                         AddmmBackward0         0.00%     224.000us         0.00%       1.073ms      89.417us       0.000us         0.00%      16.040ms       1.337ms           0 b           0 b       1.79 Gb           0 b            12            --  
                                        aten::unsqueeze         0.00%     817.000us         0.00%       1.054ms       4.054us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           260            --  
                                       aten::clamp_min_         0.00%     479.000us         0.00%     978.000us      16.300us       6.892ms         0.03%       6.892ms     114.867us           0 b           0 b           0 b           0 b            60            --  
                                           aten::linear         0.00%      92.000us         0.00%     889.000us      74.083us       0.000us         0.00%      23.771ms       1.981ms           0 b           0 b     520.00 Kb           0 b            12            --  
                                            aten::addmm         0.00%     414.000us         0.00%     693.000us      57.750us      23.771ms         0.11%      23.771ms       1.981ms           0 b           0 b     520.00 Kb     520.00 Kb            12      3838.312  
                                       aten::max_pool2d         0.00%      91.000us         0.00%     664.000us      33.200us       0.000us         0.00%       2.868ms     143.400us           0 b           0 b     282.00 Mb           0 b            20            --  
                                               aten::mm         0.00%     338.000us         0.00%     614.000us      25.583us      16.040ms         0.07%      16.040ms     668.333us           0 b           0 b       1.79 Gb       1.79 Gb            24      7676.625  
                          aten::max_pool2d_with_indices         0.00%     394.000us         0.00%     573.000us      28.650us       2.868ms         0.01%       2.868ms     143.400us           0 b           0 b     282.00 Mb     282.00 Mb            20            --  
                                   aten::_reshape_alias         0.00%     431.000us         0.00%     431.000us       0.905us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           476            --  
                                                aten::t         0.00%     186.000us         0.00%     413.000us       6.883us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            60            --  
                                            aten::_conj         0.00%     353.000us         0.00%     407.000us       3.913us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           104            --  
                                  cudaStreamSynchronize         0.00%     373.000us         0.00%     373.000us      31.083us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            12            --  
                                          aten::dropout         0.00%      21.000us         0.00%     342.000us      42.750us       0.000us         0.00%      38.000us       4.750us           0 b           0 b     640.00 Kb           0 b             8            --  
                                   aten::native_dropout         0.00%     112.000us         0.00%     321.000us      40.125us      38.000us         0.00%      38.000us       4.750us           0 b           0 b     640.00 Kb           0 b             8            --  
autograd::engine::evaluate_function: NativeDropoutBa...         0.00%      59.000us         0.00%     290.000us      36.250us       0.000us         0.00%      15.000us       1.875us           0 b           0 b    -128.00 Kb    -640.00 Kb             8            --  
                                      aten::as_strided_         0.00%     289.000us         0.00%     289.000us       0.695us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -8.64 Gb      -8.64 Gb           416            --  
autograd::engine::evaluate_function: AdaptiveAvgPool...         0.00%      32.000us         0.00%     232.000us      58.000us       0.000us         0.00%     116.000us      29.000us           0 b           0 b      -1.53 Mb      -3.06 Mb             4            --  
                                 NativeDropoutBackward0         0.00%      26.000us         0.00%     231.000us      28.875us       0.000us         0.00%      15.000us       1.875us           0 b           0 b     512.00 Kb           0 b             8            --  
                                        aten::transpose         0.00%     161.000us         0.00%     227.000us       3.783us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            60            --  
                          aten::native_dropout_backward         0.00%      69.000us         0.00%     205.000us      25.625us      15.000us         0.00%      15.000us       1.875us           0 b           0 b     512.00 Kb           0 b             8            --  
                             AdaptiveAvgPool2DBackward0         0.00%      21.000us         0.00%     200.000us      50.000us       0.000us         0.00%     116.000us      29.000us           0 b           0 b       1.53 Mb           0 b             4            --  
                                             aten::view         0.00%     185.000us         0.00%     185.000us       1.595us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           116            --  
                    aten::_adaptive_avg_pool2d_backward         0.00%      36.000us         0.00%     179.000us      44.750us     109.000us         0.00%     116.000us      29.000us           0 b           0 b       1.53 Mb           0 b             4            --  
                                     cudaGetErrorString         0.00%     169.000us         0.00%     169.000us       0.143us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1184            --  
                                 cudaFuncSetCacheConfig         0.00%     157.000us         0.00%     157.000us       0.377us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           416            --  
        autograd::engine::evaluate_function: TBackward0         0.00%      58.000us         0.00%     155.000us      12.917us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            12            --  
                              aten::adaptive_avg_pool2d         0.00%       9.000us         0.00%     143.000us      35.750us       0.000us         0.00%     154.000us      38.500us           0 b           0 b       1.53 Mb           0 b             4            --  
                             aten::_adaptive_avg_pool2d         0.00%      51.000us         0.00%     134.000us      33.500us     154.000us         0.00%     154.000us      38.500us           0 b           0 b       1.53 Mb           0 b             4            --  
                                       aten::zeros_like         0.00%      10.000us         0.00%     118.000us      29.500us       0.000us         0.00%       7.000us       1.750us           0 b           0 b       1.53 Mb           0 b             4            --  
                                        cudaMemsetAsync         0.00%     106.000us         0.00%     106.000us       8.833us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b         512 b            12            --  
                                            aten::zeros         0.00%      56.000us         0.00%     101.000us      12.625us       0.000us         0.00%       0.000us       0.000us          32 b           0 b           0 b           0 b             8            --  
                                             TBackward0         0.00%      23.000us         0.00%      97.000us       8.083us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            12            --  
                                            aten::alias         0.00%      54.000us         0.00%      54.000us       0.519us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           104            --  
                                           aten::expand         0.00%      39.000us         0.00%      51.000us       3.188us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            16            --  
autograd::engine::evaluate_function: ReshapeAliasBac...         0.00%      14.000us         0.00%      41.000us      10.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
                                           aten::detach         0.00%      14.000us         0.00%      37.000us       9.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
                                          aten::flatten         0.00%      16.000us         0.00%      32.000us       8.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 44.108s
Self CUDA time total: 22.075s
[0m
