[0m-----------------------------------------------------------------------------------------------------------------------------[0m
[0mShowing VGG16_CIFAR100_Conv2dRFFTFunction_date-20240210-165907.pt[0m
[0m-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                               aten::threshold_backward         0.00%     731.000us         0.22%     123.339ms       2.056ms      10.118ms         0.04%      10.118ms     168.633us           0 b           0 b     837.59 Mb     837.59 Mb            60            --  
                                       aten::contiguous         0.00%      33.000us         0.22%     119.782ms       5.989ms       0.000us         0.00%     857.000us      42.850us           0 b           0 b     103.87 Mb           0 b            20            --  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.00%     485.000us         0.15%      85.311ms       1.641ms       0.000us         0.00%      17.470ms     335.962us           0 b           0 b    -834.34 Mb      -1.63 Gb            52            --  
                                CudnnBatchNormBackward0         0.00%     202.000us         0.15%      84.826ms       1.631ms       0.000us         0.00%      17.470ms     335.962us           0 b           0 b     839.54 Mb           0 b            52            --  
                        aten::cudnn_batch_norm_backward         0.00%       1.170ms         0.15%      84.624ms       1.627ms      17.470ms         0.06%      17.470ms     335.962us           0 b           0 b     839.54 Mb           0 b            52            --  
                                     Conv2dRFFTFunction         0.02%       8.348ms         0.09%      51.235ms     985.288us       0.000us         0.00%       10.207s     196.291ms           0 b           0 b     836.66 Mb    -619.91 Gb            52            --  
                                              aten::pad         0.01%       4.099ms         0.07%      41.345ms     397.548us       0.000us         0.00%      15.991ms     153.760us           0 b           0 b       1.15 Gb           0 b           104            --  
                                            aten::randn         0.00%      63.000us         0.03%      18.812ms       2.352ms       0.000us         0.00%       0.000us       0.000us       9.19 Mb           0 b           0 b           0 b             8            --  
                                          aten::normal_         0.03%      16.698ms         0.03%      16.698ms       2.087ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             8            --  
                                            aten::empty         0.02%       9.775ms         0.02%       9.775ms       5.504us       0.000us         0.00%       0.000us       0.000us       9.19 Mb       9.19 Mb     360.07 Gb     360.07 Gb          1776            --  
autograd::engine::evaluate_function: MaxPool2DWithIn...         0.00%     149.000us         0.01%       3.977ms     198.850us       0.000us         0.00%       7.806ms     390.300us           0 b           0 b      84.58 Mb    -289.05 Mb            20            --  
                                       aten::batch_norm         0.00%     111.000us         0.01%       3.864ms      74.308us       0.000us         0.00%      11.848ms     227.846us           0 b           0 b     845.10 Mb           0 b            52            --  
                          MaxPool2DWithIndicesBackward0         0.00%      83.000us         0.01%       3.828ms     191.400us       0.000us         0.00%       7.806ms     390.300us           0 b           0 b     373.62 Mb           0 b            20            --  
                           aten::_batch_norm_impl_index         0.00%     194.000us         0.01%       3.753ms      72.173us       0.000us         0.00%      11.848ms     227.846us           0 b           0 b     845.10 Mb           0 b            52            --  
                 aten::max_pool2d_with_indices_backward         0.00%     313.000us         0.01%       3.745ms     187.250us       5.557ms         0.02%       7.806ms     390.300us           0 b           0 b     373.62 Mb     279.06 Mb            20            --  
                                             aten::real         0.00%       1.048ms         0.01%       3.604ms      11.551us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           312            --  
                                 aten::cudnn_batch_norm         0.00%       1.740ms         0.01%       3.559ms      68.442us      11.848ms         0.04%      11.848ms     227.846us           0 b           0 b     845.10 Mb           0 b            52            --  
                                            aten::slice         0.00%       2.531ms         0.01%       3.540ms       2.723us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1300            --  
                                       aten::empty_like         0.00%       1.128ms         0.01%       3.315ms       7.144us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      62.04 Gb           0 b           464            --  
                                             aten::imag         0.00%     898.000us         0.01%       3.253ms      10.426us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           312            --  
                                           aten::narrow         0.00%     871.000us         0.00%       2.640ms       3.626us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           728            --  
                                           aten::select         0.00%       1.940ms         0.00%       2.392ms       3.833us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           624            --  
                                       aten::as_strided         0.00%       2.282ms         0.00%       2.282ms       0.791us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2884            --  
                                     aten::view_as_real         0.00%       1.751ms         0.00%       1.751ms       2.806us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           624            --  
