training_step,training_loss,training_accuracy,training_runtime_forward_ms,training_runtime_backward_ms,validation_loss,validation_accuracy,validation_runtime_forward_ms
312,4.706898212432861,1.4376996755599976,21.840223679527305,0.32460230131880546,,,
625,4.574397087097168,2.6357827186584473,19.61409806395872,0.4124331493347217,,,
938,4.515846252441406,2.555910587310791,19.572376086117742,0.6572108703870743,,,
1251,4.446388244628906,4.872204303741455,19.595556413403717,0.6500615622288883,,,
1564,4.371340751647949,5.2715654373168945,19.606697875946857,0.5719204680226482,,,
1877,4.353059768676758,5.351437568664551,19.60697120275741,0.6163439716393955,,,
2190,4.301156044006348,7.188498497009277,19.613023835439652,0.5535765792043826,,,
2503,4.265018463134766,8.466453552246094,19.644835553230187,0.3959523460354668,,,
2816,4.209985733032227,8.865814208984375,19.652534252443253,0.4031138179210809,,,
3129,4.127406120300293,11.341853141784668,19.647898325047933,0.40365882908193446,,,
3442,4.130127429962158,11.182108879089355,19.664055230423283,0.4085873405392558,,,
3755,4.079741477966309,12.220447540283203,19.65449731380414,0.3995000244900822,,,
4068,4.031843662261963,13.099040985107422,19.63658990284886,0.28815814338553064,,,
4381,3.9934427738189697,14.616613388061523,19.655677314383535,0.41235744143827274,,,
4694,3.9574575424194336,14.13737964630127,19.665353428631924,0.4072239914069922,,,
5007,3.9345576763153076,15.33546257019043,19.661520212031782,0.4043488528210515,,,
5320,3.926941394805908,14.856229782104492,19.663270753317367,0.39248562420899874,,,
5633,3.8614096641540527,16.85303497314453,19.656204103757016,0.4212031253991416,,,
5946,3.850050449371338,14.536741256713867,19.674895729976722,0.4139774071332365,,,
6259,3.8071720600128174,16.05431365966797,19.65203456366405,0.4017553128563939,,,
6572,3.783571243286133,16.773162841796875,19.669211032196355,0.37825608643860864,,,
6885,3.7511889934539795,16.533546447753906,19.63886047323672,0.33999278474920475,,,
7198,3.7113277912139893,19.24920082092285,19.657930662742437,0.3655777928737787,,,
7511,3.7111241817474365,17.97124481201172,19.662925598625176,0.38345918630639586,,,
7824,3.6916425228118896,17.49201202392578,19.67395026796161,0.38859938470700295,,,
8137,3.6972670555114746,18.690095901489258,19.661382709543545,0.37889325390227685,,,
8450,3.637683153152466,17.97124481201172,19.670945482132154,0.37938480179149886,,,
8763,3.645799398422241,18.21086311340332,19.667956692437393,0.375993168963411,,,
9076,3.5957086086273193,21.88498306274414,19.676208281859804,0.38769611487754235,,,
9389,3.624495267868042,18.84984016418457,19.657509954878318,0.400935987028451,,,
9702,3.5395612716674805,22.36421775817871,19.673506422831228,0.4159659980394589,,,
10015,3.566443920135498,19.24920082092285,19.636534666196226,0.33974876038182655,,,
10328,3.5563101768493652,19.329072952270508,19.653901505394103,0.35777764198498224,,,
10641,3.5528769493103027,20.527156829833984,19.675945642942818,0.4073782279468573,,,
10954,3.5185132026672363,20.84664535522461,19.679115138971767,0.4116024215000506,,,
11267,3.4933483600616455,22.12459945678711,19.670013016976487,0.4119155958247261,,,
11580,3.466527223587036,22.12459945678711,19.681244017407536,0.4084394477045955,,,
11893,3.472719430923462,20.686901092529297,19.673407994234523,0.40910984523380145,,,
12206,3.4392495155334473,22.204471588134766,19.683809361804407,0.4150171201830855,,,
12499,,,,,3.0763609409332275,31.939998626708984,18.118928258121013
12811,3.3733954429626465,23.083066940307617,19.674958179172236,0.3987395653899866,,,
13124,3.391425132751465,21.645366668701172,19.66748894832005,0.4166654361703525,,,
13437,3.317722797393799,25.39936065673828,19.670418597543584,0.4041121243097531,,,
13750,3.4060912132263184,22.923322677612305,19.66165489377305,0.35225058468386006,,,
14063,3.3449902534484863,22.84345054626465,19.653947232439876,0.3275704055358046,,,
14376,3.3260486125946045,23.322683334350586,19.67297086176781,0.4145244535165854,,,
14689,3.3592586517333984,21.24600601196289,19.662936298420636,0.40730910179333185,,,
15002,3.2924535274505615,25.159744262695312,19.670490520640303,0.40806519290128834,,,
15315,3.2678494453430176,25.23961639404297,19.66251155581718,0.40421983637748815,,,
15628,3.3064279556274414,23.88178825378418,19.671901239278597,0.39933146998143426,,,
15941,3.3120858669281006,25.958465576171875,19.66593628779006,0.40600350061163737,,,
16254,3.3405745029449463,24.680511474609375,19.674182438050597,0.4054005272662678,,,
16567,3.2780327796936035,25.479232788085938,19.669622551804533,0.39189837325495275,,,
16880,3.271831750869751,26.118209838867188,19.645444667948702,0.28074044769945233,,,
17193,3.2890262603759766,23.88178825378418,19.661295111663044,0.3676128606445873,,,
17506,3.2289624214172363,24.28114891052246,19.67618406152192,0.40650442718697816,,,
17819,3.210005283355713,24.840255737304688,19.672987072136454,0.3999524032726836,,,
18132,3.271960973739624,22.444089889526367,19.679069102476962,0.4086146196618248,,,
18445,3.2369420528411865,24.76038360595703,19.672507580857687,0.4039303944133722,,,
18758,3.1854465007781982,25.87859344482422,19.678803797537526,0.40889637300762505,,,
19071,3.1942965984344482,25.479232788085938,19.6694858943502,0.39872988915671936,,,
19384,3.2027664184570312,23.64217185974121,19.684784864179623,0.39883357838700756,,,
19697,3.249441385269165,23.322683334350586,19.67069683983303,0.3851266048205927,,,
20010,3.2139623165130615,24.60063934326172,19.63962800205706,0.2847602025578959,,,
20323,3.1645939350128174,25.23961639404297,19.677079440401005,0.3944391521592491,,,
20636,3.152531385421753,26.357826232910156,19.68045262530589,0.4046992800487116,,,
20949,3.203850030899048,26.198081970214844,19.68001486203922,0.40290571344546233,,,
21262,3.1679129600524902,26.437698364257812,19.685868566599897,0.4065140677145876,,,
21575,3.1831517219543457,25.479232788085938,19.678291683189403,0.41216560684073084,,,
21888,3.1538898944854736,25.559104919433594,19.685858557113825,0.41066258907698977,,,
22201,3.120910882949829,25.87859344482422,19.67262467161154,0.3968006291518958,,,
22514,3.1306655406951904,27.715654373168945,19.682510080524146,0.4128479657653041,,,
22827,3.1520636081695557,25.079872131347656,19.668810164776094,0.3739664563165305,,,
23140,3.072425603866577,27.7955265045166,19.625274101480507,0.23438866003252828,,,
23453,3.135221004486084,26.03833770751953,19.682703569483834,0.4071333466436916,,,
23766,3.162653923034668,25.559104919433594,19.685807212377888,0.3926515960083983,,,
24079,3.1082041263580322,26.198081970214844,19.678699858367633,0.3705402247060221,,,
24392,3.094421625137329,26.837060928344727,19.684843623790496,0.36651405473105825,,,
24705,3.11875581741333,25.798721313476562,19.67585979463955,0.36634429813193053,,,
24998,,,,,2.6603951454162598,37.349998474121094,18.124128665030003
25310,2.9167747497558594,28.03514289855957,19.63294658083885,49.54294399760021,,,
25623,2.8186798095703125,28.833866119384766,19.57525082003956,47.64912214380103,,,
25936,2.5416696071624756,32.9073486328125,19.592796794522684,47.6701842805448,,,
26249,2.4910707473754883,37.53993606567383,19.5887176611553,47.66441475802336,,,
26562,2.429654598236084,39.13737869262695,19.674866510846744,47.67110924751233,,,
26875,2.3587265014648438,38.41852951049805,19.678023140936993,47.67696576091809,,,
27188,2.3739819526672363,37.380191802978516,19.648040183626424,47.75118825439447,,,
27501,2.2080237865448,44.40894317626953,19.79556960610155,47.9744166231003,,,
27814,2.276721715927124,41.533546447753906,19.77208049628681,48.093432376083854,,,
28127,2.314422369003296,42.0926513671875,19.772199646066934,48.00021333007005,,,
28440,2.1505346298217773,43.61022186279297,19.810125005607027,48.06613171110138,,,
28753,2.0690858364105225,46.32587814331055,19.720143939073854,47.9994174509574,,,
29066,2.142733335494995,46.08626174926758,19.840908138611066,48.100249383586664,,,
29379,2.113062858581543,46.08626174926758,19.801792852318705,47.852203214225675,,,
29692,2.116783857345581,43.051116943359375,19.840017020607146,47.9256040253007,,,
30005,2.0726656913757324,45.20766830444336,19.844570146581997,47.987831607699015,,,
30318,1.9868992567062378,47.28434371948242,19.84198223620939,47.973304022900976,,,
30631,1.980736494064331,47.12459945678711,19.774097128036303,47.991075169164155,,,
30944,1.9536465406417847,48.32268142700195,19.86781150673906,47.974959146767,,,
31257,2.0162429809570312,46.565494537353516,19.866175021226415,47.98317464967124,,,
31570,1.9474389553070068,48.00319290161133,19.797045927935134,47.983565138646966,,,
31883,2.020989179611206,47.04472732543945,19.87619474292182,48.0462537167933,,,
32196,1.9482173919677734,50.319488525390625,19.858708611121195,47.92744275956108,,,
32509,1.9570196866989136,47.6837043762207,19.88289823023656,47.93139630422805,,,
32822,1.940756916999817,51.11820983886719,19.899639482505787,47.873390475496315,,,
33135,1.9310070276260376,48.80191421508789,19.909459169204244,47.824980935063984,,,
33448,1.9739352464675903,46.9648551940918,19.916094196871065,47.899512318186105,,,
33761,1.8676362037658691,48.56229782104492,19.887614376343098,47.87694502133912,,,
34074,1.8496171236038208,51.198081970214844,19.881434572009614,47.89078398682058,,,
34387,1.853441834449768,51.51757049560547,19.904219851897547,47.86758197429843,,,
34700,1.8428531885147095,50.958465576171875,19.90939780308035,47.828731552575725,,,
35013,1.9190665483474731,49.281150817871094,19.917380802642803,47.882326447163905,,,
35326,1.761987566947937,53.03514099121094,19.912208112093587,47.81045483800169,,,
35639,1.7842217683792114,51.43769836425781,19.9195926015179,47.839189585024556,,,
35952,1.8279471397399902,50.718849182128906,19.912211813580114,47.83434833819493,,,
36265,1.8314709663391113,51.597442626953125,19.924330789917192,47.858886742077694,,,
36578,1.8201391696929932,52.635780334472656,19.914995129116047,47.81962789523716,,,
36891,1.8341703414916992,53.51437759399414,19.918844710809353,47.882536693979,,,
37204,1.7671263217926025,51.67731475830078,19.914667589215043,47.78885328398345,,,
37497,,,,,1.9812517166137695,61.04999923706055,18.149310472607613
37809,1.4835307598114014,60.143768310546875,19.870899451045563,47.81110046770626,,,
38122,1.5615899562835693,58.06709289550781,19.631153561722357,47.71760322701055,,,
38435,1.4880200624465942,59.98402404785156,19.90694729998089,47.78369173359947,,,
38748,1.559189796447754,57.10862350463867,19.643361980732255,47.758649832334,,,
39061,1.5311132669448853,58.78594207763672,19.927848356600386,47.821713522219426,,,
39374,1.5398352146148682,59.744407653808594,19.741483592092038,47.79090315770036,,,
39687,1.57893967628479,59.185302734375,19.805588173314025,47.90698919004907,,,
40000,1.5556683540344238,58.70606994628906,19.729914685217338,47.714559438700874,,,
40313,1.6073081493377686,56.46964645385742,19.805721688670474,47.789749626915295,,,
40626,1.6626017093658447,55.351436614990234,19.814032454269764,47.754950535754425,,,
40939,1.4843662977218628,58.70606994628906,19.944530016126723,47.83122547375508,,,
41252,1.616411805152893,56.54951858520508,19.86323162532462,47.89583306438245,,,
41565,1.5153663158416748,57.9073486328125,19.818636365591907,47.791106834674416,,,
41878,1.5880672931671143,56.78913497924805,19.77343208635577,47.87256179478603,,,
42191,1.6120879650115967,56.46964645385742,19.965551745967744,47.90674570126655,,,
42504,1.4894933700561523,60.86261749267578,19.898459731865994,47.997523658572675,,,
42817,1.530380368232727,59.42491912841797,19.94322060634153,47.85855026386036,,,
43130,1.4873356819152832,60.06389617919922,19.9080924161326,47.93571099972192,,,
43443,1.559984803199768,58.38658142089844,19.857191287290554,47.780597195648156,,,
43756,1.514682650566101,58.78594207763672,19.895558837598887,47.86149001778505,,,
44069,1.4865257740020752,61.10223388671875,19.900048621736776,47.81665098362456,,,
44382,1.5090689659118652,57.987220764160156,19.898712456511994,47.84844910946136,,,
44695,1.5338174104690552,58.06709289550781,19.871434131369423,47.84045170861692,,,
45008,1.6069536209106445,56.629390716552734,19.904594392346116,47.85798945889686,,,
45321,1.534129023551941,59.105430603027344,19.960675519495346,47.797707299264474,,,
45634,1.5054938793182373,58.78594207763672,19.87446194734817,48.02898931712769,,,
45947,1.4338698387145996,61.10223388671875,19.892586079744486,47.969793799681405,,,
46260,1.4886512756347656,60.06389617919922,19.90668226878483,47.796698650136925,,,
46573,1.4498342275619507,60.62300109863281,19.898567551050704,47.95442641781161,,,
46886,1.5255118608474731,58.30670928955078,19.92491249459239,47.92251586676025,,,
47199,1.4922101497650146,59.42491912841797,19.978597081793,47.8091741950748,,,
47512,1.4978653192520142,60.143768310546875,19.919690208884475,47.773475452257806,,,
47825,1.484055757522583,61.50159454345703,20.014709308029364,47.812883917706465,,,
48138,1.5431182384490967,59.02555847167969,19.87017387637315,47.850577166667,,,
48451,1.428529977798462,61.82108688354492,19.95075050110634,47.87864264683982,,,
48764,1.5018185377120972,60.143768310546875,19.878426156104943,47.818731278561934,,,
49077,1.5059869289398193,58.78594207763672,19.931872134296277,47.930744640267314,,,
49390,1.4311000108718872,61.421722412109375,19.816445573545494,47.807331759327894,,,
49703,1.4073578119277954,60.782745361328125,19.850671707917325,47.77970468512358,,,
