training_step,training_loss,training_accuracy,training_runtime_forward_ms,training_runtime_backward_ms,validation_loss,validation_accuracy,validation_runtime_forward_ms
312,0.5737495422363281,82.26837158203125,2570.1171233535956,4379.637613499793,,,
625,0.5075913071632385,84.9041519165039,2564.165164404117,4379.028623762983,,,
938,0.4725901782512665,85.86261749267578,2564.2226016083464,4379.179265552435,,,
1251,0.4953664243221283,84.82427978515625,2564.1825164849765,4379.258621733981,,,
1564,0.4457113742828369,86.0223617553711,2564.1187956324593,4378.758764328858,,,
1877,0.41038864850997925,86.7412109375,2564.125100716044,4378.855871340147,,,
2190,0.38659095764160156,88.09903717041016,2564.2040616121535,4379.198743952825,,,
2503,0.3931778073310852,88.25878143310547,2564.206419875637,4379.227091031619,,,
2816,0.42626264691352844,86.50159454345703,2564.112244727322,4378.938367870002,,,
3129,0.37686964869499207,89.05750274658203,2564.08910342632,4378.751140944779,,,
3442,0.4212992489337921,87.61980438232422,2564.151077296216,4379.119186070018,,,
3755,0.3524149954319,88.33865356445312,2564.1607055529807,4379.180797717918,,,
4068,0.3391364812850952,89.05750274658203,2564.1545573243507,4379.089230463242,,,
4381,0.38864919543266296,87.4600601196289,2564.185413368308,4379.10887432365,,,
4694,0.31437018513679504,90.01597595214844,2564.0779318282016,4378.8224852527865,,,
5007,0.3406076729297638,90.01597595214844,2564.1607580522,4379.03168002447,,,
5320,0.33204415440559387,90.17572021484375,2564.1463119715168,4378.762700353948,,,
5633,0.40307873487472534,87.14057159423828,2564.2095066654606,4379.1243668062425,,,
5946,0.3492562472820282,88.41852569580078,2564.1464952010506,4378.910109626885,,,
6259,0.3244529366493225,89.29712677001953,2564.166865231225,4379.065459064496,,,
6572,0.3547881841659546,87.69967651367188,2564.1122567601287,4378.9388163806725,,,
6885,0.3536515235900879,90.2555923461914,2564.112765315813,4378.840660420469,,,
7198,0.3028796315193176,90.73482513427734,2564.098051347481,4378.999776412218,,,
7511,0.3607688844203949,88.89775848388672,2564.1174852110134,4378.825883645885,,,
7824,0.330133855342865,89.61661529541016,2564.2090521443383,4379.156622024009,,,
8137,0.3602747619152069,89.29712677001953,2564.117604920182,4378.898606823085,,,
8450,0.3251720666885376,89.77635955810547,2563.8361088693523,4378.247372044351,,,
8763,0.31062403321266174,90.41533660888672,2564.639779682548,4379.996522761191,,,
9076,0.32575660943984985,89.77635955810547,2564.179349071778,4379.0802642488825,,,
9389,0.3169756233692169,89.37699890136719,2564.1527495945033,4378.747831042201,,,
9702,0.2884019613265991,90.97444152832031,2564.16653482297,4378.875508071325,,,
10015,0.2721550762653351,91.85303497314453,2564.2302713978784,4379.348274677421,,,
10328,0.3396085500717163,89.29712677001953,2564.2296121643185,4379.329057118764,,,
10641,0.3410404920578003,89.69648742675781,2564.1766432137156,4379.367908397422,,,
10954,0.3152392506599426,89.85623168945312,2564.2474285020426,4379.40668835998,,,
11267,0.33095747232437134,89.5367431640625,2564.1968030446824,4379.5131669162565,,,
11580,0.27768802642822266,90.89456939697266,2564.2224122969487,4379.491296117774,,,
11893,0.29159989953041077,89.93610382080078,2564.228562168039,4379.232490774446,,,
12206,0.3305506408214569,89.77635955810547,2564.2233292301435,4379.372665438408,,,
12499,,,,,1.0674196481704712,74.38999938964844,2564.0961786344646
