[0m-----------------------------------------------------------------------------------------------------------------------------[0m
[0mShowing InceptionV3_CIFAR100_Conv2dRFFTFunction_date-20240210-170631.pt[0m
[0m-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.00%       1.730ms         2.54%        1.760s      11.282ms       0.000us         0.00%     260.147ms       1.668ms           0 b           0 b      32.79 Mb    -484.09 Mb           156            --  
                                   ConvolutionBackward0         0.00%       1.033ms         2.46%        1.705s      10.931ms       0.000us         0.00%     259.445ms       1.663ms           0 b           0 b     461.81 Mb           0 b           156            --  
                             aten::convolution_backward         0.12%      83.650ms         2.46%        1.704s      10.925ms     259.445ms         0.70%     259.445ms       1.663ms           0 b           0 b     461.81 Mb     -34.81 Gb           156            --  
                                             aten::add_         0.02%      11.908ms         2.31%        1.601s       1.053ms      15.109ms         0.04%      15.109ms       9.940us           0 b           0 b           0 b           0 b          1520            --  
                                  aten::constant_pad_nd         0.01%       8.008ms         2.19%        1.520s       1.596ms       0.000us         0.00%     275.769ms     289.673us           0 b           0 b      48.93 Gb           0 b           952            --  
autograd::engine::evaluate_function: torch::autograd...         0.01%       4.598ms         2.02%        1.401s       1.229ms       0.000us         0.00%      14.332ms      12.572us           0 b           0 b     -22.90 Gb           0 b          1140            --  
                        torch::autograd::AccumulateGrad         0.01%       5.147ms         2.02%        1.396s       1.225ms       0.000us         0.00%      14.332ms      12.572us           0 b           0 b     -22.90 Gb     -22.90 Gb          1140            --  
                                              aten::add         0.01%       9.642ms         1.37%     947.772ms       1.145ms        2.948s         7.91%        2.948s       3.561ms           0 b           0 b     297.47 Gb     297.47 Gb           828       777.357  
                                              aten::exp         1.23%     854.039ms         1.23%     854.039ms       1.279ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b     593.04 Gb     593.04 Gb           668            --  
                                             aten::mul_         0.01%       5.041ms         1.15%     798.756ms       1.196ms       0.000us         0.00%     215.907ms     323.214us           0 b       1.00 Kb           0 b           0 b           668            --  
                                              aten::sum         0.02%      12.040ms         1.15%     796.439ms       1.185ms        2.727s         7.32%        2.727s       4.057ms           0 b           0 b      27.08 Gb      27.08 Gb           672            --  
                                              aten::pad         0.00%       1.317ms         0.89%     616.248ms       1.376ms       0.000us         0.00%      27.944ms      62.375us           0 b           0 b       2.89 Gb           0 b           448            --  
                                            aten::fill_         0.01%       4.147ms         0.82%     569.352ms     878.630us     191.839ms         0.51%     191.839ms     296.048us           0 b           0 b           0 b           0 b           648            --  
     autograd::engine::evaluate_function: ReluBackward0         0.00%       3.050ms         0.78%     543.371ms       1.445ms       0.000us         0.00%      14.120ms      37.553us           0 b           0 b      -1.13 Gb      -2.22 Gb           376            --  
                                          ReluBackward0         0.00%       1.823ms         0.78%     540.321ms       1.437ms       0.000us         0.00%      14.120ms      37.553us           0 b           0 b       1.10 Gb           0 b           376            --  
                               aten::threshold_backward         0.01%       5.252ms         0.78%     538.498ms       1.432ms      14.120ms         0.04%      14.120ms      37.553us           0 b           0 b       1.10 Gb       1.10 Gb           376            --  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.01%       5.995ms         0.73%     506.076ms       1.346ms       0.000us         0.00%      23.819ms      63.348us           0 b           0 b      -1.09 Gb      -2.18 Gb           376            --  
                                CudnnBatchNormBackward0         0.00%       2.940ms         0.72%     500.081ms       1.330ms       0.000us         0.00%      23.819ms      63.348us           0 b           0 b       1.10 Gb           0 b           376            --  
                        aten::cudnn_batch_norm_backward         0.01%       9.051ms         0.72%     497.141ms       1.322ms      23.819ms         0.06%      23.819ms      63.348us           0 b           0 b       1.10 Gb           0 b           376            --  
                                            aten::relu_         0.00%       3.402ms         0.38%     266.668ms     694.448us       0.000us         0.00%       6.424ms      16.729us           0 b           0 b           0 b           0 b           384            --  
                                       aten::batch_norm         0.00%     904.000us         0.38%     263.589ms     686.430us       0.000us         0.00%      19.754ms      51.443us           0 b           0 b       1.60 Gb           0 b           384            --  
                                       aten::clamp_min_         0.00%       2.938ms         0.38%     263.266ms     685.589us       6.424ms         0.02%       6.424ms      16.729us           0 b           0 b           0 b           0 b           384            --  
                           aten::_batch_norm_impl_index         0.00%       1.458ms         0.38%     262.685ms     684.076us       0.000us         0.00%      19.754ms      51.443us           0 b           0 b       1.60 Gb           0 b           384            --  
                                 aten::cudnn_batch_norm         0.02%      15.138ms         0.37%     255.048ms     664.188us      15.216ms         0.04%      15.216ms      39.625us           0 b           0 b       1.10 Gb           0 b           384            --  
                                           aten::conv2d         0.00%     779.000us         0.27%     186.736ms       1.197ms       0.000us         0.00%      30.207ms     193.635us           0 b           0 b     292.94 Mb           0 b           156    134747.855  
                                      aten::convolution         0.00%       1.515ms         0.27%     185.957ms       1.192ms       0.000us         0.00%      30.207ms     193.635us           0 b           0 b     292.94 Mb           0 b           156            --  
                                     aten::_convolution         0.00%       1.061ms         0.27%     184.442ms       1.182ms       0.000us         0.00%      30.207ms     193.635us           0 b           0 b     292.94 Mb           0 b           156            --  
                                aten::cudnn_convolution         0.11%      74.369ms         0.26%     183.381ms       1.176ms      30.207ms         0.08%      30.207ms     193.635us           0 b           0 b     292.94 Mb    -569.63 Mb           156            --  
autograd::engine::evaluate_function: AvgPool2DBackwa...         0.00%     287.000us         0.12%      84.029ms       2.334ms       0.000us         0.00%      13.321ms     370.028us           0 b           0 b       3.47 Mb    -244.43 Mb            36            --  
                                     AvgPool2DBackward0         0.00%     201.000us         0.12%      83.742ms       2.326ms       0.000us         0.00%      13.321ms     370.028us           0 b           0 b     247.90 Mb           0 b            36            --  
                              aten::avg_pool2d_backward         0.00%     415.000us         0.12%      83.541ms       2.321ms      13.321ms         0.04%      13.321ms     370.028us           0 b           0 b     247.90 Mb     247.90 Mb            36            --  
                                              aten::cat         0.00%       1.198ms         0.10%      66.694ms       1.042ms       3.283ms         0.01%       3.283ms      51.297us           0 b           0 b     359.86 Mb     359.86 Mb            64            --  
                                            aten::empty         0.08%      54.547ms         0.08%      54.547ms       4.188us       0.000us         0.00%       0.000us       0.000us      32.75 Mb      32.75 Mb     556.17 Gb     556.17 Gb         13024            --  
                                            aten::randn         0.00%      77.000us         0.07%      47.885ms       5.986ms       0.000us         0.00%       0.000us       0.000us      32.75 Mb           0 b           0 b           0 b             8            --  
                                          aten::normal_         0.07%      47.713ms         0.07%      47.713ms       5.964ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             8            --  
                                       aten::avg_pool2d         0.00%     605.000us         0.07%      46.607ms       1.165ms       8.032ms         0.02%       8.032ms     200.800us           0 b           0 b     246.78 Mb     246.78 Mb            40            --  
                                             aten::real         0.01%       7.818ms         0.03%      22.584ms       8.452us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2672            --  
                                       aten::empty_like         0.01%       5.940ms         0.03%      18.486ms       7.478us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      55.85 Gb           0 b          2472            --  
                                          aten::resize_         0.03%      17.867ms         0.03%      17.867ms       3.085us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     135.57 Gb     135.57 Gb          5792            --  
                                       aten::max_pool2d         0.00%      63.000us         0.02%      16.046ms       1.003ms       0.000us         0.00%       3.053ms     190.812us           0 b           0 b     259.51 Mb           0 b            16            --  
                          aten::max_pool2d_with_indices         0.00%     327.000us         0.02%      15.983ms     998.938us       3.053ms         0.01%       3.053ms     190.812us           0 b           0 b     259.51 Mb     259.51 Mb            16            --  
autograd::engine::evaluate_function: MaxPool2DWithIn...         0.00%     155.000us         0.02%      14.674ms     917.125us       0.000us         0.00%       9.196ms     574.750us           0 b           0 b     113.78 Mb    -243.35 Mb            16            --  
                          MaxPool2DWithIndicesBackward0         0.00%     127.000us         0.02%      14.519ms     907.438us       0.000us         0.00%       9.196ms     574.750us           0 b           0 b     357.13 Mb           0 b            16            --  
                                    aten::empty_strided         0.02%      14.435ms         0.02%      14.435ms       5.560us       0.000us         0.00%       0.000us       0.000us      32.74 Mb      32.74 Mb      80.96 Gb      80.96 Gb          2596            --  
                 aten::max_pool2d_with_indices_backward         0.00%     274.000us         0.02%      14.392ms     899.500us       7.667ms         0.02%       9.196ms     574.750us           0 b           0 b     357.13 Mb     340.97 Mb            16            --  
                                            aten::slice         0.01%       7.443ms         0.01%      10.247ms       2.972us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3448            --  
                                            aten::zero_         0.00%     103.000us         0.01%       9.128ms     190.167us       0.000us         0.00%       2.168ms      45.167us           0 b           0 b           0 b           0 b            48            --  
                                       aten::as_strided         0.01%       9.094ms         0.01%       9.094ms       0.931us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          9772            --  
                                           aten::select         0.01%       5.863ms         0.01%       8.549ms       3.171us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2696            --  
                                       aten::contiguous         0.00%     169.000us         0.01%       8.484ms     117.833us       0.000us         0.00%       4.659ms      64.708us           0 b           0 b     530.89 Mb           0 b            72            --  
                                           aten::narrow         0.00%       2.256ms         0.01%       6.651ms       4.065us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1636            --  
                                     aten::view_as_real         0.01%       6.365ms         0.01%       6.365ms       2.382us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2672            --  
                                          aten::reshape         0.01%       4.329ms         0.01%       6.003ms       3.357us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1788            --  
                                          aten::permute         0.01%       3.967ms         0.01%       5.412ms       3.034us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1784            --  
                                        aten::unsqueeze         0.01%       3.905ms         0.01%       5.251ms       4.655us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1128            --  
                                           aten::linear         0.00%      82.000us         0.01%       3.782ms     472.750us       0.000us         0.00%     323.000us      40.375us           0 b           0 b     140.00 Kb           0 b             8            --  
                                            aten::addmm         0.00%     305.000us         0.01%       3.621ms     452.625us     323.000us         0.00%     323.000us      40.375us           0 b           0 b     140.00 Kb     140.00 Kb             8        62.259  
      autograd::engine::evaluate_function: CatBackward0         0.00%     644.000us         0.00%       1.887ms      29.484us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            64            --  
                                            aten::_conj         0.00%       1.415ms         0.00%       1.719ms       3.837us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           448            --  
                                   aten::_reshape_alias         0.00%       1.711ms         0.00%       1.711ms       0.953us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1796            --  
                                      aten::as_strided_         0.00%       1.376ms         0.00%       1.376ms       0.771us       0.000us         0.00%       0.000us       0.000us           0 b           0 b    -721.66 Mb    -721.66 Mb          1784            --  
                                             aten::view         0.00%       1.331ms         0.00%       1.331ms       1.742us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           764            --  
                              aten::adaptive_avg_pool2d         0.00%      30.000us         0.00%       1.325ms     165.625us       0.000us         0.00%     162.000us      20.250us           0 b           0 b     352.00 Kb           0 b             8            --  
                                             aten::mean         0.00%     189.000us         0.00%       1.295ms     161.875us     162.000us         0.00%     162.000us      20.250us           0 b           0 b     352.00 Kb     352.00 Kb             8            --  
                                            aten::alias         0.00%       1.265ms         0.00%       1.265ms       1.622us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           780            --  
                                           CatBackward0         0.00%     403.000us         0.00%       1.243ms      19.422us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            64            --  
    autograd::engine::evaluate_function: AddmmBackward0         0.00%     211.000us         0.00%       1.115ms     278.750us       0.000us         0.00%     126.000us      31.500us           0 b           0 b       3.13 Mb    -256.00 Kb             4            --  
                                 cudaFuncSetCacheConfig         0.00%     868.000us         0.00%     868.000us       0.283us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3068            --  
    autograd::engine::evaluate_function: SliceBackward0         0.00%     110.000us         0.00%     868.000us      72.333us       0.000us         0.00%       2.116ms     176.333us           0 b           0 b     -65.48 Mb    -221.00 Mb            12            --  
                                         AddmmBackward0         0.00%     159.000us         0.00%     761.000us     190.250us       0.000us         0.00%     102.000us      25.500us           0 b           0 b       3.38 Mb           0 b             4            --  
                                            aten::zeros         0.00%     218.000us         0.00%     706.000us      22.062us       0.000us         0.00%     760.000us      23.750us          32 b           0 b     196.44 Mb           0 b            32            --  
autograd::engine::evaluate_function: SelectBackward0...         0.00%      77.000us         0.00%     668.000us      55.667us       0.000us         0.00%     693.000us      57.750us           0 b           0 b      60.77 Mb     -37.45 Mb            12            --  
                                         SliceBackward0         0.00%      41.000us         0.00%     631.000us      52.583us       0.000us         0.00%       1.267ms     105.583us           0 b           0 b      98.22 Mb           0 b            12            --  
                                        SelectBackward0         0.00%      30.000us         0.00%     591.000us      49.250us       0.000us         0.00%     693.000us      57.750us           0 b           0 b      98.22 Mb           0 b            12            --  
                                   aten::slice_backward         0.00%      68.000us         0.00%     590.000us      49.167us       0.000us         0.00%       1.267ms     105.583us           0 b           0 b      98.22 Mb           0 b            12            --  
                                    cudaStreamWaitEvent         0.00%     572.000us         0.00%     572.000us       0.148us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3864            --  
                                  aten::select_backward         0.00%      76.000us         0.00%     561.000us      46.750us       0.000us         0.00%     693.000us      57.750us           0 b           0 b      98.22 Mb           0 b            12            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 69.278s
Self CUDA time total: 37.257s
[0m
