training_step,training_loss,training_accuracy,training_runtime_forward_ms,training_runtime_backward_ms,validation_loss,validation_accuracy,validation_runtime_forward_ms
19,0.3503284156322479,91.328125,2405.000983737409,4671.991803124547,,,
39,0.3187565207481384,91.5625,2402.21343357116,4672.637822665274,,,
59,0.3026699721813202,92.5,2402.297005429864,4672.600428573787,,,
79,0.28539448976516724,93.671875,2401.9749676808715,4672.494292259216,,,
99,0.2700280249118805,93.4375,2402.0854882895947,4672.39840477705,,,
119,0.2663843333721161,93.671875,2402.7834149077535,4671.693553030491,,,
139,0.2644881010055542,93.828125,2402.308474108577,4672.37908449024,,,
159,0.25584739446640015,94.375,2402.2822342813015,4672.5926123559475,,,
179,0.25103113055229187,94.765625,2402.110270410776,4673.72674010694,,,
199,0.24769817292690277,95.15625,2402.3204842582345,4672.268319129944,,,
219,0.24452395737171173,94.140625,2402.244853414595,4672.793469019234,,,
239,0.2418595850467682,94.6875,2402.0762456580997,4672.521694004536,,,
259,0.25984954833984375,93.828125,2402.392983995378,4673.763083666563,,,
279,0.242343932390213,94.0625,2402.359078451991,4673.058495670557,,,
299,0.2610493004322052,93.828125,2402.325278520584,4672.12350834161,,,
319,0.22436003386974335,95.15625,2402.039603702724,4672.589064761996,,,
339,0.2501540780067444,93.828125,2402.449653111398,4672.5018305704,,,
359,0.22322383522987366,95.0,2402.252040617168,4672.73259498179,,,
379,0.21692505478858948,95.9375,2402.303918451071,4672.162877209485,,,
399,0.2637767493724823,92.890625,2402.192266471684,4672.523323632777,,,
419,0.24363553524017334,94.84375,2402.296968176961,4672.205517813563,,,
439,0.24251432716846466,94.375,2401.8996752798557,4671.988644450903,,,
459,0.2217969000339508,95.078125,2402.558599039912,4672.463393397629,,,
479,0.22606931626796722,95.234375,2402.7422226965427,4672.683743573725,,,
499,0.24065566062927246,93.671875,2402.170279622078,4673.215084709227,,,
519,0.2443392127752304,93.90625,2402.5763439014554,4672.287676483393,,,
539,0.2504447102546692,94.453125,2402.6076490059495,4673.0936247855425,,,
559,0.20855753123760223,95.390625,2402.4846259504557,4672.717243805528,,,
579,0.23301994800567627,94.140625,2402.076934091747,4671.965655684471,,,
599,0.20255246758460999,95.78125,2402.249519713223,4672.248798422515,,,
619,0.19636477530002594,95.46875,2402.0625999197364,4672.255302593112,,,
639,0.2215050756931305,94.6875,2402.1153658628464,4672.033693082631,,,
659,0.22035367786884308,95.078125,2401.9205985590816,4672.802872210741,,,
679,0.2146405726671219,95.46875,2402.2019021213055,4671.994945593178,,,
699,0.21458084881305695,95.703125,2402.2603197023273,4672.077519074082,,,
719,0.20256714522838593,96.25,2402.193118073046,4671.817854419351,,,
739,0.21084928512573242,95.234375,2402.1653071045876,4673.931214772165,,,
759,0.19262735545635223,96.09375,2402.2556705400348,4672.4401308223605,,,
779,0.21982569992542267,95.0,2402.3124396800995,4672.989368624985,,,
781,,,,,0.6444841623306274,80.6500015258789,2395.023605934564
