[0m-----------------------------------------------------------------------------------------------------------------------------[0m
[0mShowing DenseNet121_CIFAR100_Conv2dRFFTFunction_date-20240209-090450.pt[0m
[0m-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::sub         0.03%      13.396ms         1.14%     447.798ms     313.584us        2.069s         8.78%        2.069s       1.449ms           0 b           0 b     158.08 Gb     158.08 Gb          1428            --  
                                       aten::batch_norm         0.00%       1.122ms         1.12%     440.259ms     909.626us       0.000us         0.00%      14.843ms      30.667us           0 b           0 b     972.91 Mb           0 b           484            --  
                           aten::_batch_norm_impl_index         0.00%       1.553ms         1.12%     439.137ms     907.308us       0.000us         0.00%      14.843ms      30.667us           0 b           0 b     972.91 Mb           0 b           484            --  
                                 aten::cudnn_batch_norm         0.04%      15.841ms         1.12%     437.584ms     904.099us      14.843ms         0.06%      14.843ms      30.667us           0 b           0 b     972.91 Mb           0 b           484            --  
                                            aten::relu_         0.01%       3.939ms         0.84%     329.372ms     680.521us       0.000us         0.00%       6.247ms      12.907us           0 b           0 b           0 b           0 b           484            --  
                                       aten::clamp_min_         0.01%       3.803ms         0.83%     325.433ms     672.382us       6.247ms         0.03%       6.247ms      12.907us           0 b           0 b           0 b           0 b           484            --  
                                              aten::cat         0.01%       5.453ms         0.74%     290.248ms       1.170ms       8.435ms         0.04%       8.435ms      34.012us           0 b           0 b     649.94 Mb     649.94 Mb           248            --  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.01%       4.975ms         0.56%     218.472ms     451.388us       0.000us         0.00%      18.554ms      38.335us           0 b           0 b    -995.63 Mb      -1.92 Gb           484            --  
                                CudnnBatchNormBackward0         0.01%       2.034ms         0.54%     213.497ms     441.110us       0.000us         0.00%      18.554ms      38.335us           0 b           0 b     968.71 Mb           0 b           484            --  
                        aten::cudnn_batch_norm_backward         0.03%      11.478ms         0.54%     211.463ms     436.907us      18.554ms         0.08%      18.554ms      38.335us           0 b           0 b     968.71 Mb           0 b           484            --  
     autograd::engine::evaluate_function: ReluBackward0         0.01%       3.433ms         0.47%     184.884ms     381.992us       0.000us         0.00%      12.586ms      26.004us           0 b           0 b    -971.58 Mb      -1.92 Gb           484            --  
                                          ReluBackward0         0.01%       2.063ms         0.46%     181.451ms     374.899us       0.000us         0.00%      12.586ms      26.004us           0 b           0 b     997.40 Mb           0 b           484            --  
                               aten::threshold_backward         0.02%       6.065ms         0.46%     179.388ms     370.636us      12.586ms         0.05%      12.586ms      26.004us           0 b           0 b     997.40 Mb     997.40 Mb           484            --  
                                            aten::empty         0.17%      66.192ms         0.17%      66.192ms       4.387us       0.000us         0.00%       0.000us       0.000us       9.20 Mb       9.20 Mb     321.15 Gb     321.15 Gb         15088            --  
autograd::engine::evaluate_function: ConvolutionBack...         0.00%      27.000us         0.10%      37.876ms       9.469ms       0.000us         0.00%      13.145ms       3.286ms           0 b           0 b     -39.67 Mb     -49.00 Mb             4            --  
                                   ConvolutionBackward0         0.00%      32.000us         0.10%      37.849ms       9.462ms       0.000us         0.00%      13.145ms       3.286ms           0 b           0 b       9.33 Mb           0 b             4            --  
                             aten::convolution_backward         0.00%     312.000us         0.10%      37.817ms       9.454ms      13.145ms         0.06%      13.145ms       3.286ms           0 b           0 b       9.33 Mb       9.05 Mb             4            --  
                                             aten::real         0.02%       8.362ms         0.08%      32.652ms      11.433us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2856            --  
                                             aten::imag         0.02%       8.404ms         0.08%      30.673ms      10.740us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2856            --  
                                       aten::empty_like         0.02%       9.166ms         0.07%      27.966ms       7.329us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      55.44 Gb           0 b          3816            --  
                                            aten::slice         0.05%      20.275ms         0.07%      27.853ms       2.558us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         10888            --  
                                           aten::select         0.05%      18.772ms         0.06%      22.668ms       3.968us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          5712            --  
                                           aten::narrow         0.02%       6.793ms         0.06%      22.083ms       3.332us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          6628            --  
                                       aten::avg_pool2d         0.00%     185.000us         0.05%      20.859ms       1.738ms     378.000us         0.00%     378.000us      31.500us           0 b           0 b      11.16 Mb      11.16 Mb            12            --  
                                       aten::as_strided         0.05%      18.053ms         0.05%      18.053ms       0.745us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         24244            --  
                                     aten::view_as_real         0.04%      16.926ms         0.04%      16.926ms       2.963us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          5712            --  
                                            aten::randn         0.00%      53.000us         0.04%      15.467ms       1.933ms       0.000us         0.00%       0.000us       0.000us       9.19 Mb           0 b           0 b           0 b             8            --  
                                          aten::normal_         0.04%      14.766ms         0.04%      14.766ms       1.846ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             8            --  
                                    aten::empty_strided         0.03%      12.935ms         0.03%      12.935ms       5.381us       0.000us         0.00%       0.000us       0.000us       9.19 Mb       9.19 Mb      28.02 Gb      28.02 Gb          2404            --  
                                          aten::reshape         0.02%       7.414ms         0.03%      10.329ms       2.710us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3812            --  
                                           CatBackward0         0.01%       2.391ms         0.03%      10.276ms      41.435us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           248            --  
                                          aten::permute         0.02%       7.075ms         0.03%       9.909ms       2.602us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3808            --  
                                        aten::unsqueeze         0.02%       7.552ms         0.02%       9.790ms       4.113us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2380            --  
                                          aten::resize_         0.02%       7.539ms         0.02%       7.539ms       1.980us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3808            --  
                                            aten::_conj         0.02%       6.197ms         0.02%       7.397ms       2.590us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2856            --  
autograd::engine::evaluate_function: AvgPool2DBackwa...         0.00%      89.000us         0.01%       3.067ms     255.583us       0.000us         0.00%       1.077ms      89.750us           0 b           0 b      -8.32 Mb     -53.82 Mb            12            --  
                                        aten::_neg_view         0.01%       2.532ms         0.01%       2.986ms       3.137us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           952            --  
                                     AvgPool2DBackward0         0.00%      61.000us         0.01%       2.978ms     248.167us       0.000us         0.00%       1.077ms      89.750us           0 b           0 b      45.50 Mb           0 b            12            --  
                                            aten::alias         0.01%       2.937ms         0.01%       2.937ms       0.684us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          4296            --  
                                   aten::_reshape_alias         0.01%       2.935ms         0.01%       2.935ms       0.769us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3816            --  
                              aten::avg_pool2d_backward         0.00%     128.000us         0.01%       2.917ms     243.083us       1.077ms         0.00%       1.077ms      89.750us           0 b           0 b      45.50 Mb      45.50 Mb            12            --  
                                      aten::as_strided_         0.01%       2.828ms         0.01%       2.828ms       0.743us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -5.35 Gb      -5.35 Gb          3808            --  
                                             aten::view         0.00%       1.366ms         0.00%       1.366ms       1.405us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           972            --  
    autograd::engine::evaluate_function: AddmmBackward0         0.00%     100.000us         0.00%     587.000us     146.750us       0.000us         0.00%      98.000us      24.500us           0 b           0 b       1.56 Mb     -64.00 Kb             4            --  
                                 cudaFuncSetCacheConfig         0.00%     470.000us         0.00%     470.000us       0.100us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          4704            --  
                                           aten::conv2d         0.00%      40.000us         0.00%     458.000us     114.500us       0.000us         0.00%     722.000us     180.500us           0 b           0 b      49.00 Mb           0 b             4      3776.446  
                                      aten::convolution         0.00%      46.000us         0.00%     418.000us     104.500us       0.000us         0.00%     722.000us     180.500us           0 b           0 b      49.00 Mb           0 b             4            --  
                                     aten::_convolution         0.00%      34.000us         0.00%     372.000us      93.000us       0.000us         0.00%     722.000us     180.500us           0 b           0 b      49.00 Mb           0 b             4            --  
                                         AddmmBackward0         0.00%      71.000us         0.00%     367.000us      91.750us       0.000us         0.00%      73.000us      18.250us           0 b           0 b       1.62 Mb           0 b             4            --  
                                aten::cudnn_convolution         0.00%     195.000us         0.00%     338.000us      84.500us     722.000us         0.00%     722.000us     180.500us           0 b           0 b      49.00 Mb      48.71 Mb             4            --  
                                           aten::linear         0.00%      36.000us         0.00%     311.000us      77.750us       0.000us         0.00%      54.000us      13.500us           0 b           0 b       8.00 Kb           0 b             4            --  
                                  cudaStreamSynchronize         0.00%     257.000us         0.00%     257.000us      21.417us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            12            --  
                                            aten::addmm         0.00%     156.000us         0.00%     237.000us      59.250us      54.000us         0.00%      54.000us      13.500us           0 b           0 b       8.00 Kb       8.00 Kb             4         3.277  
                                               aten::mm         0.00%     117.000us         0.00%     225.000us      28.125us      73.000us         0.00%      73.000us       9.125us           0 b           0 b       1.62 Mb       1.62 Mb             8         6.554  
autograd::engine::evaluate_function: MaxPool2DWithIn...         0.00%      31.000us         0.00%     216.000us      54.000us       0.000us         0.00%       1.247ms     311.750us           0 b           0 b      12.25 Mb     -36.75 Mb             4            --  
     autograd::engine::evaluate_function: MeanBackward1         0.00%      19.000us         0.00%     204.000us      51.000us       0.000us         0.00%      21.000us       5.250us           0 b           0 b       3.00 Mb     -64.00 Kb             4            --  
                                          MeanBackward1         0.00%      33.000us         0.00%     185.000us      46.250us       0.000us         0.00%      21.000us       5.250us           0 b           0 b       3.06 Mb           0 b             4            --  
                          MaxPool2DWithIndicesBackward0         0.00%      22.000us         0.00%     185.000us      46.250us       0.000us         0.00%       1.247ms     311.750us           0 b           0 b      49.00 Mb           0 b             4            --  
                 aten::max_pool2d_with_indices_backward         0.00%      63.000us         0.00%     163.000us      40.750us       1.052ms         0.00%       1.247ms     311.750us           0 b           0 b      49.00 Mb      49.00 Mb             4            --  
                              aten::adaptive_avg_pool2d         0.00%      16.000us         0.00%     143.000us      35.750us       0.000us         0.00%      40.000us      10.000us           0 b           0 b      64.00 Kb           0 b             4            --  
                                       aten::max_pool2d         0.00%      18.000us         0.00%     142.000us      35.500us       0.000us         0.00%     432.000us     108.000us           0 b           0 b      37.53 Mb           0 b             4            --  
                                              aten::div         0.00%      92.000us         0.00%     131.000us      32.750us      21.000us         0.00%      21.000us       5.250us           0 b           0 b       3.06 Mb       3.06 Mb             4            --  
                                                aten::t         0.00%      61.000us         0.00%     129.000us       6.450us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            20            --  
                                             aten::mean         0.00%      85.000us         0.00%     127.000us      31.750us      40.000us         0.00%      40.000us      10.000us           0 b           0 b      64.00 Kb      64.00 Kb             4            --  
                          aten::max_pool2d_with_indices         0.00%      80.000us         0.00%     124.000us      31.000us     432.000us         0.00%     432.000us     108.000us           0 b           0 b      37.53 Mb      37.53 Mb             4            --  
