[0m-----------------------------------------------------------------------------------------------------------------------------[0m
[0mShowing DenseNet121_CIFAR100_Conv2dRFFTFunction_date-20240209-090450.pt[0m
[0m-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.02%       5.091ms         0.45%     142.409ms     294.233us       0.000us         0.00%      18.507ms      38.238us           0 b           0 b    -987.96 Mb      -1.92 Gb           484            --  
                                CudnnBatchNormBackward0         0.01%       2.232ms         0.43%     137.318ms     283.715us       0.000us         0.00%      18.507ms      38.238us           0 b           0 b     974.68 Mb           0 b           484            --  
                        aten::cudnn_batch_norm_backward         0.04%      11.355ms         0.43%     135.086ms     279.103us      18.507ms         0.10%      18.507ms      38.238us           0 b           0 b     974.68 Mb           0 b           484            --  
                                       aten::batch_norm         0.00%       1.089ms         0.39%     124.758ms     257.764us       0.000us         0.00%      14.867ms      30.717us           0 b           0 b     973.98 Mb           0 b           484            --  
                           aten::_batch_norm_impl_index         0.01%       1.602ms         0.39%     123.669ms     255.514us       0.000us         0.00%      14.867ms      30.717us           0 b           0 b     973.98 Mb           0 b           484            --  
                                 aten::cudnn_batch_norm         0.05%      17.225ms         0.38%     122.067ms     252.205us      14.867ms         0.08%      14.867ms      30.717us           0 b           0 b     973.98 Mb           0 b           484            --  
                                            aten::relu_         0.01%       3.886ms         0.32%     103.039ms     212.890us       0.000us         0.00%       6.235ms      12.882us           0 b           0 b           0 b           0 b           484            --  
                                       aten::clamp_min_         0.01%       3.766ms         0.31%      99.153ms     204.862us       6.235ms         0.03%       6.235ms      12.882us           0 b           0 b           0 b           0 b           484            --  
                                            aten::empty         0.30%      94.685ms         0.30%      94.685ms       4.003us       0.000us         0.00%       0.000us       0.000us       9.19 Mb       9.19 Mb     321.17 Gb     321.17 Gb         23656            --  
                                              aten::cat         0.02%       5.573ms         0.28%      89.945ms     362.681us       8.426ms         0.04%       8.426ms      33.976us           0 b           0 b     650.05 Mb     650.05 Mb           248            --  
                                             aten::real         0.05%      15.125ms         0.14%      44.105ms       7.721us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          5712            --  
                                          aten::resize_         0.11%      36.071ms         0.11%      36.071ms       2.915us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     138.77 Gb     138.77 Gb         12376            --  
                                       aten::empty_like         0.03%      10.005ms         0.11%      33.851ms       7.100us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      56.47 Gb           0 b          4768            --  
                                            aten::slice         0.07%      21.274ms         0.09%      28.924ms       2.657us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         10888            --  
                                    aten::empty_strided         0.09%      27.225ms         0.09%      27.225ms       5.176us       0.000us         0.00%       0.000us       0.000us       9.19 Mb       9.19 Mb      82.61 Gb      82.61 Gb          5260            --  
                                           aten::narrow         0.02%       7.225ms         0.07%      22.816ms       3.442us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          6628            --  
                                       aten::as_strided         0.06%      19.480ms         0.06%      19.480ms       0.803us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         24244            --  
                                           aten::select         0.04%      11.395ms         0.05%      16.659ms       2.916us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          5712            --  
                                            aten::randn         0.00%      55.000us         0.04%      13.237ms       1.655ms       0.000us         0.00%       0.000us       0.000us       9.19 Mb           0 b           0 b           0 b             8            --  
                                          aten::normal_         0.04%      12.327ms         0.04%      12.327ms       1.541ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             8            --  
                                     aten::view_as_real         0.04%      12.321ms         0.04%      12.321ms       2.157us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          5712            --  
                                          aten::reshape         0.03%       7.976ms         0.03%      11.071ms       2.904us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3812            --  
                                          aten::permute         0.02%       7.467ms         0.03%      10.304ms       2.706us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3808            --  
                                           CatBackward0         0.01%       2.512ms         0.03%      10.270ms      41.411us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           248            --  
                                        aten::unsqueeze         0.02%       7.273ms         0.03%       9.498ms       3.991us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2380            --  
autograd::engine::evaluate_function: ConvolutionBack...         0.00%      27.000us         0.01%       3.506ms     876.500us       0.000us         0.00%      13.124ms       3.281ms           0 b           0 b     -39.67 Mb     -49.00 Mb             4            --  
                                   ConvolutionBackward0         0.00%      28.000us         0.01%       3.479ms     869.750us       0.000us         0.00%      13.124ms       3.281ms           0 b           0 b       9.33 Mb           0 b             4            --  
                             aten::convolution_backward         0.00%     329.000us         0.01%       3.451ms     862.750us      13.124ms         0.07%      13.124ms       3.281ms           0 b           0 b       9.33 Mb       9.05 Mb             4            --  
                                            aten::_conj         0.01%       2.829ms         0.01%       3.338ms       3.506us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           952            --  
                                   aten::_reshape_alias         0.01%       3.111ms         0.01%       3.111ms       0.815us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3816            --  
                                      aten::as_strided_         0.01%       2.758ms         0.01%       2.758ms       0.724us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -4.27 Gb      -4.27 Gb          3808            --  
                                            aten::alias         0.01%       1.894ms         0.01%       1.894ms       1.315us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1440            --  
                                             aten::view         0.00%       1.320ms         0.00%       1.320ms       1.358us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           972            --  
autograd::engine::evaluate_function: AvgPool2DBackwa...         0.00%     106.000us         0.00%       1.056ms      88.000us       0.000us         0.00%       1.071ms      89.250us           0 b           0 b      -8.54 Mb     -54.04 Mb            12            --  
                                     AvgPool2DBackward0         0.00%      52.000us         0.00%     950.000us      79.167us       0.000us         0.00%       1.071ms      89.250us           0 b           0 b      45.50 Mb           0 b            12            --  
                              aten::avg_pool2d_backward         0.00%     120.000us         0.00%     898.000us      74.833us       1.071ms         0.01%       1.071ms      89.250us           0 b           0 b      45.50 Mb      45.50 Mb            12            --  
    autograd::engine::evaluate_function: AddmmBackward0         0.00%     109.000us         0.00%     588.000us     147.000us       0.000us         0.00%     100.000us      25.000us           0 b           0 b       1.56 Mb     -64.00 Kb             4            --  
                                 cudaFuncSetCacheConfig         0.00%     587.000us         0.00%     587.000us       0.125us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          4704            --  
                                           aten::conv2d         0.00%      24.000us         0.00%     407.000us     101.750us       0.000us         0.00%     724.000us     181.000us           0 b           0 b      49.00 Mb           0 b             4      3776.446  
                                      aten::convolution         0.00%      47.000us         0.00%     383.000us      95.750us       0.000us         0.00%     724.000us     181.000us           0 b           0 b      49.00 Mb           0 b             4            --  
                                         AddmmBackward0         0.00%      61.000us         0.00%     355.000us      88.750us       0.000us         0.00%      75.000us      18.750us           0 b           0 b       1.62 Mb           0 b             4            --  
                                     aten::_convolution         0.00%      29.000us         0.00%     336.000us      84.000us       0.000us         0.00%     724.000us     181.000us           0 b           0 b      49.00 Mb           0 b             4            --  
                                           aten::linear         0.00%      37.000us         0.00%     311.000us      77.750us       0.000us         0.00%      57.000us      14.250us           0 b           0 b       8.00 Kb           0 b             4            --  
                                aten::cudnn_convolution         0.00%     186.000us         0.00%     307.000us      76.750us     724.000us         0.00%     724.000us     181.000us           0 b           0 b      49.00 Mb      48.71 Mb             4            --  
                                       aten::avg_pool2d         0.00%     183.000us         0.00%     284.000us      23.667us     372.000us         0.00%     372.000us      31.000us           0 b           0 b      11.16 Mb      11.16 Mb            12            --  
                                  cudaStreamSynchronize         0.00%     245.000us         0.00%     245.000us      20.417us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            12            --  
                                            aten::addmm         0.00%     151.000us         0.00%     239.000us      59.750us      57.000us         0.00%      57.000us      14.250us           0 b           0 b       8.00 Kb       8.00 Kb             4         3.277  
                                               aten::mm         0.00%     117.000us         0.00%     221.000us      27.625us      75.000us         0.00%      75.000us       9.375us           0 b           0 b       1.62 Mb       1.62 Mb             8         6.554  
autograd::engine::evaluate_function: MaxPool2DWithIn...         0.00%      31.000us         0.00%     206.000us      51.500us       0.000us         0.00%       1.246ms     311.500us           0 b           0 b      12.25 Mb     -36.75 Mb             4            --  
     autograd::engine::evaluate_function: MeanBackward1         0.00%      23.000us         0.00%     202.000us      50.500us       0.000us         0.00%      20.000us       5.000us           0 b           0 b       3.00 Mb     -64.00 Kb             4            --  
                                          MeanBackward1         0.00%      25.000us         0.00%     179.000us      44.750us       0.000us         0.00%      20.000us       5.000us           0 b           0 b       3.06 Mb           0 b             4            --  
                          MaxPool2DWithIndicesBackward0         0.00%      19.000us         0.00%     175.000us      43.750us       0.000us         0.00%       1.246ms     311.500us           0 b           0 b      49.00 Mb           0 b             4            --  
                 aten::max_pool2d_with_indices_backward         0.00%      59.000us         0.00%     156.000us      39.000us       1.051ms         0.01%       1.246ms     311.500us           0 b           0 b      49.00 Mb      49.00 Mb             4            --  
                                       aten::max_pool2d         0.00%      16.000us         0.00%     146.000us      36.500us       0.000us         0.00%     435.000us     108.750us           0 b           0 b      37.53 Mb           0 b             4            --  
                              aten::adaptive_avg_pool2d         0.00%      11.000us         0.00%     143.000us      35.750us       0.000us         0.00%      40.000us      10.000us           0 b           0 b      64.00 Kb           0 b             4            --  
                                             aten::mean         0.00%      89.000us         0.00%     132.000us      33.000us      40.000us         0.00%      40.000us      10.000us           0 b           0 b      64.00 Kb      64.00 Kb             4            --  
                          aten::max_pool2d_with_indices         0.00%      94.000us         0.00%     130.000us      32.500us     435.000us         0.00%     435.000us     108.750us           0 b           0 b      37.53 Mb      37.53 Mb             4            --  
                                              aten::div         0.00%      90.000us         0.00%     130.000us      32.500us      20.000us         0.00%      20.000us       5.000us           0 b           0 b       3.06 Mb       3.06 Mb             4            --  
                                                aten::t         0.00%      64.000us         0.00%     128.000us       6.400us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            20            --  
                                            aten::zeros         0.00%      38.000us         0.00%      70.000us       8.750us       0.000us         0.00%       0.000us       0.000us          32 b           0 b           0 b           0 b             8            --  
                                            aten::zero_         0.00%      18.000us         0.00%      65.000us       5.417us       0.000us         0.00%     195.000us      16.250us           0 b           0 b           0 b           0 b            12            --  
                                        aten::transpose         0.00%      40.000us         0.00%      64.000us       3.200us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            20            --  
                                        cudaBindTexture         0.00%      59.000us         0.00%      59.000us       7.375us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             8            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 31.784s
Self CUDA time total: 19.160s
[0m
