[0m-----------------------------------------------------------------------------------------------------------------------------[0m
[0mShowing EfficientNetB3_CIFAR100_Conv2dRFFTFunction_date-20240210-170328.pt[0m
[0m-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
     autograd::engine::evaluate_function: SiluBackward0         0.01%       2.820ms         0.31%     105.055ms     336.715us       0.000us         0.00%      18.944ms      60.718us           0 b           0 b      -1.36 Gb      -2.79 Gb           312            --  
                                          SiluBackward0         0.00%       1.060ms         0.30%     102.235ms     327.676us       0.000us         0.00%      18.944ms      60.718us           0 b           0 b       1.43 Gb           0 b           312            --  
                                    aten::silu_backward         0.01%       3.192ms         0.30%     101.175ms     324.279us      18.944ms         0.10%      18.944ms      60.718us           0 b           0 b       1.43 Gb       1.43 Gb           312            --  
                                           MulBackward0         0.00%       1.343ms         0.27%      91.342ms     496.424us       0.000us         0.00%      13.867ms      75.364us           0 b           0 b       1.30 Gb           0 b           184            --  
                                            aten::empty         0.22%      74.999ms         0.22%      74.999ms       3.968us       0.000us         0.00%       0.000us       0.000us      18.39 Mb      18.39 Mb     192.14 Gb     192.14 Gb         18900            --  
     autograd::engine::evaluate_function: MeanBackward1         0.00%       1.527ms         0.21%      69.632ms     644.741us       0.000us         0.00%      10.769ms      99.713us           0 b           0 b      13.03 Mb      -1.16 Gb           108            --  
                                          aten::sigmoid         0.01%       1.735ms         0.20%      67.294ms     647.058us     328.000us         0.00%     328.000us       3.154us           0 b           0 b       2.35 Mb       2.35 Mb           104            --  
                                           aten::conv2d         0.00%     911.000us         0.18%      60.447ms     559.694us       0.000us         0.00%      22.904ms     212.074us           0 b           0 b     658.47 Mb           0 b           108      5457.393  
                                      aten::convolution         0.00%       1.412ms         0.18%      59.536ms     551.259us       0.000us         0.00%      22.904ms     212.074us           0 b           0 b     658.47 Mb           0 b           108            --  
                                     aten::_convolution         0.00%     996.000us         0.17%      58.124ms     538.185us       0.000us         0.00%      22.904ms     212.074us           0 b           0 b     658.47 Mb           0 b           108            --  
autograd::engine::evaluate_function: ConvolutionBack...         0.00%       1.114ms         0.17%      57.290ms     530.463us       0.000us         0.00%      95.355ms     882.917us           0 b           0 b    -711.89 Mb      -1.59 Gb           108            --  
                                aten::_conv_depthwise2d         0.00%       1.235ms         0.17%      56.564ms     543.885us      22.391ms         0.12%      22.391ms     215.298us           0 b           0 b     597.22 Mb           0 b           104            --  
                                   ConvolutionBackward0         0.00%     774.000us         0.17%      56.118ms     519.611us       0.000us         0.00%      94.880ms     878.519us           0 b           0 b     876.03 Mb           0 b           108            --  
                             aten::convolution_backward         0.01%       4.045ms         0.16%      55.344ms     512.444us      94.880ms         0.51%      94.880ms     878.519us           0 b           0 b     876.03 Mb       4.74 Mb           108            --  
                                             aten::real         0.04%      14.708ms         0.13%      42.180ms       8.532us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          4944            --  
autograd::engine::evaluate_function: torch::autograd...         0.00%      43.000us         0.12%      40.918ms      10.229ms       0.000us         0.00%      17.000us       4.250us           0 b           0 b    -192.00 Kb    -384.00 Kb             4            --  
                            torch::autograd::CopySlices         0.00%      61.000us         0.12%      40.875ms      10.219ms       0.000us         0.00%      17.000us       4.250us           0 b           0 b     192.00 Kb    -384.00 Kb             4            --  
                                          aten::resize_         0.10%      35.033ms         0.10%      35.033ms       3.178us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      83.15 Gb      83.15 Gb         11024            --  
autograd::engine::evaluate_function: SigmoidBackward...         0.00%     717.000us         0.10%      33.059ms     317.875us       0.000us         0.00%     218.000us       2.096us           0 b           0 b      -2.35 Mb      -4.69 Mb           104            --  
                                       SigmoidBackward0         0.00%     483.000us         0.10%      32.342ms     310.981us       0.000us         0.00%     218.000us       2.096us           0 b           0 b       2.34 Mb     -18.00 Kb           104            --  
                                 aten::sigmoid_backward         0.01%       3.230ms         0.09%      31.859ms     306.337us     218.000us         0.00%     218.000us       2.096us           0 b           0 b       2.35 Mb       2.35 Mb           104            --  
                                       aten::bernoulli_         0.00%     914.000us         0.09%      29.771ms     372.137us     535.000us         0.00%     535.000us       6.688us           0 b           0 b           0 b           0 b            80            --  
                                          MeanBackward1         0.00%     689.000us         0.09%      29.344ms     271.704us       0.000us         0.00%       3.181ms      29.454us           0 b           0 b     607.96 Mb           0 b           108            --  
                                       aten::empty_like         0.03%       9.804ms         0.09%      29.202ms       7.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      34.38 Gb           0 b          4028            --  
                                    aten::empty_strided         0.08%      28.141ms         0.08%      28.141ms       5.338us       0.000us         0.00%       0.000us       0.000us      18.38 Mb      18.38 Mb      50.41 Gb      50.41 Gb          5272            --  
                                              aten::div         0.01%       1.971ms         0.08%      28.046ms     259.685us       3.181ms         0.02%       3.181ms      29.454us           0 b           0 b     607.96 Mb     607.96 Mb           108            --  
                                            aten::randn         0.00%      79.000us         0.08%      27.825ms       3.478ms       0.000us         0.00%       0.000us       0.000us      18.39 Mb           0 b           0 b           0 b             8            --  
                                          aten::normal_         0.08%      27.512ms         0.08%      27.512ms       3.439ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             8            --  
                                             aten::div_         0.00%     835.000us         0.07%      22.051ms     275.637us     141.000us         0.00%     141.000us       1.762us           0 b           0 b           0 b           0 b            80            --  
                                           aten::select         0.03%      10.690ms         0.05%      15.759ms       3.188us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          4944            --  
                                       aten::as_strided         0.04%      14.899ms         0.04%      14.899ms       0.982us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         15172            --  
                              aten::adaptive_avg_pool2d         0.00%     332.000us         0.04%      14.611ms     135.287us       0.000us         0.00%       3.838ms      35.537us           0 b           0 b       2.54 Mb           0 b           108            --  
                                             aten::mean         0.01%       2.354ms         0.04%      14.279ms     132.213us       3.838ms         0.02%       3.838ms      35.537us           0 b           0 b       2.54 Mb       2.54 Mb           108            --  
                                          aten::reshape         0.03%       8.853ms         0.04%      12.444ms       3.551us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3504            --  
                                     aten::view_as_real         0.03%      11.713ms         0.03%      11.713ms       2.369us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          4944            --  
                                          aten::permute         0.02%       7.982ms         0.03%      10.773ms       3.269us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3296            --  
                                        aten::unsqueeze         0.02%       7.424ms         0.03%      10.168ms       4.936us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2060            --  
autograd::engine::evaluate_function: AsStridedBackwa...         0.00%      27.000us         0.03%       9.970ms       2.493ms       0.000us         0.00%       9.000us       2.250us           0 b           0 b           0 b    -192.00 Kb             4            --  
                                     AsStridedBackward0         0.00%      57.000us         0.03%       9.943ms       2.486ms       0.000us         0.00%       9.000us       2.250us           0 b           0 b     192.00 Kb           0 b             4            --  
                                            aten::slice         0.02%       6.349ms         0.03%       8.892ms       2.708us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -88.59 Mb     -88.59 Mb          3284            --  
                                        aten::new_zeros         0.00%      45.000us         0.01%       4.388ms       1.097ms       0.000us         0.00%       4.000us       1.000us           0 b           0 b     192.00 Kb           0 b             4            --  
                                            aten::zero_         0.00%      36.000us         0.01%       4.309ms     359.083us       0.000us         0.00%       4.000us       0.333us           0 b           0 b           0 b           0 b            12            --  
                                           aten::narrow         0.00%       1.320ms         0.01%       3.621ms       4.438us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           816            --  
                                   aten::_reshape_alias         0.01%       3.608ms         0.01%       3.608ms       1.029us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3508            --  
                                            aten::_conj         0.01%       2.717ms         0.01%       3.233ms       3.924us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           824            --  
                                            aten::alias         0.01%       3.224ms         0.01%       3.224ms       1.737us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1856            --  
                                      aten::as_strided_         0.01%       2.187ms         0.01%       2.187ms       0.664us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -1.76 Gb      -1.76 Gb          3296            --  
    autograd::engine::evaluate_function: AddmmBackward0         0.00%     306.000us         0.00%       1.246ms     311.500us       0.000us         0.00%     118.000us      29.500us           0 b           0 b       2.35 Mb    -192.00 Kb             4            --  
                                             aten::view         0.00%       1.234ms         0.00%       1.234ms       1.965us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           628            --  
                                         AddmmBackward0         0.00%     152.000us         0.00%     809.000us     202.250us       0.000us         0.00%      93.000us      23.250us           0 b           0 b       2.53 Mb           0 b             4            --  
                                           aten::linear         0.00%      46.000us         0.00%     657.000us     164.250us       0.000us         0.00%     156.000us      39.000us           0 b           0 b      14.00 Kb           0 b             4            --  
                                        cudaMemsetAsync         0.00%     643.000us         0.00%     643.000us      12.365us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       4.00 Kb       4.00 Kb            52            --  
                                 cudaFuncSetCacheConfig         0.00%     617.000us         0.00%     617.000us       0.297us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2080            --  
                                           aten::expand         0.00%     443.000us         0.00%     592.000us       5.286us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           112            --  
                                aten::cudnn_convolution         0.00%     322.000us         0.00%     564.000us     141.000us     513.000us         0.00%     513.000us     128.250us           0 b           0 b      61.25 Mb      60.96 Mb             4            --  
                                            aten::addmm         0.00%     196.000us         0.00%     562.000us     140.500us     156.000us         0.00%     156.000us      39.000us           0 b           0 b      14.00 Kb      14.00 Kb             4         9.830  
                                               aten::mm         0.00%     228.000us         0.00%     489.000us      61.125us      93.000us         0.00%      93.000us      11.625us           0 b           0 b       2.53 Mb       2.53 Mb             8        19.661  
      autograd::engine::evaluate_function: AddBackward0         0.00%     411.000us         0.00%     464.000us       6.105us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            76            --  
                                         aten::dropout_         0.00%      41.000us         0.00%     342.000us      85.500us       0.000us         0.00%      40.000us      10.000us           0 b           0 b     192.00 Kb           0 b             4            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 33.577s
Self CUDA time total: 18.697s
[0m
