[0m-----------------------------------------------------------------------------------------------------------------------------[0m
[0mShowing EfficientNetB3_CIFAR100_Conv2dRFFTFunction_date-20240210-170328.pt[0m
[0m-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
      autograd::engine::evaluate_function: MulBackward0         0.01%       3.853ms         0.78%     337.348ms       1.874ms       0.000us         0.00%      17.758ms      98.656us           0 b           0 b    -488.28 Mb      -1.71 Gb           180            --  
                                            aten::silu_         0.01%       3.472ms         0.61%     264.136ms     846.590us      12.413ms         0.05%      24.470ms      78.429us           0 b           0 b       1.39 Gb           0 b           312            --  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.01%       5.374ms         0.56%     241.062ms     772.635us       0.000us         0.00%      32.622ms     104.558us           0 b           0 b      -1.58 Gb      -3.14 Gb           312            --  
                                           MulBackward0         0.00%       1.390ms         0.55%     237.595ms       1.291ms       0.000us         0.00%      13.850ms      75.272us           0 b           0 b       1.30 Gb           0 b           184            --  
                                CudnnBatchNormBackward0         0.01%       2.540ms         0.54%     235.688ms     755.410us       0.000us         0.00%      32.622ms     104.558us           0 b           0 b       1.56 Gb           0 b           312            --  
                        aten::cudnn_batch_norm_backward         0.02%       7.489ms         0.54%     233.148ms     747.269us      32.622ms         0.14%      32.622ms     104.558us           0 b           0 b       1.56 Gb           0 b           312            --  
     autograd::engine::evaluate_function: SiluBackward0         0.01%       3.196ms         0.40%     171.545ms     549.824us       0.000us         0.00%      18.928ms      60.667us           0 b           0 b      -1.37 Gb      -2.79 Gb           312            --  
                                       aten::batch_norm         0.00%     691.000us         0.39%     170.272ms     545.744us       0.000us         0.00%      22.960ms      73.590us           0 b           0 b       1.59 Gb           0 b           312            --  
                           aten::_batch_norm_impl_index         0.00%     914.000us         0.39%     169.581ms     543.529us       0.000us         0.00%      22.960ms      73.590us           0 b           0 b       1.59 Gb           0 b           312            --  
                                 aten::cudnn_batch_norm         0.02%      10.225ms         0.39%     168.667ms     540.599us      22.960ms         0.10%      22.960ms      73.590us           0 b           0 b       1.59 Gb           0 b           312            --  
                                          SiluBackward0         0.00%       1.154ms         0.39%     168.349ms     539.580us       0.000us         0.00%      18.928ms      60.667us           0 b           0 b       1.42 Gb           0 b           312            --  
                                    aten::silu_backward         0.01%       3.349ms         0.39%     167.195ms     535.881us      18.928ms         0.08%      18.928ms      60.667us           0 b           0 b       1.42 Gb       1.42 Gb           312            --  
autograd::engine::evaluate_function: ConvolutionBack...         0.00%       1.298ms         0.34%     146.641ms       1.358ms       0.000us         0.00%      95.445ms     883.750us           0 b           0 b    -703.20 Mb      -1.58 Gb           108            --  
                                   ConvolutionBackward0         0.00%     991.000us         0.31%     136.357ms       1.263ms       0.000us         0.00%      94.970ms     879.352us           0 b           0 b     877.24 Mb           0 b           108            --  
                             aten::convolution_backward         0.01%       4.103ms         0.31%     135.366ms       1.253ms      94.970ms         0.40%      94.970ms     879.352us           0 b           0 b     877.24 Mb       1.69 Mb           108            --  
                                          aten::sigmoid         0.00%       1.589ms         0.26%     114.221ms       1.098ms     319.000us         0.00%     319.000us       3.067us           0 b           0 b       2.35 Mb       2.35 Mb           104            --  
autograd::engine::evaluate_function: SigmoidBackward...         0.00%     859.000us         0.24%     104.835ms       1.008ms       0.000us         0.00%     212.000us       2.038us           0 b           0 b      -2.35 Mb      -4.71 Mb           104            --  
                                       SigmoidBackward0         0.00%     537.000us         0.24%     103.976ms     999.769us       0.000us         0.00%     212.000us       2.038us           0 b           0 b       2.35 Mb           0 b           104            --  
                                 aten::sigmoid_backward         0.00%       1.035ms         0.24%     103.439ms     994.606us     212.000us         0.00%     212.000us       2.038us           0 b           0 b       2.35 Mb       2.35 Mb           104            --  
     autograd::engine::evaluate_function: MeanBackward1         0.00%       1.499ms         0.21%      89.437ms     828.120us       0.000us         0.00%      10.765ms      99.676us           0 b           0 b       6.93 Mb      -1.17 Gb           108            --  
                              aten::adaptive_avg_pool2d         0.00%     259.000us         0.12%      53.664ms     496.889us       0.000us         0.00%       3.820ms      35.370us           0 b           0 b       2.54 Mb           0 b           108            --  
                                             aten::mean         0.01%       2.180ms         0.12%      53.405ms     494.491us       3.820ms         0.02%       3.820ms      35.370us           0 b           0 b       2.54 Mb       2.54 Mb           108            --  
                                       aten::bernoulli_         0.00%       1.665ms         0.12%      52.273ms     653.413us     539.000us         0.00%     539.000us       6.737us           0 b           0 b           0 b           0 b            80            --  
                                          MeanBackward1         0.00%     775.000us         0.12%      52.261ms     483.898us       0.000us         0.00%       3.181ms      29.454us           0 b           0 b     605.98 Mb           0 b           108            --  
                                            aten::empty         0.12%      51.431ms         0.12%      51.431ms       4.478us       0.000us         0.00%       0.000us       0.000us      18.39 Mb      18.39 Mb     192.10 Gb     192.10 Gb         11484            --  
                                              aten::div         0.00%       2.074ms         0.12%      50.823ms     470.583us       3.181ms         0.01%       3.181ms      29.454us           0 b           0 b     605.98 Mb     605.98 Mb           108            --  
                                             aten::div_         0.00%       1.216ms         0.10%      44.079ms     550.987us     132.000us         0.00%     132.000us       1.650us          -8 b          -8 b           0 b           0 b            80            --  
                                           aten::conv2d         0.00%     405.000us         0.08%      36.497ms     337.935us       0.000us         0.00%      22.857ms     211.639us           0 b           0 b     662.30 Mb           0 b           108      5457.393  
                                      aten::convolution         0.00%     947.000us         0.08%      36.092ms     334.185us       0.000us         0.00%      22.857ms     211.639us           0 b           0 b     662.30 Mb           0 b           108            --  
                                     aten::_convolution         0.00%     803.000us         0.08%      35.145ms     325.417us       0.000us         0.00%      22.857ms     211.639us           0 b           0 b     662.30 Mb           0 b           108            --  
                                aten::_conv_depthwise2d         0.00%       1.072ms         0.08%      33.785ms     324.856us      22.346ms         0.09%      22.346ms     214.865us           0 b           0 b     598.30 Mb           0 b           104            --  
                                            aten::randn         0.00%      67.000us         0.07%      30.080ms       3.760ms       0.000us         0.00%       0.000us       0.000us      18.39 Mb           0 b           0 b           0 b             8            --  
                                          aten::normal_         0.07%      29.671ms         0.07%      29.671ms       3.709ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             8            --  
                                             aten::real         0.02%       7.295ms         0.07%      28.840ms      11.667us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2472            --  
                                             aten::imag         0.02%       7.470ms         0.06%      27.481ms      11.117us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2472            --  
                                       aten::empty_like         0.02%       7.795ms         0.05%      23.276ms       7.265us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      33.57 Gb           0 b          3204            --  
                                           aten::select         0.04%      16.647ms         0.05%      20.063ms       4.058us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          4944            --  
                                    aten::empty_strided         0.04%      16.248ms         0.04%      16.248ms       5.803us       0.000us         0.00%       0.000us       0.000us      18.38 Mb      18.38 Mb      18.50 Gb      18.50 Gb          2800            --  
                                     aten::view_as_real         0.04%      15.356ms         0.04%      15.356ms       3.106us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          4944            --  
                                       aten::as_strided         0.03%      12.100ms         0.03%      12.100ms       0.798us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         15172            --  
                                          aten::reshape         0.02%       6.779ms         0.02%       9.807ms       2.799us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3504            --  
                                        aten::unsqueeze         0.02%       6.557ms         0.02%       8.903ms       4.322us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2060            --  
                                          aten::permute         0.01%       6.168ms         0.02%       8.621ms       2.616us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3296            --  
                                            aten::_conj         0.02%       7.505ms         0.02%       8.559ms       3.462us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2472            --  
                                            aten::slice         0.01%       5.939ms         0.02%       8.174ms       2.489us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3284            --  
                                          aten::resize_         0.02%       7.080ms         0.02%       7.080ms       1.962us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       1.42 Gb       1.42 Gb          3608            --  
                                            aten::alias         0.01%       3.854ms         0.01%       3.854ms       0.890us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          4328            --  
                                   aten::_reshape_alias         0.01%       3.046ms         0.01%       3.046ms       0.868us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3508            --  
                                           aten::narrow         0.00%     928.000us         0.01%       2.918ms       3.576us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           816            --  
                                        aten::_neg_view         0.01%       2.263ms         0.01%       2.631ms       3.193us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           824            --  
                                      aten::as_strided_         0.01%       2.228ms         0.01%       2.228ms       0.676us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -2.36 Gb      -2.36 Gb          3296            --  
                                             aten::view         0.00%       1.051ms         0.00%       1.051ms       1.674us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           628            --  
    autograd::engine::evaluate_function: AddmmBackward0         0.00%     189.000us         0.00%       1.046ms     261.500us       0.000us         0.00%     118.000us      29.500us           0 b           0 b       2.35 Mb    -192.00 Kb             4            --  
                                         AddmmBackward0         0.00%     140.000us         0.00%     701.000us     175.250us       0.000us         0.00%      93.000us      23.250us           0 b           0 b       2.53 Mb           0 b             4            --  
                                 cudaFuncSetCacheConfig         0.00%     684.000us         0.00%     684.000us       0.329us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2080            --  
                                        cudaMemsetAsync         0.00%     663.000us         0.00%     663.000us      12.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       6.00 Kb       6.00 Kb            52            --  
                                           aten::expand         0.00%     481.000us         0.00%     628.000us       5.607us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           112            --  
      autograd::engine::evaluate_function: AddBackward0         0.00%     537.000us         0.00%     593.000us       7.803us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            76            --  
                                aten::cudnn_convolution         0.00%     283.000us         0.00%     557.000us     139.250us     511.000us         0.00%     511.000us     127.750us           0 b           0 b      64.00 Mb      63.71 Mb             4            --  
autograd::engine::evaluate_function: torch::autograd...         0.00%      45.000us         0.00%     467.000us     116.750us       0.000us         0.00%      21.000us       5.250us           0 b           0 b    -192.00 Kb    -384.00 Kb             4            --  
                            torch::autograd::CopySlices         0.00%      64.000us         0.00%     422.000us     105.500us       0.000us         0.00%      21.000us       5.250us           0 b           0 b     192.00 Kb    -384.00 Kb             4            --  
                                               aten::mm         0.00%     206.000us         0.00%     415.000us      51.875us      93.000us         0.00%      93.000us      11.625us           0 b           0 b       2.53 Mb       2.53 Mb             8        19.661  
                                           aten::linear         0.00%      49.000us         0.00%     382.000us      95.500us       0.000us         0.00%     156.000us      39.000us           0 b           0 b      14.00 Kb           0 b             4            --  
autograd::engine::evaluate_function: AsStridedBackwa...         0.00%      31.000us         0.00%     375.000us      93.750us       0.000us         0.00%      12.000us       3.000us           0 b           0 b           0 b    -192.00 Kb             4            --  
                                     AsStridedBackward0         0.00%      70.000us         0.00%     344.000us      86.000us       0.000us         0.00%      12.000us       3.000us           0 b           0 b     192.00 Kb           0 b             4            --  
                                         aten::dropout_         0.00%      45.000us         0.00%     330.000us      82.500us       0.000us         0.00%      39.000us       9.750us           0 b           0 b     192.00 Kb           0 b             4            --  
                                            aten::addmm         0.00%     188.000us         0.00%     281.000us      70.250us     156.000us         0.00%     156.000us      39.000us           0 b           0 b      14.00 Kb      14.00 Kb             4         9.830  
                                  cudaStreamSynchronize         0.00%     270.000us         0.00%     270.000us      22.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            12            --  
                                                aten::t         0.00%     102.000us         0.00%     222.000us      11.100us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            20            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 43.423s
Self CUDA time total: 23.935s
[0m
[0m-----------------------------------------------------------------------------------------------------------------------------[0m
[0mShowing EfficientNetB3_CIFAR100_Conv2dRFFTPhasorFunction_date-20240210-170328.pt[0m
[0m-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
