[0m-----------------------------------------------------------------------------------------------------------------------------[0m
[0mShowing AlexNet_CIFAR100_Conv2dRFFTFunction_date-20240212-071549.pt[0m
[0m-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::fill_         0.00%     981.000us         0.01%       2.316ms      24.125us      12.691ms         0.11%      12.691ms     132.198us           0 b           0 b           0 b           0 b            96            --  
                        torch::autograd::AccumulateGrad         0.00%     585.000us         0.01%       2.248ms      33.059us       0.000us         0.00%      11.800ms     173.529us           0 b           0 b      -1.79 Gb      -1.79 Gb            68            --  
                                             aten::real         0.00%     631.000us         0.01%       2.245ms      23.385us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            96            --  
                                             aten::imag         0.00%     557.000us         0.01%       2.041ms      21.260us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            96            --  
                                       aten::empty_like         0.00%     581.000us         0.01%       2.027ms      13.696us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       3.20 Gb           0 b           148            --  
                                            aten::slice         0.01%       1.440ms         0.01%       1.980ms       4.950us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           400            --  
                                             aten::mul_         0.00%     521.000us         0.01%       1.875ms      39.062us       0.000us         0.00%      13.636ms     284.083us           0 b           8 b           0 b           0 b            48            --  
                                             aten::add_         0.00%     911.000us         0.01%       1.791ms      26.338us      13.418ms         0.11%      13.418ms     197.324us           0 b           0 b           0 b           0 b            68            --  
                                               aten::mm         0.00%     853.000us         0.01%       1.759ms      73.292us       9.281ms         0.08%       9.281ms     386.708us           0 b           0 b     855.38 Mb     855.38 Mb            24        56.254  
                                              aten::sub         0.00%     996.000us         0.01%       1.753ms      36.521us        1.294s        11.09%        1.294s      26.962ms           0 b           0 b      99.00 Gb      99.00 Gb            48            --  
     autograd::engine::evaluate_function: ReluBackward0         0.00%     454.000us         0.01%       1.742ms      62.214us       0.000us         0.00%       5.949ms     212.464us           0 b           0 b    -516.66 Mb    -999.62 Mb            28            --  
                                           aten::linear         0.00%     129.000us         0.01%       1.682ms     140.167us       0.000us         0.00%      12.455ms       1.038ms           0 b           0 b       8.10 Mb           0 b            12            --  
autograd::engine::evaluate_function: ConvolutionBack...         0.00%      46.000us         0.01%       1.563ms     390.750us       0.000us         0.00%      27.529ms       6.882ms           0 b           0 b     -41.71 Mb    -189.06 Mb             4            --  
                                   ConvolutionBackward0         0.00%      58.000us         0.01%       1.517ms     379.250us       0.000us         0.00%      27.529ms       6.882ms           0 b           0 b     147.36 Mb           0 b             4            --  
