[0m-----------------------------------------------------------------------------------------------------------------------------[0m
[0mShowing AlexNet_CIFAR100_Conv2dRFFTFunction_date-20240212-071549.pt[0m
[0m-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    aten::empty_strided         0.02%       3.445ms         0.02%       3.445ms      18.324us       0.000us         0.00%       0.000us       0.000us     147.00 Mb     147.00 Mb       4.67 Gb       4.67 Gb           188            --  
                        torch::autograd::AccumulateGrad         0.00%     854.000us         0.02%       3.245ms      47.721us       0.000us         0.00%      11.795ms     173.456us           0 b           0 b      -1.80 Gb      -1.80 Gb            68            --  
                                            aten::fill_         0.01%       1.325ms         0.02%       3.219ms      33.531us      12.684ms         0.15%      12.684ms     132.125us           0 b           0 b           0 b           0 b            96            --  
                                               aten::mm         0.01%       1.313ms         0.02%       2.925ms     121.875us       9.315ms         0.11%       9.315ms     388.125us           0 b           0 b     856.31 Mb     856.31 Mb            24     56254.005  
                                              aten::add         0.01%       1.677ms         0.02%       2.846ms      44.469us     779.619ms         9.05%     779.619ms      12.182ms           0 b           0 b      99.28 Gb      99.28 Gb            64       193.872  
                                          aten::resize_         0.01%       2.622ms         0.01%       2.622ms       6.243us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       8.36 Gb       8.36 Gb           420            --  
     autograd::engine::evaluate_function: ReluBackward0         0.00%     474.000us         0.01%       2.612ms      93.286us       0.000us         0.00%       5.951ms     212.536us           0 b           0 b    -525.62 Mb   -1007.25 Mb            28            --  
                                             aten::add_         0.01%       1.247ms         0.01%       2.577ms      37.897us      13.415ms         0.16%      13.415ms     197.279us           0 b           0 b           0 b           0 b            68            --  
                                            aten::slice         0.01%       1.799ms         0.01%       2.501ms       6.253us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           400            --  
                                             aten::mul_         0.00%     743.000us         0.01%       2.468ms      51.417us       0.000us         0.00%      13.635ms     284.062us           0 b           8 b           0 b           0 b            48            --  
autograd::engine::evaluate_function: MaxPool2DWithIn...         0.00%     319.000us         0.01%       2.140ms     178.333us       0.000us         0.00%       9.985ms     832.083us           0 b           0 b      82.62 Mb    -288.31 Mb            12            --  
                                          ReluBackward0         0.00%     388.000us         0.01%       2.138ms      76.357us       0.000us         0.00%       5.951ms     212.536us           0 b           0 b     481.62 Mb           0 b            28            --  
autograd::engine::evaluate_function: ConvolutionBack...         0.00%      63.000us         0.01%       2.138ms     534.500us       0.000us         0.00%      27.808ms       6.952ms           0 b           0 b     -41.71 Mb    -189.06 Mb             4            --  
                                   ConvolutionBackward0         0.00%      81.000us         0.01%       2.075ms     518.750us       0.000us         0.00%      27.808ms       6.952ms           0 b           0 b     147.36 Mb           0 b             4            --  
                                           aten::linear         0.00%     208.000us         0.01%       2.071ms     172.583us       0.000us         0.00%      12.418ms       1.035ms           0 b           0 b       8.10 Mb           0 b            12            --  
                             aten::convolution_backward         0.00%     788.000us         0.01%       1.994ms     498.500us      26.707ms         0.31%      27.808ms       6.952ms           0 b           0 b     147.36 Mb     146.84 Mb             4            --  
                                           aten::narrow         0.00%     747.000us         0.01%       1.990ms       8.884us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           224            --  
                          MaxPool2DWithIndicesBackward0         0.00%     170.000us         0.01%       1.821ms     151.750us       0.000us         0.00%       9.985ms     832.083us           0 b           0 b     370.94 Mb           0 b            12            --  
                                           aten::conv2d         0.00%      76.000us         0.01%       1.802ms     450.500us       0.000us         0.00%       6.672ms       1.668ms           0 b           0 b     192.00 Mb           0 b             4     35981.722  
                                       aten::as_strided         0.01%       1.752ms         0.01%       1.752ms       1.864us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           940            --  
                               aten::threshold_backward         0.01%       1.045ms         0.01%       1.750ms      62.500us       5.951ms         0.07%       5.951ms     212.536us           0 b           0 b     481.62 Mb     481.62 Mb            28            --  
                                      aten::convolution         0.00%     156.000us         0.01%       1.726ms     431.500us       0.000us         0.00%       6.672ms       1.668ms           0 b           0 b     192.00 Mb           0 b             4            --  
                 aten::max_pool2d_with_indices_backward         0.00%     578.000us         0.01%       1.651ms     137.583us       7.824ms         0.09%       9.985ms     832.083us           0 b           0 b     370.94 Mb     291.12 Mb            12            --  
                                            aten::relu_         0.00%     622.000us         0.01%       1.634ms      58.357us       0.000us         0.00%       4.052ms     144.714us           0 b           0 b           0 b           0 b            28            --  
                                            aten::addmm         0.01%     941.000us         0.01%       1.631ms     135.917us      12.418ms         0.14%      12.418ms       1.035ms           0 b           0 b       8.10 Mb       8.10 Mb            12     28127.003  
                                     aten::_convolution         0.00%     158.000us         0.01%       1.570ms     392.500us       0.000us         0.00%       6.672ms       1.668ms           0 b           0 b     192.00 Mb           0 b             4            --  
                                           aten::select         0.01%     923.000us         0.01%       1.265ms       6.589us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           192            --  
                                          aten::reshape         0.00%     792.000us         0.01%       1.101ms       7.243us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           152            --  
                                                aten::t         0.00%     503.000us         0.01%       1.085ms      18.083us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            60            --  
                                aten::cudnn_convolution         0.00%     632.000us         0.01%       1.082ms     270.500us       5.052ms         0.06%       5.052ms       1.263ms           0 b           0 b     192.00 Mb     191.93 Mb             4            --  
                                       aten::clamp_min_         0.00%     509.000us         0.01%       1.012ms      36.143us       4.052ms         0.05%       4.052ms     144.714us           0 b           0 b           0 b           0 b            28            --  
                                     aten::view_as_real         0.01%     914.000us         0.01%     914.000us       4.760us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           192            --  
                                       aten::max_pool2d         0.00%      85.000us         0.00%     880.000us      73.333us       0.000us         0.00%       3.234ms     269.500us           0 b           0 b     262.72 Mb           0 b            12            --  
                                        aten::unsqueeze         0.00%     687.000us         0.00%     859.000us      10.738us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            80            --  
                          aten::max_pool2d_with_indices         0.00%     547.000us         0.00%     795.000us      66.250us       3.234ms         0.04%       3.234ms     269.500us           0 b           0 b     262.72 Mb     262.72 Mb            12            --  
autograd::engine::evaluate_function: NativeDropoutBa...         0.00%     116.000us         0.00%     751.000us      93.875us       0.000us         0.00%     133.000us      16.625us           0 b           0 b      -3.25 Mb     -16.25 Mb             8            --  
                                          aten::dropout         0.00%      48.000us         0.00%     725.000us      90.625us       0.000us         0.00%     126.000us      15.750us           0 b           0 b      16.25 Mb           0 b             8            --  
                                          aten::permute         0.00%     516.000us         0.00%     714.000us       5.578us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           128            --  
                                        cudaMemsetAsync         0.00%     687.000us         0.00%     687.000us      28.625us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            24            --  
                                   aten::native_dropout         0.00%     251.000us         0.00%     677.000us      84.625us     126.000us         0.00%     126.000us      15.750us           0 b           0 b      16.25 Mb           0 b             8            --  
                                 NativeDropoutBackward0         0.00%      78.000us         0.00%     635.000us      79.375us       0.000us         0.00%     133.000us      16.625us           0 b           0 b      13.00 Mb           0 b             8            --  
autograd::engine::evaluate_function: AdaptiveAvgPool...         0.00%      74.000us         0.00%     628.000us     157.000us       0.000us         0.00%     934.000us     233.500us           0 b           0 b      -9.78 Mb     -18.78 Mb             4            --  
                                            aten::zero_         0.00%     140.000us         0.00%     610.000us      25.417us       0.000us         0.00%       1.480ms      61.667us           0 b           0 b           0 b           0 b            24            --  
                                        aten::transpose         0.00%     373.000us         0.00%     582.000us       9.700us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            60            --  
                          aten::native_dropout_backward         0.00%     211.000us         0.00%     557.000us      69.625us     133.000us         0.00%     133.000us      16.625us           0 b           0 b      13.00 Mb           0 b             8            --  
                             AdaptiveAvgPool2DBackward0         0.00%      35.000us         0.00%     554.000us     138.500us       0.000us         0.00%     934.000us     233.500us           0 b           0 b       9.00 Mb           0 b             4            --  
                    aten::_adaptive_avg_pool2d_backward         0.00%      99.000us         0.00%     519.000us     129.750us     895.000us         0.01%     934.000us     233.500us           0 b           0 b       9.00 Mb           0 b             4            --  
                                       aten::contiguous         0.00%      29.000us         0.00%     422.000us      52.750us       0.000us         0.00%     720.000us      90.000us           0 b           0 b      79.81 Mb           0 b             8            --  
        autograd::engine::evaluate_function: TBackward0         0.00%     146.000us         0.00%     369.000us      30.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            12            --  
                                  cudaStreamSynchronize         0.00%     342.000us         0.00%     342.000us      28.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            12            --  
                                   aten::_reshape_alias         0.00%     339.000us         0.00%     339.000us       2.173us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           156            --  
                                       aten::zeros_like         0.00%      41.000us         0.00%     316.000us      79.000us       0.000us         0.00%      39.000us       9.750us           0 b           0 b       9.00 Mb           0 b             4            --  
                                            aten::_conj         0.00%     273.000us         0.00%     313.000us       9.781us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            32            --  
                                 cudaFuncSetCacheConfig         0.00%     297.000us         0.00%     297.000us       1.238us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           240            --  
                                         cudaEventQuery         0.00%     278.000us         0.00%     278.000us      17.375us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            16            --  
                              aten::adaptive_avg_pool2d         0.00%      23.000us         0.00%     265.000us      66.250us       0.000us         0.00%     968.000us     242.000us           0 b           0 b       9.00 Mb           0 b             4            --  
                             aten::_adaptive_avg_pool2d         0.00%     105.000us         0.00%     242.000us      60.500us     968.000us         0.01%     968.000us     242.000us           0 b           0 b       9.00 Mb           0 b             4            --  
                                             TBackward0         0.00%      59.000us         0.00%     223.000us      18.583us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            12            --  
                                      aten::as_strided_         0.00%     179.000us         0.00%     179.000us       1.398us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           128            --  
                                            aten::zeros         0.00%      87.000us         0.00%     166.000us      20.750us       0.000us         0.00%       0.000us       0.000us          32 b           0 b           0 b           0 b             8            --  
autograd::engine::evaluate_function: ReshapeAliasBac...         0.00%      36.000us         0.00%     140.000us      35.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
                                        cudaBindTexture         0.00%     129.000us         0.00%     129.000us      16.125us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             8            --  
                                  ReshapeAliasBackward0         0.00%      31.000us         0.00%     104.000us      26.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
                                             aten::view         0.00%      97.000us         0.00%      97.000us       8.083us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            12            --  
                                           aten::detach         0.00%      28.000us         0.00%      86.000us      21.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 17.637s
Self CUDA time total: 8.610s
[0m
