[0m-----------------------------------------------------------------------------------------------------------------------------[0m
[0mShowing ResNet18_CIFAR100_Conv2dRFFTFunction_date-20240212-220618.pt[0m
[0m-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.00%     933.000us         0.59%     335.984ms       4.200ms       0.000us         0.00%      53.936ms     674.200us           0 b           0 b      -1.65 Gb      -4.02 Gb            80            --  
                                CudnnBatchNormBackward0         0.00%     500.000us         0.59%     335.051ms       4.188ms       0.000us         0.00%      53.936ms     674.200us           0 b           0 b       2.37 Gb           0 b            80            --  
                        aten::cudnn_batch_norm_backward         0.00%       2.307ms         0.58%     334.551ms       4.182ms      53.936ms         0.19%      53.936ms     674.200us           0 b           0 b       2.37 Gb           0 b            80            --  
     autograd::engine::evaluate_function: ReluBackward0         0.00%     658.000us         0.56%     321.336ms       4.726ms       0.000us         0.00%      28.906ms     425.088us           0 b           0 b      -2.32 Gb      -4.52 Gb            68            --  
                                          ReluBackward0         0.00%     366.000us         0.56%     320.678ms       4.716ms       0.000us         0.00%      28.906ms     425.088us           0 b           0 b       2.20 Gb           0 b            68            --  
                               aten::threshold_backward         0.00%       1.105ms         0.56%     320.312ms       4.710ms      28.906ms         0.10%      28.906ms     425.088us           0 b           0 b       2.20 Gb       2.20 Gb            68            --  
                                            aten::randn         0.00%     119.000us         0.51%     291.660ms      36.458ms       0.000us         0.00%       0.000us       0.000us     147.10 Mb           0 b           0 b           0 b             8            --  
                                          aten::normal_         0.51%     291.222ms         0.51%     291.222ms      36.403ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             8            --  
autograd::engine::evaluate_function: MaxPool2DWithIn...         0.00%      32.000us         0.21%     122.958ms      30.739ms       0.000us         0.00%      19.408ms       4.852ms           0 b           0 b     196.00 Mb    -588.00 Mb             4            --  
                          MaxPool2DWithIndicesBackward0         0.00%      29.000us         0.21%     122.926ms      30.732ms       0.000us         0.00%      19.408ms       4.852ms           0 b           0 b     784.00 Mb           0 b             4            --  
                 aten::max_pool2d_with_indices_backward         0.00%      80.000us         0.21%     122.897ms      30.724ms      16.325ms         0.06%      19.408ms       4.852ms           0 b           0 b     784.00 Mb     784.00 Mb             4            --  
                                            aten::zero_         0.00%      24.000us         0.11%      61.365ms       5.114ms       0.000us         0.00%       3.083ms     256.917us           0 b           0 b           0 b           0 b            12            --  
                               Conv2dRFFTPhasorFunction         0.01%       7.806ms         0.10%      59.422ms       1.143ms       0.000us         0.00%        7.278s     139.961ms           0 b           0 b       1.46 Gb    -896.52 Gb            52            --  
                                            aten::empty         0.03%      14.917ms         0.03%      14.917ms       4.824us       0.000us         0.00%       0.000us       0.000us     147.10 Mb     147.10 Mb      78.09 Gb      78.09 Gb          3092            --  
                                       aten::batch_norm         0.00%     211.000us         0.01%       8.279ms     103.487us       0.000us         0.00%      44.274ms     553.425us           0 b           0 b       3.64 Gb           0 b            80            --  
                           aten::_batch_norm_impl_index         0.00%     403.000us         0.01%       8.068ms     100.850us       0.000us         0.00%      44.274ms     553.425us           0 b           0 b       3.64 Gb           0 b            80            --  
                                             aten::real         0.00%       2.077ms         0.01%       6.240ms      10.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           624            --  
                                 aten::cudnn_batch_norm         0.01%       2.903ms         0.01%       5.714ms      71.425us      32.470ms         0.11%      32.470ms     405.875us           0 b           0 b       2.37 Gb           0 b            80            --  
                                       aten::empty_like         0.00%       1.547ms         0.01%       4.905ms       8.175us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      16.76 Gb           0 b           600            --  
                                          aten::resize_         0.01%       4.892ms         0.01%       4.892ms       3.618us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      32.73 Gb      32.73 Gb          1352            --  
                                            aten::slice         0.01%       3.067ms         0.01%       4.317ms       3.321us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1300            --  
                                    aten::empty_strided         0.01%       4.033ms         0.01%       4.033ms       7.581us       0.000us         0.00%       0.000us       0.000us     147.00 Mb     147.00 Mb      16.72 Gb      16.72 Gb           532            --  
                                           aten::narrow         0.00%       1.101ms         0.01%       3.144ms       4.319us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           728            --  
                                       aten::as_strided         0.01%       2.918ms         0.01%       2.918ms       1.048us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2784            --  
                                           aten::select         0.00%       1.687ms         0.00%       2.384ms       3.821us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           624            --  
                                           aten::conv2d         0.00%     124.000us         0.00%       2.369ms      84.607us       0.000us         0.00%      22.380ms     799.286us           0 b           0 b       1.10 Gb           0 b            28    159073.174  
                                      aten::convolution         0.00%     267.000us         0.00%       2.245ms      80.179us       0.000us         0.00%      22.380ms     799.286us           0 b           0 b       1.10 Gb           0 b            28            --  
                                     aten::_convolution         0.00%     188.000us         0.00%       1.978ms      70.643us       0.000us         0.00%      22.380ms     799.286us           0 b           0 b       1.10 Gb           0 b            28            --  
                                       aten::contiguous         0.00%     140.000us         0.00%       1.951ms      37.519us       0.000us         0.00%      11.804ms     227.000us           0 b           0 b       1.27 Gb           0 b            52            --  
                                aten::cudnn_convolution         0.00%       1.073ms         0.00%       1.790ms      63.929us      22.380ms         0.08%      22.380ms     799.286us           0 b           0 b       1.10 Gb       1.10 Gb            28            --  
                                     aten::view_as_real         0.00%       1.779ms         0.00%       1.779ms       2.851us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           624            --  
                                            aten::relu_         0.00%     603.000us         0.00%       1.668ms      24.529us       0.000us         0.00%      19.101ms     280.897us           0 b           0 b           0 b           0 b            68            --  
    autograd::engine::evaluate_function: AddmmBackward0         0.00%     245.000us         0.00%       1.578ms     394.500us       0.000us         0.00%     107.000us      26.750us           0 b           0 b     802.00 Kb    -512.00 Kb             4            --  
                                          aten::reshape         0.00%       1.094ms         0.00%       1.507ms       3.588us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           420            --  
                                          aten::permute         0.00%     993.000us         0.00%       1.392ms       3.346us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           416            --  
                                        aten::unsqueeze         0.00%     976.000us         0.00%       1.273ms       4.896us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           260            --  
                                       aten::clamp_min_         0.00%     526.000us         0.00%       1.065ms      15.662us      19.101ms         0.07%      19.101ms     280.897us           0 b           0 b           0 b           0 b            68            --  
                                         AddmmBackward0         0.00%     203.000us         0.00%       1.019ms     254.750us       0.000us         0.00%      75.000us      18.750us           0 b           0 b       1.28 Mb           0 b             4            --  
                                               aten::mm         0.00%     312.000us         0.00%     592.000us      74.000us      75.000us         0.00%      75.000us       9.375us           0 b           0 b       1.28 Mb       1.28 Mb             8        52.429  
     autograd::engine::evaluate_function: MeanBackward1         0.00%      57.000us         0.00%     529.000us     132.250us       0.000us         0.00%      99.000us      24.750us           0 b           0 b      24.00 Mb    -512.00 Kb             4            --  
                                          MeanBackward1         0.00%      78.000us         0.00%     472.000us     118.000us       0.000us         0.00%      99.000us      24.750us           0 b           0 b      24.50 Mb           0 b             4            --  
                                            aten::_conj         0.00%     370.000us         0.00%     457.000us       4.394us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           104            --  
                                   aten::_reshape_alias         0.00%     434.000us         0.00%     434.000us       1.024us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           424            --  
                                      aten::as_strided_         0.00%     389.000us         0.00%     389.000us       0.935us       0.000us         0.00%       0.000us       0.000us           0 b           0 b    -223.19 Mb    -223.19 Mb           416            --  
                                           aten::linear         0.00%      44.000us         0.00%     357.000us      89.250us       0.000us         0.00%      76.000us      19.000us           0 b           0 b     100.00 Kb           0 b             4            --  
                                              aten::div         0.00%     221.000us         0.00%     338.000us      84.500us      99.000us         0.00%      99.000us      24.750us           0 b           0 b      24.50 Mb      24.50 Mb             4            --  
                                  cudaStreamSynchronize         0.00%     325.000us         0.00%     325.000us      27.083us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            12            --  
                                                aten::t         0.00%     149.000us         0.00%     324.000us      16.200us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            20            --  
                                             aten::view         0.00%     292.000us         0.00%     292.000us       1.780us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           164            --  
    autograd::engine::evaluate_function: CloneBackward0         0.00%     272.000us         0.00%     288.000us       5.538us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            52            --  
                                        cudaMemsetAsync         0.00%     272.000us         0.00%     272.000us       9.714us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            28            --  
                                            aten::addmm         0.00%     176.000us         0.00%     269.000us      67.250us      76.000us         0.00%      76.000us      19.000us           0 b           0 b     100.00 Kb     100.00 Kb             4        26.214  
                                            aten::zeros         0.00%     128.000us         0.00%     230.000us      28.750us       0.000us         0.00%       0.000us       0.000us          32 b           0 b           0 b           0 b             8            --  
                                        cudaBindTexture         0.00%     214.000us         0.00%     214.000us       3.821us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            56            --  
      autograd::engine::evaluate_function: AddBackward0         0.00%     183.000us         0.00%     200.000us       6.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            32            --  
                                        aten::transpose         0.00%     117.000us         0.00%     175.000us       8.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            20            --  
                                       aten::max_pool2d         0.00%      21.000us         0.00%     174.000us      43.500us       0.000us         0.00%       6.497ms       1.624ms           0 b           0 b     588.00 Mb           0 b             4            --  
                              aten::adaptive_avg_pool2d         0.00%      18.000us         0.00%     171.000us      42.750us       0.000us         0.00%     224.000us      56.000us           0 b           0 b     512.00 Kb           0 b             4            --  
                                 cudaFuncSetCacheConfig         0.00%     154.000us         0.00%     154.000us       0.308us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           500            --  
                          aten::max_pool2d_with_indices         0.00%     101.000us         0.00%     153.000us      38.250us       6.497ms         0.02%       6.497ms       1.624ms           0 b           0 b     588.00 Mb     588.00 Mb             4            --  
                                             aten::mean         0.00%     102.000us         0.00%     153.000us      38.250us     224.000us         0.00%     224.000us      56.000us           0 b           0 b     512.00 Kb     512.00 Kb             4            --  
        autograd::engine::evaluate_function: TBackward0         0.00%      49.000us         0.00%     122.000us      30.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
autograd::engine::evaluate_function: ReshapeAliasBac...         0.00%      42.000us         0.00%     113.000us      28.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
                                            aten::alias         0.00%      87.000us         0.00%      87.000us       0.837us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           104            --  
                                             TBackward0         0.00%      17.000us         0.00%      73.000us      18.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 57.211s
Self CUDA time total: 28.511s
[0m
