training_step,training_loss,training_accuracy,training_runtime_forward_ms,training_runtime_backward_ms,validation_loss,validation_accuracy,validation_runtime_forward_ms
312,0.20816059410572052,93.37060546875,2035.3003133076447,3471.864218957508,,,
625,0.14451515674591064,94.80830383300781,2035.1169280017527,3471.7327632700294,,,
938,0.11192359030246735,96.32587432861328,2035.0797404639256,3471.6592352039897,,,
1251,0.13560181856155396,95.12779235839844,2035.0672077661316,3471.688273806161,,,
1564,0.12312442064285278,95.76676940917969,2035.0704046960075,3471.613068609668,,,
1877,0.11386065185070038,96.4856185913086,2035.073772298928,3471.614797715657,,,
2190,0.10799659788608551,96.32587432861328,2035.1216629885446,3471.774477749682,,,
2503,0.09854067116975784,96.72523498535156,2035.077047067138,3471.656321265256,,,
2816,0.10997341573238373,96.56549072265625,2035.092985489593,3471.655607521058,,,
3129,0.11800897121429443,95.76676940917969,2035.1018717946906,3471.703440784075,,,
3442,0.1151115819811821,96.56549072265625,2035.1153164387893,3471.8174847860496,,,
3755,0.11617348343133926,96.4856185913086,2035.1144994814365,3471.7435074833256,,,
4068,0.09163593500852585,97.2044677734375,2035.1449411017254,3471.9230175351563,,,
4381,0.09029379487037659,96.88497924804688,2035.0796182553609,3471.653177715338,,,
4694,0.09001728147268295,96.72523498535156,2035.0679530860327,3471.6186959284564,,,
5007,0.09701649844646454,96.4856185913086,2035.1178229997713,3471.76002505155,,,
5320,0.09343772381544113,96.6453628540039,2035.1088289230968,3471.7383265209655,,,
5633,0.09970057010650635,96.40574645996094,2035.0716142251658,3471.6237217497332,,,
5946,0.0782223492860794,97.84345245361328,2035.1451470519598,3471.934757150781,,,
6259,0.08470549434423447,97.2044677734375,2035.140397211614,3471.9328494212878,,,
6572,0.1148076057434082,95.76676940917969,2035.1176236193783,3471.790484239023,,,
6885,0.07189082354307175,97.68370056152344,2035.0845515513763,3471.682214520324,,,
7198,0.09598881006240845,96.4856185913086,2035.115658296659,3471.839469890244,,,
7511,0.07642126828432083,97.92332458496094,2035.1173393547344,3471.8269480826757,,,
7824,0.07768286764621735,97.36421203613281,2035.0760067232882,3471.596125632334,,,
8137,0.08217253535985947,97.28433990478516,2035.1170184798896,3471.830175850338,,,
8450,0.10016676038503647,96.16613006591797,2035.1177544568102,3471.7969808358544,,,
8763,0.09439881891012192,97.04472351074219,2035.1075751308244,3471.790084966455,,,
9076,0.0689626932144165,97.68370056152344,2035.0723658411648,3471.76228294643,,,
9389,0.07671487331390381,97.36421203613281,2035.102401119166,3471.786334932136,,,
9702,0.0686333104968071,97.68370056152344,2035.0861025813479,3471.7404135523702,,,
10015,0.06878473609685898,97.92332458496094,2035.1212300574437,3471.794257160669,,,
10328,0.08991358429193497,97.28433990478516,2035.113096510926,3471.749156451644,,,
10641,0.05663209781050682,98.32268524169922,2035.139084231263,3471.845071786604,,,
10954,0.06988847255706787,97.92332458496094,2035.1127973808268,3471.640604622543,,,
11267,0.09204336255788803,97.12459564208984,2035.0798019371664,3471.670778771749,,,
11580,0.09517717361450195,97.04472351074219,2035.1322516679954,3471.844219064084,,,
11893,0.07191239297389984,98.08306884765625,2035.11141279873,3471.806748225666,,,
12206,0.07173498719930649,97.76358032226562,2035.1070780723621,3471.737092830979,,,
12499,,,,,0.23491278290748596,93.63999938964844,2034.3280520245432
