-----------------------------------------------------------------------------------------------------------------------------
Showing AlexNet_CIFAR10_Conv2dRFFTFunction_date-20240129-044012.pt
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::empty_like         0.00%     769.000us         0.01%       2.398ms      13.322us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       3.46 Gb           0 b           180            --  
                        torch::autograd::AccumulateGrad         0.00%     591.000us         0.01%       2.309ms      33.956us       0.000us         0.00%      11.747ms     172.750us           0 b           0 b      -1.79 Gb      -1.79 Gb            68            --  
                                            aten::slice         0.01%       1.611ms         0.01%       2.124ms       5.310us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           400            --  
                                    aten::empty_strided         0.01%       2.012ms         0.01%       2.012ms      10.702us       0.000us         0.00%       0.000us       0.000us     147.00 Mb     147.00 Mb       4.67 Gb       4.67 Gb           188            --  
                                           aten::linear         0.00%     242.000us         0.01%       2.012ms     167.667us       0.000us         0.00%      12.426ms       1.036ms           0 b           0 b       8.01 Mb           0 b            12            --  
autograd::engine::evaluate_function: ConvolutionBack...         0.00%      54.000us         0.01%       1.933ms     483.250us       0.000us         0.00%      28.134ms       7.034ms           0 b           0 b     -41.71 Mb    -189.06 Mb             4            --  
                                             aten::mul_         0.00%     548.000us         0.01%       1.893ms      39.438us       0.000us         0.00%      13.633ms     284.021us           0 b           8 b           0 b           0 b            48            --  
                                   ConvolutionBackward0         0.00%      55.000us         0.01%       1.879ms     469.750us       0.000us         0.00%      28.134ms       7.034ms           0 b           0 b     147.36 Mb           0 b             4            --  
                                             aten::add_         0.01%     910.000us         0.01%       1.854ms      27.265us      13.364ms         0.15%      13.364ms     196.529us           0 b           0 b           0 b           0 b            68            --  
                             aten::convolution_backward         0.00%     632.000us         0.01%       1.824ms     456.000us      26.995ms         0.31%      28.134ms       7.034ms           0 b           0 b     147.36 Mb     146.84 Mb             4            --  
                                           aten::narrow         0.00%     732.000us         0.01%       1.774ms       7.920us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           224            --  
     autograd::engine::evaluate_function: ReluBackward0         0.00%     315.000us         0.01%       1.634ms      58.357us       0.000us         0.00%       5.911ms     211.107us           0 b           0 b    -518.09 Mb   -1001.06 Mb            28            --  
                                           aten::conv2d         0.00%      68.000us         0.01%       1.598ms     399.500us       0.000us         0.00%       6.691ms       1.673ms           0 b           0 b     190.53 Mb           0 b             4     35981.722  
                                               aten::mm         0.00%     755.000us         0.01%       1.571ms      65.458us       9.250ms         0.11%       9.250ms     385.417us           0 b           0 b     851.44 Mb     851.44 Mb            24     55876.518  
autograd::engine::evaluate_function: MaxPool2DWithIn...         0.00%     202.000us         0.01%       1.564ms     130.333us       0.000us         0.00%       9.985ms     832.083us           0 b           0 b      78.88 Mb    -289.12 Mb            12            --  
                                            aten::addmm         0.01%     916.000us         0.01%       1.550ms     129.167us      12.426ms         0.14%      12.426ms       1.036ms           0 b           0 b       8.01 Mb       8.01 Mb            12     27938.259  
                                      aten::convolution         0.00%     130.000us         0.01%       1.530ms     382.500us       0.000us         0.00%       6.691ms       1.673ms           0 b           0 b     190.53 Mb           0 b             4            --  
                                     aten::_convolution         0.00%     165.000us         0.01%       1.400ms     350.000us       0.000us         0.00%       6.691ms       1.673ms           0 b           0 b     190.53 Mb           0 b             4            --  
                          MaxPool2DWithIndicesBackward0         0.00%     118.000us         0.01%       1.362ms     113.500us       0.000us         0.00%       9.985ms     832.083us           0 b           0 b     368.00 Mb           0 b            12            --  
                                       aten::as_strided         0.01%       1.329ms         0.01%       1.329ms       1.414us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           940            --  
                                          ReluBackward0         0.00%     217.000us         0.01%       1.319ms      47.107us       0.000us         0.00%       5.911ms     211.107us           0 b           0 b     482.97 Mb           0 b            28            --  
                                            aten::relu_         0.00%     493.000us         0.01%       1.287ms      45.964us       0.000us         0.00%       4.052ms     144.714us           0 b           0 b           0 b           0 b            28            --  
                 aten::max_pool2d_with_indices_backward         0.00%     408.000us         0.01%       1.244ms     103.667us       7.824ms         0.09%       9.985ms     832.083us           0 b           0 b     368.00 Mb     288.88 Mb            12            --  
                                           aten::select         0.00%     847.000us         0.01%       1.134ms       5.906us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           192            --  
                               aten::threshold_backward         0.00%     633.000us         0.01%       1.102ms      39.357us       5.911ms         0.07%       5.911ms     211.107us           0 b           0 b     482.97 Mb     482.97 Mb            28            --  
                                          aten::reshape         0.00%     712.000us         0.01%       1.000ms       6.579us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           152            --  
                                aten::cudnn_convolution         0.00%     550.000us         0.01%     940.000us     235.000us       5.074ms         0.06%       5.074ms       1.268ms           0 b           0 b     190.53 Mb     190.46 Mb             4            --  
                                     aten::view_as_real         0.00%     802.000us         0.00%     802.000us       4.177us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           192            --  
                                                aten::t         0.00%     373.000us         0.00%     798.000us      13.300us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            60            --  
                                       aten::clamp_min_         0.00%     381.000us         0.00%     794.000us      28.357us       4.052ms         0.05%       4.052ms     144.714us           0 b           0 b           0 b           0 b            28            --  
                                       aten::max_pool2d         0.00%      73.000us         0.00%     767.000us      63.917us       0.000us         0.00%       3.230ms     269.167us           0 b           0 b     262.31 Mb           0 b            12            --  
                                          aten::dropout         0.00%      48.000us         0.00%     707.000us      88.375us       0.000us         0.00%     123.000us      15.375us           0 b           0 b      16.25 Mb           0 b             8            --  
                          aten::max_pool2d_with_indices         0.00%     473.000us         0.00%     694.000us      57.833us       3.230ms         0.04%       3.230ms     269.167us           0 b           0 b     262.31 Mb     262.31 Mb            12            --  
                                          aten::permute         0.00%     515.000us         0.00%     678.000us       5.297us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           128            --  
                                   aten::native_dropout         0.00%     223.000us         0.00%     659.000us      82.375us     123.000us         0.00%     123.000us      15.375us           0 b           0 b      16.25 Mb           0 b             8            --  
                                        aten::unsqueeze         0.00%     484.000us         0.00%     615.000us       7.688us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            80            --  
autograd::engine::evaluate_function: NativeDropoutBa...         0.00%      89.000us         0.00%     551.000us      68.875us       0.000us         0.00%     131.000us      16.375us           0 b           0 b      -5.06 Mb     -18.06 Mb             8            --  
autograd::engine::evaluate_function: AdaptiveAvgPool...         0.00%      53.000us         0.00%     477.000us     119.250us       0.000us         0.00%     933.000us     233.250us           0 b           0 b      -7.19 Mb     -18.00 Mb             4            --  
                                 NativeDropoutBackward0         0.00%      53.000us         0.00%     462.000us      57.750us       0.000us         0.00%     131.000us      16.375us           0 b           0 b      13.00 Mb           0 b             8            --  
                                            aten::zero_         0.00%     101.000us         0.00%     431.000us      17.958us       0.000us         0.00%       1.480ms      61.667us           0 b           0 b           0 b           0 b            24            --  
                                        aten::transpose         0.00%     303.000us         0.00%     425.000us       7.083us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            60            --  
                             AdaptiveAvgPool2DBackward0         0.00%      36.000us         0.00%     424.000us     106.000us       0.000us         0.00%     933.000us     233.250us           0 b           0 b      10.81 Mb           0 b             4            --  
                          aten::native_dropout_backward         0.00%     153.000us         0.00%     409.000us      51.125us     131.000us         0.00%     131.000us      16.375us           0 b           0 b      13.00 Mb           0 b             8            --  
                    aten::_adaptive_avg_pool2d_backward         0.00%      85.000us         0.00%     388.000us      97.000us     896.000us         0.01%     933.000us     233.250us           0 b           0 b      10.81 Mb           0 b             4            --  
                                  cudaStreamSynchronize         0.00%     387.000us         0.00%     387.000us      32.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            12            --  
                                        cudaMemsetAsync         0.00%     374.000us         0.00%     374.000us      15.583us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            24            --  
                                       aten::contiguous         0.00%      20.000us         0.00%     355.000us      44.375us       0.000us         0.00%     718.000us      89.750us           0 b           0 b      79.12 Mb           0 b             8            --  
                                   aten::_reshape_alias         0.00%     316.000us         0.00%     316.000us       2.026us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           156            --  
                              aten::adaptive_avg_pool2d         0.00%      28.000us         0.00%     292.000us      73.000us       0.000us         0.00%     969.000us     242.250us           0 b           0 b       9.00 Mb           0 b             4            --  
                             aten::_adaptive_avg_pool2d         0.00%     103.000us         0.00%     264.000us      66.000us     969.000us         0.01%     969.000us     242.250us           0 b           0 b       9.00 Mb           0 b             4            --  
        autograd::engine::evaluate_function: TBackward0         0.00%      93.000us         0.00%     253.000us      21.083us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            12            --  
                                            aten::_conj         0.00%     206.000us         0.00%     237.000us       7.406us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            32            --  
                                       aten::zeros_like         0.00%      29.000us         0.00%     220.000us      55.000us       0.000us         0.00%      37.000us       9.250us           0 b           0 b      10.81 Mb           0 b             4            --  
                                            aten::zeros         0.00%     113.000us         0.00%     219.000us      27.375us       0.000us         0.00%       0.000us       0.000us          32 b           0 b           0 b           0 b             8            --  
                                 cudaFuncSetCacheConfig         0.00%     216.000us         0.00%     216.000us       0.900us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           240            --  
                                             TBackward0         0.00%      42.000us         0.00%     160.000us      13.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            12            --  
                                      aten::as_strided_         0.00%     149.000us         0.00%     149.000us       1.164us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           128            --  
                                         cudaEventQuery         0.00%     112.000us         0.00%     112.000us       7.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            16            --  
                                        cudaBindTexture         0.00%     101.000us         0.00%     101.000us      12.625us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             8            --  
                                           aten::detach         0.00%      34.000us         0.00%      99.000us      24.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
autograd::engine::evaluate_function: ReshapeAliasBac...         0.00%      26.000us         0.00%      92.000us      23.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
                                           aten::expand         0.00%      55.000us         0.00%      75.000us       6.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            12            --  
                                  ReshapeAliasBackward0         0.00%      20.000us         0.00%      66.000us      16.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 17.731s
Self CUDA time total: 8.653s

