-----------------------------------------------------------------------------------------------------------------------------
Showing AlexNet_CIFAR10_Conv2dRFFTFunction_date-20240129-044012.pt
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.00%      57.000us         0.01%       2.405ms     601.250us       0.000us         0.00%      27.801ms       6.950ms           0 b           0 b     -41.71 Mb    -189.06 Mb             4            --  
                                   ConvolutionBackward0         0.00%      81.000us         0.01%       2.348ms     587.000us       0.000us         0.00%      27.801ms       6.950ms           0 b           0 b     147.36 Mb           0 b             4            --  
                             aten::convolution_backward         0.00%     772.000us         0.01%       2.267ms     566.750us      26.722ms         0.23%      27.801ms       6.950ms           0 b           0 b     147.36 Mb     146.84 Mb             4            --  
                                            aten::fill_         0.00%     934.000us         0.01%       2.260ms      23.542us      12.687ms         0.11%      12.687ms     132.156us           0 b           0 b           0 b           0 b            96            --  
                        torch::autograd::AccumulateGrad         0.00%     599.000us         0.01%       2.233ms      32.838us       0.000us         0.00%      11.760ms     172.941us           0 b           0 b      -1.79 Gb      -1.79 Gb            68            --  
                                             aten::real         0.00%     613.000us         0.01%       2.191ms      22.823us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            96            --  
                                             aten::imag         0.00%     594.000us         0.01%       2.024ms      21.083us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            96            --  
                                       aten::empty_like         0.00%     580.000us         0.01%       1.942ms      13.122us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       3.21 Gb           0 b           148            --  
                                            aten::slice         0.01%       1.411ms         0.01%       1.892ms       4.730us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           400            --  
     autograd::engine::evaluate_function: ReluBackward0         0.00%     467.000us         0.01%       1.802ms      64.357us       0.000us         0.00%       5.914ms     211.214us           0 b           0 b    -518.09 Mb   -1001.06 Mb            28            --  
                                             aten::mul_         0.00%     506.000us         0.01%       1.786ms      37.208us       0.000us         0.00%      13.620ms     283.750us           0 b           0 b           0 b           0 b            48            --  
                                           aten::linear         0.00%     146.000us         0.01%       1.753ms     146.083us       0.000us         0.00%      12.408ms       1.034ms           0 b           0 b       8.01 Mb           0 b            12            --  
                                             aten::add_         0.00%     890.000us         0.01%       1.749ms      25.721us      13.379ms         0.11%      13.379ms     196.750us           0 b           0 b           0 b           0 b            68            --  
                                              aten::sub         0.00%     924.000us         0.01%       1.671ms      34.812us        1.294s        11.02%        1.294s      26.960ms           0 b           0 b      99.00 Gb      99.00 Gb            48            --  
                                               aten::mm         0.00%     759.000us         0.01%       1.559ms      64.958us       9.251ms         0.08%       9.251ms     385.458us           0 b           0 b     851.44 Mb     851.44 Mb            24        55.877  
autograd::engine::evaluate_function: MaxPool2DWithIn...         0.00%     153.000us         0.01%       1.503ms     125.250us       0.000us         0.00%       9.995ms     832.917us           0 b           0 b      78.88 Mb    -289.12 Mb            12            --  
                                           aten::narrow         0.00%     514.000us         0.01%       1.470ms       6.562us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           224            --  
                                           aten::conv2d         0.00%      45.000us         0.01%       1.437ms     359.250us       0.000us         0.00%       6.695ms       1.674ms           0 b           0 b     190.53 Mb           0 b             4        35.982  
                                           aten::select         0.01%       1.210ms         0.01%       1.436ms       7.479us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           192            --  
                                            aten::addmm         0.00%     831.000us         0.01%       1.422ms     118.500us      12.408ms         0.11%      12.408ms       1.034ms           0 b           0 b       8.01 Mb       8.01 Mb            12        27.938  
                                      aten::convolution         0.00%     109.000us         0.01%       1.392ms     348.000us       0.000us         0.00%       6.695ms       1.674ms           0 b           0 b     190.53 Mb           0 b             4            --  
                          MaxPool2DWithIndicesBackward0         0.00%     108.000us         0.01%       1.350ms     112.500us       0.000us         0.00%       9.995ms     832.917us           0 b           0 b     368.00 Mb           0 b            12            --  
                                          ReluBackward0         0.00%     217.000us         0.01%       1.335ms      47.679us       0.000us         0.00%       5.914ms     211.214us           0 b           0 b     482.97 Mb           0 b            28            --  
                                     aten::_convolution         0.00%     151.000us         0.01%       1.283ms     320.750us       0.000us         0.00%       6.695ms       1.674ms           0 b           0 b     190.53 Mb           0 b             4            --  
                 aten::max_pool2d_with_indices_backward         0.00%     399.000us         0.01%       1.242ms     103.500us       7.831ms         0.07%       9.995ms     832.917us           0 b           0 b     368.00 Mb     288.88 Mb            12            --  
                                       aten::as_strided         0.01%       1.209ms         0.01%       1.209ms       1.286us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           940            --  
                                    aten::empty_strided         0.00%       1.158ms         0.00%       1.158ms      12.587us       0.000us         0.00%       0.000us       0.000us     147.00 Mb     147.00 Mb       1.58 Gb       1.58 Gb            92            --  
                                            aten::relu_         0.00%     411.000us         0.00%       1.158ms      41.357us       0.000us         0.00%       4.051ms     144.679us           0 b           0 b           0 b           0 b            28            --  
                               aten::threshold_backward         0.00%     620.000us         0.00%       1.118ms      39.929us       5.914ms         0.05%       5.914ms     211.214us           0 b           0 b     482.97 Mb     482.97 Mb            28            --  
                                     aten::view_as_real         0.00%       1.097ms         0.00%       1.097ms       5.714us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           192            --  
                                aten::cudnn_convolution         0.00%     514.000us         0.00%     880.000us     220.000us       5.076ms         0.04%       5.076ms       1.269ms           0 b           0 b     190.53 Mb     190.46 Mb             4            --  
                                          aten::reshape         0.00%     545.000us         0.00%     816.000us       5.368us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           152            --  
                                                aten::t         0.00%     426.000us         0.00%     812.000us      13.533us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            60            --  
                                       aten::clamp_min_         0.00%     352.000us         0.00%     747.000us      26.679us       4.051ms         0.03%       4.051ms     144.679us           0 b           0 b           0 b           0 b            28            --  
                                       aten::max_pool2d         0.00%      65.000us         0.00%     687.000us      57.250us       0.000us         0.00%       3.227ms     268.917us           0 b           0 b     262.31 Mb           0 b            12            --  
                                          aten::dropout         0.00%      37.000us         0.00%     663.000us      82.875us       0.000us         0.00%     125.000us      15.625us           0 b           0 b      16.25 Mb           0 b             8            --  
                                   aten::native_dropout         0.00%     228.000us         0.00%     626.000us      78.250us     125.000us         0.00%     125.000us      15.625us           0 b           0 b      16.25 Mb           0 b             8            --  
                          aten::max_pool2d_with_indices         0.00%     413.000us         0.00%     622.000us      51.833us       3.227ms         0.03%       3.227ms     268.917us           0 b           0 b     262.31 Mb     262.31 Mb            12            --  
                                          aten::permute         0.00%     409.000us         0.00%     556.000us       4.344us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           128            --  
                                        aten::unsqueeze         0.00%     414.000us         0.00%     550.000us       6.875us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            80            --  
autograd::engine::evaluate_function: NativeDropoutBa...         0.00%      77.000us         0.00%     536.000us      67.000us       0.000us         0.00%     132.000us      16.500us           0 b           0 b      -5.06 Mb     -18.06 Mb             8            --  
                                          aten::resize_         0.00%     481.000us         0.00%     481.000us       3.644us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       9.00 Mb       9.00 Mb           132            --  
autograd::engine::evaluate_function: AdaptiveAvgPool...         0.00%      57.000us         0.00%     472.000us     118.000us       0.000us         0.00%     935.000us     233.750us           0 b           0 b      -7.19 Mb     -18.00 Mb             4            --  
                                            aten::_conj         0.00%     403.000us         0.00%     465.000us       4.844us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            96            --  
                                 NativeDropoutBackward0         0.00%      54.000us         0.00%     459.000us      57.375us       0.000us         0.00%     132.000us      16.500us           0 b           0 b      13.00 Mb           0 b             8            --  
                                            aten::zero_         0.00%      99.000us         0.00%     424.000us      17.667us       0.000us         0.00%       1.483ms      61.792us           0 b           0 b           0 b           0 b            24            --  
                             AdaptiveAvgPool2DBackward0         0.00%      33.000us         0.00%     415.000us     103.750us       0.000us         0.00%     935.000us     233.750us           0 b           0 b      10.81 Mb           0 b             4            --  
                          aten::native_dropout_backward         0.00%     152.000us         0.00%     405.000us      50.625us     132.000us         0.00%     132.000us      16.500us           0 b           0 b      13.00 Mb           0 b             8            --  
                                        cudaMemsetAsync         0.00%     402.000us         0.00%     402.000us      16.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            24            --  
                                        aten::transpose         0.00%     276.000us         0.00%     386.000us       6.433us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            60            --  
                    aten::_adaptive_avg_pool2d_backward         0.00%      93.000us         0.00%     382.000us      95.500us     895.000us         0.01%     935.000us     233.750us           0 b           0 b      10.81 Mb           0 b             4            --  
                                  cudaStreamSynchronize         0.00%     374.000us         0.00%     374.000us      31.167us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            12            --  
                                       aten::contiguous         0.00%      23.000us         0.00%     372.000us      46.500us       0.000us         0.00%     721.000us      90.125us           0 b           0 b      79.12 Mb           0 b             8            --  
                                   aten::_reshape_alias         0.00%     292.000us         0.00%     292.000us       1.872us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           156            --  
                              aten::adaptive_avg_pool2d         0.00%      23.000us         0.00%     270.000us      67.500us       0.000us         0.00%     969.000us     242.250us           0 b           0 b       9.00 Mb           0 b             4            --  
        autograd::engine::evaluate_function: TBackward0         0.00%     106.000us         0.00%     263.000us      21.917us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            12            --  
                             aten::_adaptive_avg_pool2d         0.00%      88.000us         0.00%     247.000us      61.750us     969.000us         0.01%     969.000us     242.250us           0 b           0 b       9.00 Mb           0 b             4            --  
                                            aten::zeros         0.00%     113.000us         0.00%     226.000us      28.250us       0.000us         0.00%       0.000us       0.000us          32 b           0 b           0 b           0 b             8            --  
                                       aten::zeros_like         0.00%      28.000us         0.00%     211.000us      52.750us       0.000us         0.00%      40.000us      10.000us           0 b           0 b      10.81 Mb           0 b             4            --  
                                        aten::_neg_view         0.00%     184.000us         0.00%     204.000us       6.375us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            32            --  
                                 cudaFuncSetCacheConfig         0.00%     187.000us         0.00%     187.000us       0.779us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           240            --  
