training_step,training_loss,training_accuracy,training_runtime_forward_ms,training_runtime_backward_ms,validation_loss,validation_accuracy,validation_runtime_forward_ms
156,0.20822782814502716,94.34713745117188,3854.6437020324597,6904.215154777857,,,
313,0.17515014111995697,94.42675018310547,3844.4854711318853,6901.211296344639,,,
470,0.17431503534317017,94.98407745361328,3844.45433971134,6900.886728813884,,,
627,0.14160117506980896,95.46178436279297,3844.3995873164977,6901.018666328898,,,
784,0.1243303045630455,96.25796508789062,3844.5089692190572,6900.945565764122,,,
941,0.11157073825597763,96.89490509033203,3844.6359910118354,6901.224703806791,,,
1098,0.13423335552215576,95.78025817871094,3844.36358860249,6900.664685021161,,,
1255,0.13376426696777344,96.25796508789062,3844.4086969325876,6900.682195499065,,,
1412,0.14286117255687714,95.30255126953125,3844.3762840359072,6900.709994161015,,,
1569,0.11689343303442001,96.97452545166016,3844.5022386635187,6900.979702995651,,,
1726,0.10855034738779068,96.25796508789062,3844.487965201876,6900.822820367327,,,
1883,0.12296797335147858,96.41719818115234,3844.4411094496204,6901.14115482303,,,
2040,0.10879069566726685,96.65605163574219,3844.361957471082,6899.54502266019,,,
2197,0.1381235122680664,95.38216400146484,3844.476321795184,6901.1027486935545,,,
2354,0.12195964902639389,96.57643127441406,3844.8836752421157,6902.29808738467,,,
2511,0.11916955560445786,96.09872436523438,3844.479839631896,6901.436138565943,,,
2668,0.09951469302177429,96.33757781982422,3844.429286873075,6900.832363374674,,,
2825,0.13478295505046844,96.09872436523438,3844.5129848684473,6900.913588797591,,,
2982,0.10763952136039734,96.49681854248047,3844.6764719144553,6900.845716879436,,,
3139,0.12734343111515045,95.5414047241211,3844.625799661609,6901.327496216555,,,
3296,0.10275024175643921,96.8152847290039,3844.631950495539,6900.914163939702,,,
3453,0.11037401854991913,96.25796508789062,3844.6169916516656,6901.035825893947,,,
3610,0.09795928001403809,96.73567199707031,3844.6561019084634,6900.880351306716,,,
3767,0.10107230395078659,97.21337890625,3844.4550172870704,6900.901435453231,,,
3924,0.08852224051952362,97.2929916381836,3844.6979238444073,6900.884186955774,,,
4081,0.10118048638105392,97.61146545410156,3844.4732119370797,6900.735342792075,,,
4238,0.08415878564119339,96.8152847290039,3844.6841365687405,6900.749845370935,,,
4395,0.10471899062395096,96.97452545166016,3844.521792878391,6900.92025758924,,,
4552,0.13782890141010284,96.01911163330078,3844.664546619555,6901.56996757931,,,
4709,0.09917799383401871,97.13375854492188,3844.6187500361425,6900.523890023399,,,
4866,0.10718604922294617,96.97452545166016,3844.694603566721,6900.735118444179,,,
5023,0.08237621933221817,97.45223236083984,3844.4684755745207,6900.730134266767,,,
5180,0.10139547288417816,96.8152847290039,3844.545499629276,6900.643925781653,,,
5337,0.09077586978673935,97.53184509277344,3844.4673885253205,6900.865179409457,,,
5494,0.10094278305768967,96.89490509033203,3844.5160910961736,6900.8660511273865,,,
5651,0.10390586405992508,96.25796508789062,3844.6161435905155,6900.778791801945,,,
5808,0.09894027560949326,96.41719818115234,3844.6619975481444,6900.861343736671,,,
5965,0.08449553698301315,97.53184509277344,3844.446100982701,6900.8102751081915,,,
6122,0.07873985916376114,97.69108581542969,3844.455818675316,6900.834627568152,,,
6249,,,,,0.10685021430253983,96.43000030517578,3842.1938028723002
