-----------------------------------------------------------------------------------------------------------------------------
Showing EfficientNetB3_CIFAR10_Conv2dRFFTFunction_date-20240129-071732.pt
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::pad         0.01%       4.129ms         1.86%        1.115s       1.353ms       0.000us         0.00%      25.129ms      30.496us           0 b           0 b       2.86 Gb           0 b           824            --  
                                              aten::add         0.05%      27.352ms         1.66%     993.577ms     611.808us        3.111s         9.31%        3.111s       1.915ms           0 b           0 b     351.37 Gb     351.37 Gb          1624      1038.755  
                                              aten::exp         1.43%     854.757ms         1.43%     854.757ms     691.551us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     699.94 Gb     699.94 Gb          1236            --  
                                             aten::mul_         0.01%       6.803ms         1.00%     601.454ms     976.386us       4.000us         0.00%     139.741ms     226.852us           0 b         200 b           0 b           0 b           616            --  
                                            aten::fill_         0.01%       4.917ms         0.65%     387.265ms     939.964us     104.694ms         0.31%     104.694ms     254.112us           0 b           0 b           0 b           0 b           412            --  
      autograd::engine::evaluate_function: MulBackward0         0.00%       2.795ms         0.56%     338.037ms       1.878ms       0.000us         0.00%      34.336ms     190.756us           0 b           0 b    -963.27 Mb      -3.52 Gb           180            --  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.01%       5.244ms         0.46%     277.383ms     889.048us       0.000us         0.00%      63.330ms     202.981us           0 b           0 b      -3.15 Gb      -6.26 Gb           312            --  
                                CudnnBatchNormBackward0         0.00%       2.394ms         0.45%     272.139ms     872.240us       0.000us         0.00%      63.330ms     202.981us           0 b           0 b       3.11 Gb           0 b           312            --  
                        aten::cudnn_batch_norm_backward         0.02%      10.725ms         0.45%     269.745ms     864.567us      63.330ms         0.19%      63.330ms     202.981us           0 b           0 b       3.11 Gb           0 b           312            --  
                                           MulBackward0         0.00%       1.779ms         0.44%     266.285ms       1.447ms       0.000us         0.00%      27.371ms     148.755us           0 b           0 b       2.58 Gb           0 b           184            --  
                                            aten::silu_         0.01%       5.559ms         0.43%     256.374ms     821.712us      24.635ms         0.07%      48.794ms     156.391us           0 b           0 b       2.77 Gb           0 b           312            --  
                                       aten::batch_norm         0.00%       1.149ms         0.28%     168.370ms     539.647us       0.000us         0.00%      40.531ms     129.907us           0 b           0 b       3.15 Gb           0 b           312            --  
                           aten::_batch_norm_impl_index         0.00%       1.551ms         0.28%     167.221ms     535.965us       0.000us         0.00%      40.531ms     129.907us           0 b           0 b       3.15 Gb           0 b           312            --  
                                 aten::cudnn_batch_norm         0.03%      17.588ms         0.28%     165.670ms     530.994us      40.531ms         0.12%      40.531ms     129.907us           0 b           0 b       3.15 Gb           0 b           312            --  
     autograd::engine::evaluate_function: SiluBackward0         0.01%       3.494ms         0.27%     164.104ms     525.974us       0.000us         0.00%      37.237ms     119.349us           0 b           0 b      -2.75 Gb      -5.55 Gb           312            --  
                                          SiluBackward0         0.00%       1.364ms         0.27%     160.610ms     514.776us       0.000us         0.00%      37.237ms     119.349us           0 b           0 b       2.80 Gb           0 b           312            --  
                                    aten::silu_backward         0.01%       4.646ms         0.27%     159.246ms     510.404us      37.237ms         0.11%      37.237ms     119.349us           0 b           0 b       2.80 Gb       2.80 Gb           312            --  
     autograd::engine::evaluate_function: MeanBackward1         0.00%       2.070ms         0.26%     157.343ms       1.457ms       0.000us         0.00%      21.553ms     199.565us           0 b           0 b       6.60 Mb      -2.34 Gb           108            --  
                                            aten::randn         0.00%     116.000us         0.18%     106.462ms      13.308ms       0.000us         0.00%       0.000us       0.000us      36.75 Mb           0 b           0 b           0 b             8            --  
                                          aten::normal_         0.18%     106.072ms         0.18%     106.072ms      13.259ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             8            --  
                                            aten::empty         0.17%     104.389ms         0.17%     104.389ms       5.523us       0.000us         0.00%       0.000us       0.000us      36.75 Mb      36.75 Mb     209.56 Gb     209.56 Gb         18900            --  
                                          MeanBackward1         0.00%       1.086ms         0.15%      88.821ms     822.417us       0.000us         0.00%       6.149ms      56.935us           0 b           0 b       1.18 Gb           0 b           108            --  
                                              aten::div         0.00%       2.988ms         0.14%      86.716ms     802.926us       6.149ms         0.02%       6.149ms      56.935us           0 b           0 b       1.18 Gb       1.18 Gb           108            --  
autograd::engine::evaluate_function: SigmoidBackward...         0.00%     891.000us         0.14%      82.488ms     793.154us       0.000us         0.00%     227.000us       2.183us           0 b           0 b      -4.70 Mb      -9.41 Mb           104            --  
                                       SigmoidBackward0         0.00%     693.000us         0.14%      81.597ms     784.587us       0.000us         0.00%     227.000us       2.183us           0 b           0 b       4.70 Mb           0 b           104            --  
                                 aten::sigmoid_backward         0.00%       1.642ms         0.14%      80.904ms     777.923us     227.000us         0.00%     227.000us       2.183us           0 b           0 b       4.70 Mb       4.70 Mb           104            --  
                                       aten::bernoulli_         0.00%       1.463ms         0.12%      73.007ms     912.587us     535.000us         0.00%     535.000us       6.688us           0 b           0 b           0 b           0 b            80            --  
                                           aten::conv2d         0.00%       1.145ms         0.12%      72.623ms     672.435us       0.000us         0.00%      44.864ms     415.407us           0 b           0 b       1.29 Gb           0 b           108     10914.785  
                                      aten::convolution         0.00%       1.949ms         0.12%      71.478ms     661.833us       0.000us         0.00%      44.864ms     415.407us           0 b           0 b       1.29 Gb           0 b           108            --  
                                     aten::_convolution         0.00%       1.665ms         0.12%      69.529ms     643.787us       0.000us         0.00%      44.864ms     415.407us           0 b           0 b       1.29 Gb           0 b           108            --  
                                aten::_conv_depthwise2d         0.00%       1.834ms         0.11%      67.212ms     646.269us      43.886ms         0.13%      43.886ms     421.981us           0 b           0 b       1.17 Gb           0 b           104            --  
                                             aten::div_         0.00%       1.299ms         0.11%      67.078ms     838.475us     154.000us         0.00%     154.000us       1.925us           0 b           0 b           0 b           0 b            80            --  
                                          aten::sigmoid         0.00%       2.431ms         0.11%      62.980ms     605.577us     329.000us         0.00%     329.000us       3.163us           0 b           0 b       4.70 Mb       4.70 Mb           104            --  
                                             aten::real         0.03%      19.799ms         0.10%      57.084ms      11.546us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          4944            --  
                                         aten::dropout_         0.00%      53.000us         0.09%      52.160ms      13.040ms       0.000us         0.00%      40.000us      10.000us           0 b           0 b     384.00 Kb           0 b             4            --  
                              aten::adaptive_avg_pool2d         0.00%     465.000us         0.09%      50.903ms     471.324us       0.000us         0.00%       7.123ms      65.954us           0 b           0 b       5.08 Mb           0 b           108            --  
                                             aten::mean         0.01%       3.325ms         0.08%      50.438ms     467.019us       7.123ms         0.02%       7.123ms      65.954us           0 b           0 b       5.08 Mb       5.08 Mb           108            --  
                                          aten::resize_         0.08%      47.620ms         0.08%      47.620ms       4.320us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      93.21 Gb      93.21 Gb         11024            --  
autograd::engine::evaluate_function: ConvolutionBack...         0.00%       1.319ms         0.08%      45.484ms     421.148us       0.000us         0.00%     155.052ms       1.436ms           0 b           0 b      -1.34 Gb      -3.12 Gb           108            --  
                                   ConvolutionBackward0         0.00%     963.000us         0.07%      43.985ms     407.269us       0.000us         0.00%     154.106ms       1.427ms           0 b           0 b       1.71 Gb           0 b           108            --  
                                    aten::empty_strided         0.07%      43.301ms         0.07%      43.301ms       8.213us       0.000us         0.00%       0.000us       0.000us      36.75 Mb      36.75 Mb      56.88 Gb      56.88 Gb          5272            --  
                             aten::convolution_backward         0.01%       3.857ms         0.07%      43.022ms     398.352us     154.106ms         0.46%     154.106ms       1.427ms           0 b           0 b       1.71 Gb      36.71 Mb           108            --  
                                       aten::empty_like         0.02%      12.977ms         0.07%      40.284ms      10.001us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      39.37 Gb           0 b          4028            --  
                                           aten::linear         0.00%      50.000us         0.07%      40.108ms      10.027ms       0.000us         0.00%     149.000us      37.250us           0 b           0 b       4.00 Kb           0 b             4            --  
                                            aten::addmm         0.00%     233.000us         0.07%      39.993ms       9.998ms     149.000us         0.00%     149.000us      37.250us           0 b           0 b       4.00 Kb       4.00 Kb             4         1.966  
                                           aten::select         0.02%      14.883ms         0.04%      21.832ms       4.416us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          4944            --  
                                       aten::as_strided         0.03%      19.268ms         0.03%      19.268ms       1.270us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         15172            --  
                                          aten::reshape         0.02%      11.418ms         0.03%      15.986ms       4.562us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3504            --  
                                     aten::view_as_real         0.03%      15.453ms         0.03%      15.453ms       3.126us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          4944            --  
                                          aten::permute         0.02%      10.210ms         0.02%      13.686ms       4.152us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3296            --  
                                        aten::unsqueeze         0.02%      10.258ms         0.02%      13.587ms       6.596us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2060            --  
                                            aten::slice         0.02%       9.121ms         0.02%      12.424ms       3.783us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3284            --  
                                           aten::narrow         0.00%       1.718ms         0.01%       4.862ms       5.958us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           816            --  
                                            aten::alias         0.01%       4.812ms         0.01%       4.812ms       2.593us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1856            --  
                                   aten::_reshape_alias         0.01%       4.595ms         0.01%       4.595ms       1.310us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3508            --  
                                            aten::_conj         0.01%       3.786ms         0.01%       4.509ms       5.472us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           824            --  
                                      aten::as_strided_         0.01%       3.480ms         0.01%       3.480ms       1.056us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3296            --  
                                 cudaFuncSetCacheConfig         0.00%       1.500ms         0.00%       1.500ms       0.721us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2080            --  
                                             aten::view         0.00%       1.401ms         0.00%       1.401ms       2.231us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           628            --  
                                           aten::expand         0.00%     743.000us         0.00%     947.000us       8.455us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           112            --  
    autograd::engine::evaluate_function: AddmmBackward0         0.00%     166.000us         0.00%     946.000us     236.500us       0.000us         0.00%      98.000us      24.500us           0 b           0 b     242.00 Kb    -384.00 Kb             4            --  
                                aten::cudnn_convolution         0.00%     360.000us         0.00%     652.000us     163.000us     978.000us         0.00%     978.000us     244.500us           0 b           0 b     122.50 Mb     122.21 Mb             4            --  
autograd::engine::evaluate_function: torch::autograd...         0.00%      54.000us         0.00%     633.000us     158.250us       0.000us         0.00%      17.000us       4.250us           0 b           0 b    -384.00 Kb    -768.00 Kb             4            --  
      autograd::engine::evaluate_function: AddBackward0         0.00%     536.000us         0.00%     628.000us       8.263us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            76            --  
                                         AddmmBackward0         0.00%     121.000us         0.00%     597.000us     149.250us       0.000us         0.00%      75.000us      18.750us           0 b           0 b     624.00 Kb           0 b             4            --  
                            torch::autograd::CopySlices         0.00%      87.000us         0.00%     579.000us     144.750us       0.000us         0.00%      17.000us       4.250us           0 b           0 b     384.00 Kb    -768.00 Kb             4            --  
autograd::engine::evaluate_function: AsStridedBackwa...         0.00%      30.000us         0.00%     451.000us     112.750us       0.000us         0.00%      10.000us       2.500us           0 b           0 b           0 b    -384.00 Kb             4            --  
                                     AsStridedBackward0         0.00%      71.000us         0.00%     421.000us     105.250us       0.000us         0.00%      10.000us       2.500us           0 b           0 b     384.00 Kb           0 b             4            --  
                                               aten::mm         0.00%     178.000us         0.00%     340.000us      42.500us      75.000us         0.00%      75.000us       9.375us           0 b           0 b     624.00 Kb     624.00 Kb             8         3.932  
                                  cudaStreamSynchronize         0.00%     302.000us         0.00%     302.000us      25.167us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            12            --  
                                                aten::t         0.00%     110.000us         0.00%     234.000us      11.700us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            20            --  
                                        aten::new_zeros         0.00%      40.000us         0.00%     201.000us      50.250us       0.000us         0.00%       4.000us       1.000us           0 b           0 b     384.00 Kb           0 b             4            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 59.869s
Self CUDA time total: 33.426s

