[0m-----------------------------------------------------------------------------------------------------------------------------[0m
[0mShowing InceptionV3_CIFAR10_Conv2dRFFTFunction_date-20240129-061235.pt[0m
[0m-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                aten::cudnn_convolution         0.17%     271.913ms         0.36%     596.081ms       3.821ms      42.243ms         0.05%      42.243ms     270.788us           0 b           0 b     584.46 Mb      73.99 Mb           156            --  
                                 aten::cudnn_batch_norm         0.17%     277.656ms         0.32%     527.053ms       1.373ms      28.689ms         0.03%      28.689ms      74.711us           0 b           0 b       2.17 Gb           0 b           384            --  
                                            aten::randn         0.00%     160.000us         0.13%     205.950ms      25.744ms       0.000us         0.00%       0.000us       0.000us      65.48 Mb           0 b           0 b           0 b             8            --  
                                          aten::normal_         0.13%     205.340ms         0.13%     205.340ms      25.668ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             8            --  
autograd::engine::evaluate_function: AvgPool2DBackwa...        -0.06%  -99717.000us         0.09%     141.995ms       3.944ms       0.000us         0.00%      26.313ms     730.917us           0 b           0 b       1.59 Mb    -403.13 Mb            36            --  
                                     AvgPool2DBackward0         0.00%     334.000us         0.09%     141.581ms       3.933ms       0.000us         0.00%      26.313ms     730.917us           0 b           0 b     490.46 Mb           0 b            36            --  
                              aten::avg_pool2d_backward         0.08%     132.101ms         0.09%     141.234ms       3.923ms      26.313ms         0.03%      26.313ms     730.917us           0 b           0 b     490.46 Mb     490.46 Mb            36            --  
                                       aten::contiguous         0.00%     178.000us         0.07%     118.345ms       1.644ms       0.000us         0.00%       9.312ms     129.333us           0 b           0 b       1.02 Gb           0 b            72            --  
                                            aten::empty         0.05%      79.155ms         0.05%      79.179ms       8.782us       0.000us         0.00%       0.000us       0.000us      65.48 Mb      65.48 Mb     600.42 Gb     600.39 Gb          9016            --  
    autograd::engine::evaluate_function: SliceBackward0        -0.02%  -25956.000us         0.04%      71.730ms       5.978ms       0.000us         0.00%       4.157ms     346.417us           0 b           0 b    -130.96 Mb    -376.51 Mb            12            --  
                                           aten::linear         0.00%     181.000us         0.03%      55.872ms       6.984ms       0.000us         0.00%     317.000us      39.625us           0 b           0 b     254.00 Kb           0 b             8            --  
                                            aten::addmm         0.00%       1.875ms         0.03%      55.514ms       6.939ms     317.000us         0.00%     317.000us      39.625us           0 b           0 b     254.00 Kb     254.00 Kb             8       100.925  
autograd::engine::evaluate_function: MaxPool2DWithIn...        -0.01%  -20980.000us         0.03%      48.363ms       3.023ms       0.000us         0.00%      18.324ms       1.145ms           0 b           0 b     227.15 Mb    -305.18 Mb            16            --  
                          MaxPool2DWithIndicesBackward0        -0.00%    -347.000us         0.03%      48.155ms       3.010ms       0.000us         0.00%      18.324ms       1.145ms           0 b           0 b     714.26 Mb       5.08 Mb            16            --  
                 aten::max_pool2d_with_indices_backward         0.02%      30.746ms         0.03%      47.977ms       2.999ms      15.238ms         0.02%      18.324ms       1.145ms           0 b           0 b     714.26 Mb     681.94 Mb            16            --  
                                       aten::avg_pool2d         0.02%      33.553ms         0.03%      44.676ms       1.117ms      15.861ms         0.02%      15.861ms     396.525us           0 b           0 b     493.93 Mb     493.93 Mb            40            --  
                                         SliceBackward0         0.00%      52.000us         0.02%      38.477ms       3.206ms       0.000us         0.00%       2.477ms     206.417us           0 b           0 b     196.44 Mb           0 b            12            --  
                                   aten::slice_backward        -0.00%   -1880.000us         0.02%      38.425ms       3.202ms       0.000us         0.00%       2.477ms     206.417us           0 b           0 b     196.44 Mb           0 b            12            --  
                              aten::adaptive_avg_pool2d         0.00%      83.000us         0.02%      36.345ms       4.543ms       0.000us         0.00%     262.000us      32.750us           0 b           0 b     704.00 Kb           0 b             8            --  
                                             aten::mean         0.01%      18.475ms         0.02%      36.262ms       4.533ms     262.000us         0.00%     262.000us      32.750us           0 b           0 b     704.00 Kb     704.00 Kb             8            --  
                                       aten::empty_like         0.01%       9.597ms         0.02%      28.903ms      14.224us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      59.17 Gb      -4.79 Mb          2032            --  
                                             aten::real         0.00%       7.823ms         0.02%      28.622ms      21.424us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1336            --  
                                              aten::cat         0.01%      14.493ms         0.02%      24.705ms     386.016us       6.614ms         0.01%       6.614ms     103.344us           0 b           0 b     717.25 Mb     717.25 Mb            64            --  
                                             aten::imag         0.00%       6.943ms         0.01%      23.610ms      17.672us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1336            --  
                                           aten::select         0.01%      15.147ms         0.01%      18.128ms       6.724us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2696            --  
                                            aten::slice         0.01%      12.646ms         0.01%      17.437ms       5.057us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3448            --  
                                    aten::empty_strided         0.01%      14.652ms         0.01%      14.652ms      11.629us       0.000us         0.00%       0.000us       0.000us      65.48 Mb      65.48 Mb      31.55 Gb      31.55 Gb          1260            --  
                                       aten::as_strided         0.01%      13.763ms         0.01%      13.763ms       1.408us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          9772            --  
                                     aten::view_as_real         0.01%      13.618ms         0.01%      13.618ms       5.097us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2672            --  
                                           aten::narrow         0.00%       3.732ms         0.01%      11.059ms       6.760us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1636            --  
                                            aten::zero_         0.00%     171.000us         0.01%      10.263ms     213.812us       0.000us         0.00%       4.369ms      91.021us           0 b           0 b           0 b           0 b            48            --  
                                        aten::unsqueeze         0.00%       7.365ms         0.01%       9.596ms       8.507us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1128            --  
                                          aten::reshape         0.00%       6.738ms         0.01%       9.081ms       5.079us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1788            --  
                                          aten::permute         0.00%       6.538ms         0.01%       8.815ms       4.941us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1784            --  
autograd::engine::evaluate_function: SelectBackward0...        -0.00%    -875.000us         0.01%       8.389ms     699.083us       0.000us         0.00%       1.370ms     114.167us           0 b           0 b     122.00 Mb     -62.03 Mb            12            --  
                                        SelectBackward0         0.00%      56.000us         0.01%       8.296ms     691.333us       0.000us         0.00%       1.370ms     114.167us           0 b           0 b     196.44 Mb           0 b            12            --  
                                  aten::select_backward        -0.00%   -2746.000us         0.01%       8.240ms     686.667us       0.000us         0.00%       1.370ms     114.167us           0 b           0 b     196.44 Mb           0 b            12            --  
      autograd::engine::evaluate_function: MulBackward0        -0.00%   -1776.000us         0.00%       7.919ms     659.917us       0.000us         0.00%     563.000us      46.917us         -96 b         -88 b       8.96 Mb     -65.48 Mb            12            --  
                                           MulBackward0         0.00%      67.000us         0.00%       7.823ms     651.917us       0.000us         0.00%     563.000us      46.917us           0 b           0 b      74.44 Mb           0 b            12            --  
                                            aten::zeros         0.00%     233.000us         0.00%       7.169ms     224.031us       0.000us         0.00%       1.540ms      48.125us          32 b           0 b     392.88 Mb           0 b            32            --  
                                            aten::_conj         0.00%       5.787ms         0.00%       6.782ms       5.046us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1344            --  
                                          aten::resize_         0.00%       5.876ms         0.00%       5.876ms       3.294us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1784            --  
                                            aten::alias         0.00%       3.607ms         0.00%       3.607ms       1.698us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2124            --  
      autograd::engine::evaluate_function: CatBackward0         0.00%     844.000us         0.00%       3.010ms      47.031us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            64            --  
                                      aten::as_strided_         0.00%       2.942ms         0.00%       2.955ms       1.656us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1784            --  
                                 cudaFuncSetCacheConfig         0.00%       2.767ms         0.00%       2.767ms       0.902us       0.000us         0.00%       0.000us       0.000us           0 b           0 b    -814.96 Mb    -814.96 Mb          3068            --  
                                        aten::_neg_view         0.00%       2.357ms         0.00%       2.688ms       6.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           448            --  
                                   aten::_reshape_alias         0.00%       2.412ms         0.00%       2.412ms       1.343us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1796            --  
                                             aten::view         0.00%       2.242ms         0.00%       2.242ms       2.935us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           764            --  
                                           CatBackward0         0.00%     650.000us         0.00%       2.166ms      33.844us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            64            --  
    autograd::engine::evaluate_function: AddmmBackward0         0.00%     251.000us         0.00%       1.848ms     462.000us       0.000us         0.00%      95.000us      23.750us           0 b           0 b     322.00 Kb    -512.00 Kb             4            --  
                                       aten::max_pool2d         0.00%     131.000us         0.00%       1.815ms     113.438us       0.000us         0.00%       5.988ms     374.250us           0 b           0 b     519.02 Mb           0 b            16            --  
                          aten::max_pool2d_with_indices         0.00%       1.576ms         0.00%       1.684ms     105.250us       5.988ms         0.01%       5.988ms     374.250us           0 b           0 b     519.02 Mb     519.02 Mb            16            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 163.868s
Self CUDA time total: 86.240s
[0m
[0m-----------------------------------------------------------------------------------------------------------------------------[0m
[0mShowing InceptionV3_CIFAR10_Conv2dRFFTPhasorFunction_date-20240129-061235.pt[0m
[0m-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%     302.000us        54.49%       63.698s       15.924s       0.000us         0.00%       15.351s        3.838s      32.74 Mb      -1.05 Kb           0 b           0 b             4            --  
                                       cudaLaunchKernel        39.57%       46.259s        39.57%       46.259s       1.786ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         25904            --  
autograd::engine::evaluate_function: Conv2dRFFTPhaso...         0.01%       6.970ms        32.02%       37.433s     170.150ms       0.000us         0.00%       34.977s     158.985ms           0 b           0 b      21.30 Gb      -5.94 Gb           220            --  
                       Conv2dRFFTPhasorFunctionBackward         0.08%      98.049ms        31.75%       37.111s     168.688ms       0.000us         0.00%       34.955s     158.888ms           0 b           0 b      25.60 Gb   -3250.44 Gb           220            --  
                       Conv2dRFFTPhasorFunction Step#11        11.43%       13.355s        13.63%       15.931s       15.931s       0.000us         0.00%        3.837s        3.837s          -4 b     -16.37 Mb           0 b      -1.82 Gb             1            --  
                       Conv2dRFFTPhasorFunction Step#10        11.42%       13.349s        13.62%       15.924s       15.924s       0.000us         0.00%        3.838s        3.838s          -4 b     -16.37 Mb           0 b      -1.82 Gb             1            --  
                        Conv2dRFFTPhasorFunction Step#8        11.42%       13.350s        13.62%       15.922s       15.922s       0.000us         0.00%        3.839s        3.839s      32.74 Mb      16.37 Mb           0 b      -1.82 Gb             1            --  
                        Conv2dRFFTPhasorFunction Step#9        11.42%       13.343s        13.62%       15.921s       15.921s       0.000us         0.00%        3.837s        3.837s          -4 b     -16.37 Mb           0 b      -1.82 Gb             1            --  
                                            aten::copy_         0.05%      63.833ms        13.49%       15.767s       2.977ms        1.694s         2.67%        1.694s     319.903us           0 b           0 b           0 b           0 b          5296            --  
                                       aten::fft_irfftn         0.00%       4.537ms        12.64%       14.775s      22.118ms       0.000us         0.00%        8.186s      12.254ms           0 b           0 b      27.26 Gb           0 b           668            --  
                                         aten::_fft_c2r         0.05%      61.060ms        12.64%       14.771s      22.112ms        7.697s        12.14%        8.186s      12.254ms           0 b           0 b      27.26 Gb    -316.70 Gb           668            --  
                                        cudaMemcpyAsync         8.33%        9.733s         8.33%        9.733s       9.395ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1036            --  
                                        aten::fft_rfftn         0.01%       9.804ms         7.96%        9.306s       8.339ms       0.000us         0.00%        2.408s       2.158ms           0 b           0 b      57.21 Gb     -45.10 Gb          1116            --  
                                              aten::abs         1.62%        1.899s         7.47%        8.737s       3.270ms       0.000us         0.00%        1.016s     380.140us           0 b           0 b      29.57 Gb     -85.40 Gb          2672            --  
                                            aten::angle         1.73%        2.026s         7.40%        8.644s       3.235ms       0.000us         0.00%        1.015s     379.845us           0 b           0 b      59.14 Gb     -85.40 Gb          2672            --  
                               Conv2dRFFTPhasorFunction         0.07%      83.914ms         7.10%        8.302s      36.414ms       0.000us         0.00%       15.212s      66.720ms           0 b           0 b       1.66 Gb   -1645.41 Gb           228            --  
                                         aten::_fft_r2c         0.06%      71.500ms         6.67%        7.800s       6.989ms        2.153s         3.40%        2.153s       1.929ms           0 b           0 b      55.75 Gb    -111.58 Gb          1116            --  
                                               aten::to         0.00%     193.000us         6.65%        7.778s     486.128ms       0.000us         0.00%      49.571ms       3.098ms      65.48 Mb           0 b      65.48 Mb           0 b            16            --  
                                         aten::_to_copy         0.00%     400.000us         6.65%        7.778s     648.154ms       0.000us         0.00%      49.571ms       4.131ms      65.48 Mb           0 b      65.48 Mb           0 b            12            --  
autograd::engine::evaluate_function: ToCopyBackward0...         0.00%     157.000us         6.64%        7.765s        1.941s       0.000us         0.00%      38.037ms       9.509ms      65.48 Mb           0 b     -65.48 Mb     -65.48 Mb             4            --  
                                        ToCopyBackward0         0.00%      35.000us         6.64%        7.764s        1.941s       0.000us         0.00%      38.037ms       9.509ms      65.48 Mb           0 b           0 b           0 b             4            --  
                                              aten::mul         0.05%      63.530ms         5.73%        6.702s       2.486ms       27.154s        42.84%       27.154s      10.072ms           0 b           0 b    2965.31 Gb    2965.31 Gb          2696    319457.472  
                                             aten::add_         0.02%      21.540ms         3.03%        3.542s       2.330ms      15.252ms         0.02%      15.252ms      10.034us           0 b           0 b           0 b           0 b          1520            --  
autograd::engine::evaluate_function: torch::autograd...         0.01%       7.186ms         2.71%        3.170s       2.780ms       0.000us         0.00%      14.401ms      12.632us           0 b           0 b     -22.89 Gb           0 b          1140            --  
                        torch::autograd::AccumulateGrad         0.01%       8.829ms         2.71%        3.163s       2.774ms       0.000us         0.00%      14.401ms      12.632us           0 b           0 b     -22.89 Gb     -22.89 Gb          1140            --  
                                            aten::clone         0.01%      14.481ms         2.59%        3.033s       1.532ms       0.000us         0.00%     801.689ms     404.893us           0 b           0 b      88.31 Gb           0 b          1980            --  
                                  aten::constant_pad_nd         0.01%      15.544ms         2.31%        2.703s       2.840ms       0.000us         0.00%     310.173ms     325.812us           0 b           0 b      52.31 Gb           0 b           952            --  
autograd::engine::evaluate_function: ConvolutionBack...         0.00%       2.750ms         1.95%        2.279s      14.611ms       0.000us         0.00%     307.557ms       1.972ms           0 b           0 b    -109.52 Mb    -955.41 Mb           156            --  
                                   ConvolutionBackward0         0.00%       1.812ms         1.88%        2.197s      14.085ms       0.000us         0.00%     306.191ms       1.963ms           0 b           0 b     735.76 Mb           0 b           156            --  
                             aten::convolution_backward         0.10%     116.839ms         1.88%        2.195s      14.074ms     306.191ms         0.48%     306.191ms       1.963ms           0 b           0 b     735.76 Mb     -34.54 Gb           156            --  
                                              aten::exp         1.84%        2.148s         1.84%        2.148s       3.216ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b    1186.07 Gb    1186.07 Gb           668            --  
                                              aten::sum         0.02%      26.255ms         1.77%        2.069s       3.079ms        5.473s         8.63%        5.473s       8.144ms           0 b           0 b      29.41 Gb      29.41 Gb           672            --  
                                              aten::add         0.02%      17.794ms         1.48%        1.725s       2.083ms        5.891s         9.29%        5.891s       7.114ms           0 b           0 b     594.97 Gb     594.97 Gb           828      1554.714  
                                             aten::mul_         0.01%      10.995ms         1.34%        1.570s       2.350ms       0.000us         0.00%     236.121ms     353.475us           0 b           0 b           0 b           0 b           668            --  
     autograd::engine::evaluate_function: ReluBackward0         0.00%       4.401ms         1.06%        1.236s       3.286ms       0.000us         0.00%      27.778ms      73.878us           0 b           0 b      -2.22 Gb      -4.40 Gb           376            --  
                                          ReluBackward0         0.00%       3.128ms         1.05%        1.231s       3.274ms       0.000us         0.00%      27.778ms      73.878us           0 b           0 b       2.17 Gb           0 b           376            --  
                               aten::threshold_backward         0.01%       8.826ms         1.05%        1.228s       3.266ms      27.778ms         0.04%      27.778ms      73.878us           0 b           0 b       2.17 Gb       2.17 Gb           376            --  
                                              aten::pad         0.00%       3.217ms         1.04%        1.210s       2.701ms       0.000us         0.00%      55.081ms     122.949us           0 b           0 b       5.75 Gb           0 b           448            --  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.01%       8.234ms         0.93%        1.092s       2.903ms       0.000us         0.00%      51.061ms     135.801us           0 b           0 b      -2.17 Gb      -4.33 Gb           376            --  
                                CudnnBatchNormBackward0         0.00%       4.906ms         0.93%        1.083s       2.881ms       0.000us         0.00%      51.061ms     135.801us           0 b           0 b       2.16 Gb           0 b           376            --  
                        aten::cudnn_batch_norm_backward         0.01%      15.546ms         0.92%        1.078s       2.868ms      51.061ms         0.08%      51.061ms     135.801us           0 b           0 b       2.16 Gb           0 b           376            --  
                                            aten::fill_         0.01%       8.026ms         0.87%        1.018s       1.572ms     197.882ms         0.31%     197.882ms     305.373us           0 b           0 b           0 b           0 b           648            --  
                                       aten::batch_norm         0.00%       2.205ms         0.38%     448.661ms       1.168ms       0.000us         0.00%      37.728ms      98.250us           0 b           0 b       3.16 Gb           0 b           384            --  
                           aten::_batch_norm_impl_index         0.00%       3.236ms         0.38%     446.456ms       1.163ms       0.000us         0.00%      37.728ms      98.250us           0 b           0 b       3.16 Gb           0 b           384            --  
                                 aten::cudnn_batch_norm         0.03%      32.525ms         0.37%     437.003ms       1.138ms      28.708ms         0.05%      28.708ms      74.760us           0 b           0 b       2.17 Gb           0 b           384            --  
