[0m-----------------------------------------------------------------------------------------------------------------------------[0m
[0mShowing InceptionV3_CIFAR10_Conv2dRFFTFunction_date-20240129-061235.pt[0m
[0m-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%     389.000us        52.81%       86.539s       21.635s       0.000us         0.00%       27.249s        6.812s      32.74 Mb      -1.05 Kb           0 b           0 b             4            --  
                                       cudaLaunchKernel        43.52%       71.322s        43.53%       71.326s       2.743ms       0.000us         0.00%       0.000us       0.000us      -9.77 Kb      -9.77 Kb   -3733.13 Gb   -3733.61 Gb         26000            --  
autograd::engine::evaluate_function: Conv2dRFFTFunct...        -0.14%  -226830.000us        29.57%       48.458s     220.263ms       0.000us         0.00%       58.510s     265.957ms           0 b           0 b      21.30 Gb      -4.86 Gb           220            --  
                             Conv2dRFFTFunctionBackward        -8.15%  -13357474.000us        29.26%       47.949s     217.952ms       0.000us         0.00%       58.489s     265.859ms           0 b       5.25 Kb      25.61 Gb   -1404.46 Gb           220            --  
                             Conv2dRFFTFunction Step#11        11.17%       18.308s        13.21%       21.641s       21.641s       0.000us         0.00%        6.812s        6.812s          -4 b     -16.37 Mb           0 b      -1.80 Gb             1            --  
                             Conv2dRFFTFunction Step#10        10.98%       17.991s        13.20%       21.638s       21.638s       0.000us         0.00%        6.812s        6.812s          -4 b     -16.37 Mb           0 b      -1.75 Gb             1            --  
                              Conv2dRFFTFunction Step#8        11.20%       18.360s        13.20%       21.631s       21.631s       0.000us         0.00%        6.812s        6.812s      32.74 Mb      16.37 Mb           0 b      -1.82 Gb             1            --  
                              Conv2dRFFTFunction Step#9        10.95%       17.948s        13.20%       21.628s       21.628s       0.000us         0.00%        6.812s        6.812s          -4 b     -16.37 Mb           0 b      -1.51 Gb             1            --  
                                       aten::fft_irfftn        -0.05%  -75314.000us        10.92%       17.887s      26.777ms       0.000us         0.00%        8.173s      12.235ms           0 b         288 b      27.26 Gb           0 b           668            --  
                                         aten::_fft_c2r        -0.82%  -1348414.000us        10.91%       17.883s      26.771ms        7.684s         8.91%        8.173s      12.235ms           0 b        -864 b      27.26 Gb    -115.44 Gb           668            --  
                                            aten::copy_         3.15%        5.170s        10.70%       17.529s       6.680ms     766.871ms         0.89%     766.871ms     292.253us           0 b           0 b           0 b           0 b          2624            --  
                                        aten::fft_rfftn        -0.66%  -1085014.000us         9.89%       16.201s      14.517ms       0.000us         0.00%        2.408s       2.158ms           0 b           0 b      57.21 Gb     -41.32 Gb          1116            --  
                                              aten::mul         4.33%        7.095s         9.38%       15.373s       3.813ms       40.859s        47.38%       41.203s      10.219ms          -8 b          -8 b    3558.37 Gb    3131.34 Gb          4032    163382.045  
                                        cudaMemcpyAsync         8.17%       13.391s         8.17%       13.393s      12.928ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b    -130.96 Mb    -130.96 Mb          1036            --  
                                         aten::_fft_r2c         0.24%     390.200ms         8.09%       13.254s      11.877ms        2.153s         2.50%        2.153s       1.929ms           0 b           0 b      55.61 Gb     -51.57 Gb          1116            --  
                                               aten::to         0.00%     194.000us         6.55%       10.740s     671.242ms       0.000us         0.00%      41.180ms       2.574ms      65.48 Mb           0 b      65.48 Mb           0 b            16            --  
                                         aten::_to_copy         0.00%     205.000us         6.55%       10.740s     894.973ms       0.000us         0.00%      41.180ms       3.432ms      65.48 Mb           0 b      65.48 Mb           0 b            12            --  
autograd::engine::evaluate_function: ToCopyBackward0...         0.00%     140.000us         6.55%       10.727s        2.682s       0.000us         0.00%      30.052ms       7.513ms      65.48 Mb           0 b     -65.48 Mb     -65.48 Mb             4            --  
                                        ToCopyBackward0         0.00%      34.000us         6.55%       10.727s        2.682s       0.000us         0.00%      30.052ms       7.513ms      65.48 Mb           0 b           0 b           0 b             4            --  
                                     Conv2dRFFTFunction        -1.07%  -1751492.000us         6.16%       10.096s      44.283ms       0.000us         0.00%       27.110s     118.905ms           0 b       2.68 Kb       1.65 Gb    -763.50 Gb           228            --  
                                             aten::add_         3.10%        5.085s         3.72%        6.098s       4.012ms      15.198ms         0.02%      15.198ms       9.999us           0 b           0 b           0 b           0 b          1520            --  
autograd::engine::evaluate_function: torch::autograd...        -0.34%  -564104.000us         3.33%        5.449s       4.780ms       0.000us         0.00%      14.379ms      12.613us           0 b           0 b     -22.89 Gb       2.77 Gb          1140            --  
                        torch::autograd::AccumulateGrad        -0.53%  -863937.000us         3.32%        5.441s       4.773ms       0.000us         0.00%      14.379ms      12.613us           0 b           0 b     -22.89 Gb     -21.06 Gb          1140            --  
                                              aten::add         2.20%        3.613s         3.23%        5.298s       3.542ms       20.787s        24.10%       20.787s      13.895ms           0 b           0 b    1781.05 Gb    1751.62 Gb          1496    318900.058  
                                            aten::clone        -0.13%  -212409.000us         3.13%        5.129s       2.590ms       0.000us         0.00%     649.554ms     328.058us           0 b           0 b      61.91 Gb      -1.22 Mb          1980            --  
autograd::engine::evaluate_function: ConvolutionBack...        -0.25%  -412531.000us         3.09%        5.068s      32.488ms       0.000us         0.00%     307.055ms       1.968ms           0 b           0 b    -114.50 Mb      17.10 Gb           156            --  
                                   ConvolutionBackward0        -0.05%  -87852.000us         3.04%        4.989s      31.981ms       0.000us         0.00%     305.694ms       1.960ms           0 b           0 b     729.77 Mb       3.20 Gb           156            --  
                             aten::convolution_backward         0.44%     720.048ms         3.04%        4.987s      31.969ms     305.694ms         0.35%     305.694ms       1.960ms           0 b           0 b     729.77 Mb     -25.32 Gb           156            --  
                                  aten::constant_pad_nd        -0.86%  -1409045.000us         2.58%        4.224s       4.437ms       0.000us         0.00%     310.569ms     326.228us           0 b           0 b      52.31 Gb           0 b           952            --  
                                              aten::sum         0.85%        1.392s         1.50%        2.456s       3.655ms        5.473s         6.35%        5.473s       8.144ms           0 b           0 b      29.42 Gb      29.42 Gb           672            --  
                                             aten::mul_        -0.12%  -192335.000us         1.23%        2.013s       3.014ms       0.000us         0.00%     236.222ms     353.626us           0 b         176 b           0 b           0 b           668            --  
     autograd::engine::evaluate_function: ReluBackward0        -0.58%  -947053.000us         1.17%        1.920s       5.106ms       0.000us         0.00%      27.778ms      73.878us           0 b           0 b      -2.23 Gb      -3.21 Gb           376            --  
                                          ReluBackward0        -0.04%  -70410.000us         1.17%        1.915s       5.093ms       0.000us         0.00%      27.778ms      73.878us           0 b           0 b       2.17 Gb           0 b           376            --  
                               aten::threshold_backward         0.95%        1.559s         1.17%        1.912s       5.085ms      27.778ms         0.03%      27.778ms      73.878us           0 b           0 b       2.17 Gb       2.17 Gb           376            --  
                                              aten::sub         0.98%        1.610s         1.17%        1.909s       2.858ms        7.762s         9.00%        7.762s      11.620ms           0 b           0 b     593.04 Gb     582.82 Gb           668            --  
                                            aten::fill_         0.82%        1.350s         0.99%        1.615s       2.493ms     198.059ms         0.23%     198.059ms     305.647us           0 b           0 b           0 b           0 b           648            --  
autograd::engine::evaluate_function: CudnnBatchNormB...        -0.58%  -957753.000us         0.81%        1.335s       3.551ms       0.000us         0.00%      50.963ms     135.540us           0 b           0 b      -2.15 Gb      -1.64 Gb           376            --  
                                CudnnBatchNormBackward0        -0.05%  -83861.000us         0.81%        1.327s       3.530ms       0.000us         0.00%      50.963ms     135.540us           0 b           0 b       2.16 Gb           0 b           376            --  
                        aten::cudnn_batch_norm_backward         0.65%        1.071s         0.81%        1.322s       3.517ms      50.963ms         0.06%      50.963ms     135.540us           0 b           0 b       2.16 Gb           0 b           376            --  
                                              aten::pad         0.00%       1.269ms         0.79%        1.290s       2.879ms       0.000us         0.00%      55.093ms     122.975us           0 b           0 b       5.76 Gb           0 b           448            --  
                                            aten::relu_        -0.09%  -143270.000us         0.42%     692.869ms       1.804ms       0.000us         0.00%      16.054ms      41.807us           0 b           0 b           0 b           0 b           384            --  
                                       aten::clamp_min_         0.25%     402.012ms         0.42%     685.468ms       1.785ms      16.054ms         0.02%      16.054ms      41.807us           0 b           0 b           0 b           0 b           384            --  
                                       aten::batch_norm        -0.01%  -11340.000us         0.40%     649.960ms       1.693ms       0.000us         0.00%      37.744ms      98.292us           0 b           0 b       3.16 Gb           0 b           384            --  
                           aten::_batch_norm_impl_index        -0.07%  -106601.000us         0.40%     647.997ms       1.687ms       0.000us         0.00%      37.744ms      98.292us           0 b           0 b       3.16 Gb           0 b           384            --  
                                           aten::conv2d         0.00%     379.000us         0.37%     603.986ms       3.872ms       0.000us         0.00%      42.243ms     270.788us           0 b           0 b     584.46 Mb      14.50 Kb           156    269495.710  
                                      aten::convolution        -0.02%  -32090.000us         0.37%     602.397ms       3.862ms       0.000us         0.00%      42.243ms     270.788us           0 b           0 b     584.46 Mb      27.15 Mb           156            --  
                                     aten::_convolution        -0.02%  -40145.000us         0.37%     598.647ms       3.837ms       0.000us         0.00%      42.243ms     270.788us           0 b           0 b     584.46 Mb      16.50 Kb           156            --  
