training_step,training_loss,training_accuracy,training_runtime_forward_ms,training_runtime_backward_ms,validation_loss,validation_accuracy,validation_runtime_forward_ms
156,0.24973249435424805,92.03821563720703,2763.4781770360696,6559.611097429019,,,
313,0.2218303084373474,92.75477600097656,2762.0844175434036,6559.596223531255,,,
470,0.2002597451210022,92.91401672363281,2762.214424290285,6559.768713915803,,,
627,0.17936386168003082,93.86943054199219,2762.1967020877605,6559.430400396039,,,
784,0.19121764600276947,93.23248291015625,2762.2520641014453,6559.140050344786,,,
941,0.19101421535015106,93.78981018066406,2762.183294459513,6559.119479434125,,,
1098,0.15637080371379852,94.98407745361328,2762.28352040527,6559.684324724849,,,
1255,0.163279727101326,94.10828399658203,2762.2612585687334,6559.756872546711,,,
1412,0.1779540777206421,93.86943054199219,2762.285979096867,6559.938994182902,,,
1569,0.1443474292755127,94.82484436035156,2762.270059223008,6559.882772861013,,,
1726,0.1476903110742569,95.62101745605469,2762.3358649100846,6559.809484347037,,,
1883,0.16373281180858612,94.74522399902344,2762.3015905309253,6559.706546911958,,,
2040,0.14682823419570923,95.143310546875,2762.323662899672,6559.516243067137,,,
2197,0.14805904030799866,95.85987091064453,2762.330009655398,6559.535583706608,,,
2354,0.12555252015590668,96.73567199707031,2762.3323952411392,6559.629542503957,,,
2511,0.1309027373790741,96.33757781982422,2762.3559539532584,6559.9050279350795,,,
2668,0.1426718682050705,94.74522399902344,2762.3881305906043,6559.960852098313,,,
2825,0.1390581727027893,95.46178436279297,2762.385387424451,6559.968887430847,,,
2982,0.12920723855495453,95.93949127197266,2762.2688554559545,6559.6596072101665,,,
3139,0.14034509658813477,96.25796508789062,2762.299203924882,6559.589763782966,,,
3296,0.12623882293701172,96.09872436523438,2762.400071403593,6559.533307174588,,,
3453,0.10214028507471085,97.45223236083984,2762.3150261581704,6559.899790010824,,,
3610,0.1381220668554306,95.78025817871094,2762.419959731922,6559.646458145539,,,
3767,0.11176411062479019,96.8152847290039,2762.305082053326,6559.701435789941,,,
3924,0.11751595139503479,95.93949127197266,2762.3193795988514,6559.744723022553,,,
4081,0.10703832656145096,96.73567199707031,2762.2968704932055,6559.659536714386,,,
4238,0.10931481420993805,96.49681854248047,2762.434571411959,6559.605030331072,,,
4395,0.09004414081573486,97.53184509277344,2762.4245362629176,6559.518427771937,,,
4552,0.13813936710357666,96.41719818115234,2762.4369350730612,6559.539598145872,,,
4709,0.08701488375663757,97.69108581542969,2762.4619609089036,6559.392789390627,,,
4866,0.09945525228977203,96.97452545166016,2762.4379327864785,6559.439712791306,,,
5023,0.10240421444177628,96.65605163574219,2762.4484071401275,6559.675169693436,,,
5180,0.11735957860946655,96.1783447265625,2762.3719680983168,6559.785284054507,,,
5337,0.09556896984577179,97.13375854492188,2762.4938610917443,6559.835764537951,,,
5494,0.10220915079116821,97.13375854492188,2762.478403675898,6559.814762917294,,,
5651,0.11264119297266006,96.65605163574219,2762.48951631177,6559.768987712777,,,
5808,0.10812889784574509,96.41719818115234,2762.486412836488,6559.670611599069,,,
5965,0.10977616161108017,96.65605163574219,2762.516700419461,6559.8115276569015,,,
6122,0.11880853027105331,95.85987091064453,2762.477724795129,6559.875411924663,,,
6249,,,,,0.12713271379470825,95.87999725341797,2751.2765209197996
