-----------------------------------------------------------------------------------------------------------------------------
Showing ResNet18_CIFAR10_Conv2dRFFTFunction_date-20240125-063434.pt
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ReluBackward0         0.00%     874.000us         0.65%     511.306ms       7.519ms       0.000us         0.00%      28.893ms     424.897us           0 b           0 b       2.21 Gb           0 b            68            --  
                               aten::threshold_backward         0.00%       2.291ms         0.65%     510.432ms       7.506ms      28.893ms         0.07%      28.893ms     424.897us           0 b           0 b       2.21 Gb       2.21 Gb            68            --  
autograd::engine::evaluate_function: ConvolutionBack...         0.00%     863.000us         0.58%     454.417ms      16.229ms       0.000us         0.00%     120.724ms       4.312ms           0 b           0 b    -607.61 Mb      -1.77 Gb            28            --  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.00%       1.713ms         0.53%     413.502ms       5.169ms       0.000us         0.00%      54.013ms     675.163us           0 b           0 b      -1.66 Gb      -4.04 Gb            80            --  
                                CudnnBatchNormBackward0         0.00%     912.000us         0.52%     411.789ms       5.147ms       0.000us         0.00%      54.013ms     675.163us           0 b           0 b       2.38 Gb           0 b            80            --  
                        aten::cudnn_batch_norm_backward         0.01%       4.728ms         0.52%     410.877ms       5.136ms      54.013ms         0.14%      54.013ms     675.163us           0 b           0 b       2.38 Gb           0 b            80            --  
                                              aten::sub         0.00%       3.629ms         0.49%     389.347ms       2.496ms        4.332s        11.06%        4.332s      27.772ms           0 b           0 b     331.31 Gb     331.31 Gb           156            --  
                                   ConvolutionBackward0         0.00%     378.000us         0.48%     378.823ms      13.529ms       0.000us         0.00%     116.351ms       4.155ms           0 b           0 b     862.39 Mb           0 b            28            --  
                             aten::convolution_backward         0.00%       3.712ms         0.48%     378.445ms      13.516ms     116.351ms         0.30%     116.351ms       4.155ms           0 b           0 b     862.39 Mb     832.79 Mb            28            --  
                                     Conv2dRFFTFunction         0.02%      12.835ms         0.11%      87.647ms       1.686ms       0.000us         0.00%       13.219s     254.209ms           0 b           0 b       1.46 Gb   -1112.37 Gb            52            --  
                                            aten::empty         0.02%      19.604ms         0.02%      19.604ms       9.093us       0.000us         0.00%       0.000us       0.000us     147.01 Mb     147.01 Mb      78.11 Gb      78.11 Gb          2156            --  
                                       aten::batch_norm         0.00%     343.000us         0.02%      14.298ms     178.725us       0.000us         0.00%      43.650ms     545.625us           0 b           0 b       3.66 Gb           0 b            80            --  
                           aten::_batch_norm_impl_index         0.00%     655.000us         0.02%      13.955ms     174.438us       0.000us         0.00%      43.650ms     545.625us           0 b           0 b       3.66 Gb           0 b            80            --  
                                 aten::cudnn_batch_norm         0.01%       5.059ms         0.01%      10.290ms     128.625us      31.841ms         0.08%      31.841ms     398.012us           0 b           0 b       2.38 Gb           0 b            80            --  
                                            aten::slice         0.01%       5.511ms         0.01%       7.507ms       5.775us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1300            --  
                                             aten::real         0.00%       1.969ms         0.01%       7.371ms      23.625us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           312            --  
                                       aten::empty_like         0.00%       2.390ms         0.01%       7.258ms      14.633us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      15.25 Gb           0 b           496            --  
                                             aten::imag         0.00%       1.713ms         0.01%       6.161ms      19.747us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           312            --  
                                           aten::narrow         0.00%       1.802ms         0.01%       5.404ms       7.423us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           728            --  
                                           aten::select         0.01%       4.011ms         0.01%       4.720ms       7.564us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           624            --  
                                           aten::conv2d         0.00%     229.000us         0.01%       4.607ms     164.536us       0.000us         0.00%      22.382ms     799.357us           0 b           0 b       1.10 Gb           0 b            28    159073.174  
                                      aten::convolution         0.00%     558.000us         0.01%       4.378ms     156.357us       0.000us         0.00%      22.382ms     799.357us           0 b           0 b       1.10 Gb           0 b            28            --  
                                       aten::as_strided         0.01%       4.241ms         0.01%       4.241ms       1.523us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2784            --  
                                     aten::_convolution         0.00%     352.000us         0.00%       3.820ms     136.429us       0.000us         0.00%      22.382ms     799.357us           0 b           0 b       1.10 Gb           0 b            28            --  
                                     aten::view_as_real         0.00%       3.676ms         0.00%       3.676ms       5.891us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           624            --  
                                aten::cudnn_convolution         0.00%       1.988ms         0.00%       3.468ms     123.857us      22.382ms         0.06%      22.382ms     799.357us           0 b           0 b       1.10 Gb       1.10 Gb            28            --  
                                       aten::contiguous         0.00%     151.000us         0.00%       3.010ms      57.885us       0.000us         0.00%      11.809ms     227.096us           0 b           0 b       1.28 Gb           0 b            52            --  
                                            aten::relu_         0.00%     923.000us         0.00%       2.703ms      39.750us       0.000us         0.00%      19.103ms     280.926us           0 b           0 b           0 b           0 b            68            --  
                                    aten::empty_strided         0.00%       2.627ms         0.00%       2.627ms      11.941us       0.000us         0.00%       0.000us       0.000us     147.00 Mb     147.00 Mb       5.20 Gb       5.20 Gb           220            --  
                                        aten::unsqueeze         0.00%       1.913ms         0.00%       2.456ms       9.446us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           260            --  
                                          aten::reshape         0.00%       1.719ms         0.00%       2.364ms       5.629us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           420            --  
                                          aten::permute         0.00%       1.572ms         0.00%       2.133ms       5.127us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           416            --  
                                       aten::clamp_min_         0.00%     882.000us         0.00%       1.780ms      26.176us      19.103ms         0.05%      19.103ms     280.926us           0 b           0 b           0 b           0 b            68            --  
                                            aten::_conj         0.00%       1.467ms         0.00%       1.688ms       5.410us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           312            --  
    autograd::engine::evaluate_function: AddmmBackward0         0.00%     296.000us         0.00%       1.667ms     416.750us       0.000us         0.00%     104.000us      26.000us           0 b           0 b      82.00 Kb    -512.00 Kb             4            --  
autograd::engine::evaluate_function: MaxPool2DWithIn...         0.00%      62.000us         0.00%       1.648ms     412.000us       0.000us         0.00%      19.405ms       4.851ms           0 b           0 b     192.00 Mb    -592.00 Mb             4            --  
                          MaxPool2DWithIndicesBackward0         0.00%      44.000us         0.00%       1.586ms     396.500us       0.000us         0.00%      19.405ms       4.851ms           0 b           0 b     784.00 Mb           0 b             4            --  
                 aten::max_pool2d_with_indices_backward         0.00%     122.000us         0.00%       1.542ms     385.500us      16.324ms         0.04%      19.405ms       4.851ms           0 b           0 b     784.00 Mb     784.00 Mb             4            --  
                                          aten::resize_         0.00%       1.475ms         0.00%       1.475ms       3.546us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           416            --  
                                         AddmmBackward0         0.00%     185.000us         0.00%       1.029ms     257.250us       0.000us         0.00%      76.000us      19.000us           0 b           0 b     592.00 Kb           0 b             4            --  
                                      aten::as_strided_         0.00%     791.000us         0.00%     791.000us       1.901us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           416            --  
                                 cudaFuncSetCacheConfig         0.00%     716.000us         0.00%     716.000us       1.432us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           500            --  
                                   aten::_reshape_alias         0.00%     673.000us         0.00%     673.000us       1.587us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           424            --  
                                        aten::_neg_view         0.00%     585.000us         0.00%     659.000us       6.337us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           104            --  
                                            aten::zero_         0.00%      27.000us         0.00%     651.000us      54.250us       0.000us         0.00%       3.081ms     256.750us           0 b           0 b           0 b           0 b            12            --  
                                               aten::mm         0.00%     290.000us         0.00%     599.000us      74.875us      76.000us         0.00%      76.000us       9.500us           0 b           0 b     592.00 Kb     592.00 Kb             8         5.243  
                                           aten::linear         0.00%      66.000us         0.00%     592.000us     148.000us       0.000us         0.00%      75.000us      18.750us           0 b           0 b      10.00 Kb           0 b             4            --  
                                        cudaBindTexture         0.00%     572.000us         0.00%     572.000us      10.214us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            56            --  
                                        cudaMemsetAsync         0.00%     556.000us         0.00%     556.000us      19.857us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            28            --  
                                             aten::view         0.00%     521.000us         0.00%     521.000us       3.177us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           164            --  
    autograd::engine::evaluate_function: CloneBackward0         0.00%     459.000us         0.00%     514.000us       9.885us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            52            --  
     autograd::engine::evaluate_function: MeanBackward1         0.00%      40.000us         0.00%     467.000us     116.750us       0.000us         0.00%     100.000us      25.000us           0 b           0 b      24.00 Mb    -512.00 Kb             4            --  
                                            aten::addmm         0.00%     293.000us         0.00%     456.000us     114.000us      75.000us         0.00%      75.000us      18.750us           0 b           0 b      10.00 Kb      10.00 Kb             4         2.621  
                                          MeanBackward1         0.00%      72.000us         0.00%     427.000us     106.750us       0.000us         0.00%     100.000us      25.000us           0 b           0 b      24.50 Mb           0 b             4            --  
                                                aten::t         0.00%     149.000us         0.00%     350.000us      17.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            20            --  
                                  cudaStreamSynchronize         0.00%     340.000us         0.00%     340.000us      28.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            12            --  
                                       aten::max_pool2d         0.00%      33.000us         0.00%     326.000us      81.500us       0.000us         0.00%       6.471ms       1.618ms           0 b           0 b     592.00 Mb           0 b             4            --  
