-----------------------------------------------------------------------------------------------------------------------------
Showing ResNet18_CIFAR10_Conv2dRFFTFunction_date-20240125-063434.pt
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                CudnnBatchNormBackward0         0.00%     708.000us         0.58%     334.397ms       4.180ms       0.000us         0.00%      53.920ms     674.000us           0 b           0 b       2.39 Gb           0 b            80            --  
                        aten::cudnn_batch_norm_backward         0.01%       3.878ms         0.58%     333.689ms       4.171ms      53.920ms         0.19%      53.920ms     674.000us           0 b           0 b       2.39 Gb           0 b            80            --  
                                            aten::randn         0.00%     141.000us         0.58%     331.473ms      41.434ms       0.000us         0.00%       0.000us       0.000us     147.01 Mb           0 b           0 b           0 b             8            --  
                                          aten::normal_         0.58%     330.945ms         0.58%     330.945ms      41.368ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             8            --  
     autograd::engine::evaluate_function: ReluBackward0         0.00%     755.000us         0.56%     320.403ms       4.712ms       0.000us         0.00%      28.901ms     425.015us           0 b           0 b      -2.33 Gb      -4.54 Gb            68            --  
                                          ReluBackward0         0.00%     600.000us         0.56%     319.648ms       4.701ms       0.000us         0.00%      28.901ms     425.015us           0 b           0 b       2.21 Gb           0 b            68            --  
                               aten::threshold_backward         0.00%       1.626ms         0.56%     319.048ms       4.692ms      28.901ms         0.10%      28.901ms     425.015us           0 b           0 b       2.21 Gb       2.21 Gb            68            --  
autograd::engine::evaluate_function: MaxPool2DWithIn...         0.00%      62.000us         0.21%     122.988ms      30.747ms       0.000us         0.00%      19.404ms       4.851ms           0 b           0 b     192.00 Mb    -592.00 Mb             4            --  
                          MaxPool2DWithIndicesBackward0         0.00%      46.000us         0.21%     122.926ms      30.732ms       0.000us         0.00%      19.404ms       4.851ms           0 b           0 b     784.00 Mb           0 b             4            --  
                 aten::max_pool2d_with_indices_backward         0.00%     124.000us         0.21%     122.880ms      30.720ms      16.323ms         0.06%      19.404ms       4.851ms           0 b           0 b     784.00 Mb     784.00 Mb             4            --  
                               Conv2dRFFTPhasorFunction         0.02%      11.461ms         0.15%      85.017ms       1.635ms       0.000us         0.00%        7.278s     139.962ms           0 b           0 b       1.46 Gb    -896.51 Gb            52            --  
                                            aten::zero_         0.00%      31.000us         0.11%      61.298ms       5.108ms       0.000us         0.00%       3.081ms     256.750us           0 b           0 b           0 b           0 b            12            --  
                                            aten::empty         0.03%      18.625ms         0.03%      18.625ms       6.024us       0.000us         0.00%       0.000us       0.000us     147.01 Mb     147.01 Mb      78.15 Gb      78.15 Gb          3092            --  
                                       aten::batch_norm         0.00%     282.000us         0.02%      11.719ms     146.488us       0.000us         0.00%      44.317ms     553.962us           0 b           0 b       3.67 Gb           0 b            80            --  
                           aten::_batch_norm_impl_index         0.00%     633.000us         0.02%      11.437ms     142.963us       0.000us         0.00%      44.317ms     553.962us           0 b           0 b       3.67 Gb           0 b            80            --  
                                 aten::cudnn_batch_norm         0.01%       4.002ms         0.01%       8.114ms     101.425us      32.511ms         0.11%      32.511ms     406.387us           0 b           0 b       2.38 Gb           0 b            80            --  
                                             aten::real         0.00%       2.701ms         0.01%       7.682ms      12.311us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           624            --  
                                       aten::empty_like         0.00%       2.084ms         0.01%       6.401ms      10.668us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      16.76 Gb           0 b           600            --  
                                            aten::slice         0.01%       4.437ms         0.01%       6.015ms       4.627us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1300            --  
                                          aten::resize_         0.01%       5.860ms         0.01%       5.860ms       4.334us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      32.77 Gb      32.77 Gb          1352            --  
                                    aten::empty_strided         0.01%       4.705ms         0.01%       4.705ms       8.844us       0.000us         0.00%       0.000us       0.000us     147.00 Mb     147.00 Mb      16.71 Gb      16.71 Gb           532            --  
                                           aten::narrow         0.00%       1.485ms         0.01%       4.186ms       5.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           728            --  
                                           aten::conv2d         0.00%     281.000us         0.01%       4.066ms     145.214us       0.000us         0.00%      22.377ms     799.179us           0 b           0 b       1.10 Gb           0 b            28    159073.174  
                                      aten::convolution         0.00%     511.000us         0.01%       3.785ms     135.179us       0.000us         0.00%      22.377ms     799.179us           0 b           0 b       1.10 Gb           0 b            28            --  
                                       aten::as_strided         0.01%       3.611ms         0.01%       3.611ms       1.297us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2784            --  
                                     aten::_convolution         0.00%     341.000us         0.01%       3.274ms     116.929us       0.000us         0.00%      22.377ms     799.179us           0 b           0 b       1.10 Gb           0 b            28            --  
                                aten::cudnn_convolution         0.00%       1.642ms         0.01%       2.933ms     104.750us      22.377ms         0.08%      22.377ms     799.179us           0 b           0 b       1.10 Gb       1.10 Gb            28            --  
                                           aten::select         0.00%       2.090ms         0.01%       2.915ms       4.671us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           624            --  
                                       aten::contiguous         0.00%     207.000us         0.00%       2.690ms      51.731us       0.000us         0.00%      11.806ms     227.038us           0 b           0 b       1.28 Gb           0 b            52            --  
                                            aten::relu_         0.00%     872.000us         0.00%       2.358ms      34.676us       0.000us         0.00%      19.110ms     281.029us           0 b           0 b           0 b           0 b            68            --  
                                          aten::reshape         0.00%       1.759ms         0.00%       2.310ms       5.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           420            --  
                                     aten::view_as_real         0.00%       2.066ms         0.00%       2.066ms       3.311us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           624            --  
                                        aten::unsqueeze         0.00%       1.566ms         0.00%       1.984ms       7.631us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           260            --  
                                          aten::permute         0.00%       1.307ms         0.00%       1.764ms       4.240us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           416            --  
                                       aten::clamp_min_         0.00%     707.000us         0.00%       1.486ms      21.853us      19.110ms         0.07%      19.110ms     281.029us           0 b           0 b           0 b           0 b            68            --  
    autograd::engine::evaluate_function: AddmmBackward0         0.00%     122.000us         0.00%     854.000us     213.500us       0.000us         0.00%     102.000us      25.500us           0 b           0 b      82.00 Kb    -512.00 Kb             4            --  
                                            aten::_conj         0.00%     579.000us         0.00%     673.000us       6.471us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           104            --  
                                   aten::_reshape_alias         0.00%     581.000us         0.00%     581.000us       1.370us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           424            --  
                                      aten::as_strided_         0.00%     569.000us         0.00%     569.000us       1.368us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           416            --  
                                        cudaBindTexture         0.00%     565.000us         0.00%     565.000us      10.089us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            56            --  
                                         AddmmBackward0         0.00%     104.000us         0.00%     559.000us     139.750us       0.000us         0.00%      74.000us      18.500us           0 b           0 b     592.00 Kb           0 b             4            --  
                                           aten::linear         0.00%      62.000us         0.00%     538.000us     134.500us       0.000us         0.00%      75.000us      18.750us           0 b           0 b      10.00 Kb           0 b             4            --  
                                        cudaMemsetAsync         0.00%     512.000us         0.00%     512.000us      18.286us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            28            --  
                                 cudaFuncSetCacheConfig         0.00%     492.000us         0.00%     492.000us       0.984us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           500            --  
                                             aten::view         0.00%     418.000us         0.00%     418.000us       2.549us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           164            --  
                                            aten::addmm         0.00%     254.000us         0.00%     415.000us     103.750us      75.000us         0.00%      75.000us      18.750us           0 b           0 b      10.00 Kb      10.00 Kb             4         2.621  
    autograd::engine::evaluate_function: CloneBackward0         0.00%     347.000us         0.00%     389.000us       7.481us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            52            --  
                                  cudaStreamSynchronize         0.00%     330.000us         0.00%     330.000us      27.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            12            --  
                                               aten::mm         0.00%     165.000us         0.00%     318.000us      39.750us      74.000us         0.00%      74.000us       9.250us           0 b           0 b     592.00 Kb     592.00 Kb             8         5.243  
                                       aten::max_pool2d         0.00%      26.000us         0.00%     316.000us      79.000us       0.000us         0.00%       6.497ms       1.624ms           0 b           0 b     592.00 Mb           0 b             4            --  
     autograd::engine::evaluate_function: MeanBackward1         0.00%      26.000us         0.00%     315.000us      78.750us       0.000us         0.00%      97.000us      24.250us           0 b           0 b      24.00 Mb    -512.00 Kb             4            --  
                          aten::max_pool2d_with_indices         0.00%     183.000us         0.00%     290.000us      72.500us       6.497ms         0.02%       6.497ms       1.624ms           0 b           0 b     592.00 Mb     592.00 Mb             4            --  
                                          MeanBackward1         0.00%      51.000us         0.00%     289.000us      72.250us       0.000us         0.00%      97.000us      24.250us           0 b           0 b      24.50 Mb           0 b             4            --  
                              aten::adaptive_avg_pool2d         0.00%      19.000us         0.00%     269.000us      67.250us       0.000us         0.00%     223.000us      55.750us           0 b           0 b     512.00 Kb           0 b             4            --  
      autograd::engine::evaluate_function: AddBackward0         0.00%     223.000us         0.00%     256.000us       8.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            32            --  
                                             aten::mean         0.00%     148.000us         0.00%     250.000us      62.500us     223.000us         0.00%     223.000us      55.750us           0 b           0 b     512.00 Kb     512.00 Kb             4            --  
                                                aten::t         0.00%     111.000us         0.00%     224.000us      11.200us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            20            --  
                                            aten::zeros         0.00%     110.000us         0.00%     207.000us      25.875us       0.000us         0.00%       0.000us       0.000us          32 b           0 b           0 b           0 b             8            --  
                                              aten::div         0.00%     137.000us         0.00%     206.000us      51.500us      97.000us         0.00%      97.000us      24.250us           0 b           0 b      24.50 Mb      24.50 Mb             4            --  
                                        aten::transpose         0.00%      84.000us         0.00%     113.000us       5.650us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            20            --  
                                            aten::alias         0.00%      94.000us         0.00%      94.000us       0.904us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           104            --  
                                           aten::detach         0.00%      44.000us         0.00%      82.000us      20.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
        autograd::engine::evaluate_function: TBackward0         0.00%      24.000us         0.00%      60.000us      15.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
                                          aten::flatten         0.00%      25.000us         0.00%      55.000us      13.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 57.240s
Self CUDA time total: 28.518s

