-----------------------------------------------------------------------------------------------------------------------------
Showing VGG16_CIFAR10_Conv2dRFFTFunction_date-20240125-062929.pt
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::add         0.01%       4.587ms         0.09%      39.538ms     190.087us        1.669s         7.56%        1.669s       8.024ms           0 b           0 b     177.10 Gb     177.10 Gb           208       491.560  
     autograd::engine::evaluate_function: ReluBackward0         0.00%     791.000us         0.08%      37.142ms     619.033us       0.000us         0.00%      10.114ms     168.567us           0 b           0 b    -861.62 Mb      -1.66 Gb            60            --  
                                          ReluBackward0         0.00%     575.000us         0.08%      36.351ms     605.850us       0.000us         0.00%      10.114ms     168.567us           0 b           0 b     842.55 Mb           0 b            60            --  
                               aten::threshold_backward         0.00%       1.489ms         0.08%      35.776ms     596.267us      10.114ms         0.05%      10.114ms     168.567us           0 b           0 b     842.55 Mb     842.55 Mb            60            --  
                                            aten::randn         0.00%     115.000us         0.06%      27.600ms       3.450ms       0.000us         0.00%       0.000us       0.000us       9.19 Mb           0 b           0 b           0 b             8            --  
                                          aten::normal_         0.06%      27.207ms         0.06%      27.207ms       3.401ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             8            --  
                                            aten::empty         0.06%      24.718ms         0.06%      24.718ms       9.114us       0.000us         0.00%       0.000us       0.000us       9.19 Mb       9.19 Mb     360.06 Gb     360.06 Gb          2712            --  
                                            aten::zero_         0.00%     181.000us         0.04%      17.793ms     556.031us       0.000us         0.00%       1.470ms      45.938us           0 b           0 b           0 b           0 b            32            --  
                                             aten::real         0.01%       3.447ms         0.02%       9.948ms      15.942us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           624            --  
                                       aten::empty_like         0.01%       2.382ms         0.02%       8.927ms      15.717us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      62.63 Gb           0 b           568            --  
                                            aten::slice         0.02%       6.621ms         0.02%       8.557ms       6.582us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1300            --  
                                          aten::resize_         0.02%       8.213ms         0.02%       8.213ms       6.057us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     154.23 Gb     154.23 Gb          1356            --  
                                       aten::batch_norm         0.00%     223.000us         0.02%       7.370ms     141.731us       0.000us         0.00%      11.818ms     227.269us           0 b           0 b     851.26 Mb           0 b            52            --  
                           aten::_batch_norm_impl_index         0.00%     303.000us         0.02%       7.147ms     137.442us       0.000us         0.00%      11.818ms     227.269us           0 b           0 b     851.26 Mb           0 b            52            --  
                                 aten::cudnn_batch_norm         0.01%       3.199ms         0.02%       6.844ms     131.615us      11.818ms         0.05%      11.818ms     227.269us           0 b           0 b     851.26 Mb           0 b            52            --  
                                    aten::empty_strided         0.01%       5.753ms         0.01%       5.753ms      10.498us       0.000us         0.00%       0.000us       0.000us       9.19 Mb       9.19 Mb      91.36 Gb      91.36 Gb           548            --  
                                           aten::narrow         0.00%       1.795ms         0.01%       5.369ms       7.375us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           728            --  
                                       aten::as_strided         0.01%       4.497ms         0.01%       4.497ms       1.559us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2884            --  
                                           aten::select         0.01%       2.574ms         0.01%       3.657ms       5.861us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           624            --  
    autograd::engine::evaluate_function: AddmmBackward0         0.00%     484.000us         0.01%       3.204ms     267.000us       0.000us         0.00%      16.101ms       1.342ms           0 b           0 b       1.78 Gb      -2.53 Mb            12            --  
                                          aten::reshape         0.01%       2.331ms         0.01%       3.150ms       6.674us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           472            --  
                                     aten::view_as_real         0.01%       2.844ms         0.01%       2.844ms       4.558us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           624            --  
                                            aten::relu_         0.00%     881.000us         0.01%       2.453ms      40.883us       0.000us         0.00%       6.908ms     115.133us           0 b           0 b           0 b           0 b            60            --  
                                        aten::unsqueeze         0.00%       1.745ms         0.01%       2.219ms       8.535us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           260            --  
                                          aten::permute         0.00%       1.640ms         0.00%       2.177ms       5.233us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           416            --  
                                         AddmmBackward0         0.00%     399.000us         0.00%       2.004ms     167.000us       0.000us         0.00%      16.009ms       1.334ms           0 b           0 b       1.78 Gb           0 b            12            --  
                                           aten::linear         0.00%     167.000us         0.00%       1.615ms     134.583us       0.000us         0.00%      23.736ms       1.978ms           0 b           0 b     514.00 Kb           0 b            12            --  
                                       aten::clamp_min_         0.00%     803.000us         0.00%       1.572ms      26.200us       6.908ms         0.03%       6.908ms     115.133us           0 b           0 b           0 b           0 b            60            --  
                                            aten::addmm         0.00%     717.000us         0.00%       1.269ms     105.750us      23.736ms         0.11%      23.736ms       1.978ms           0 b           0 b     514.00 Kb     514.00 Kb            12      3826.516  
                                               aten::mm         0.00%     600.000us         0.00%       1.173ms      48.875us      16.009ms         0.07%      16.009ms     667.042us           0 b           0 b       1.78 Gb       1.78 Gb            24      7653.032  
                                       aten::max_pool2d         0.00%     138.000us         0.00%       1.157ms      57.850us       0.000us         0.00%       2.869ms     143.450us           0 b           0 b     282.62 Mb           0 b            20            --  
                          aten::max_pool2d_with_indices         0.00%     726.000us         0.00%       1.019ms      50.950us       2.869ms         0.01%       2.869ms     143.450us           0 b           0 b     282.62 Mb     282.62 Mb            20            --  
                                   aten::_reshape_alias         0.00%     848.000us         0.00%     848.000us       1.782us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           476            --  
                                            aten::_conj         0.00%     694.000us         0.00%     807.000us       7.760us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           104            --  
                                                aten::t         0.00%     330.000us         0.00%     751.000us      12.517us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            60            --  
                                      aten::as_strided_         0.00%     702.000us         0.00%     702.000us       1.688us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           416            --  
                                 cudaFuncSetCacheConfig         0.00%     634.000us         0.00%     634.000us       1.524us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           416            --  
                                          aten::dropout         0.00%      38.000us         0.00%     630.000us      78.750us       0.000us         0.00%      37.000us       4.625us           0 b           0 b     640.00 Kb           0 b             8            --  
                                   aten::native_dropout         0.00%     212.000us         0.00%     592.000us      74.000us      37.000us         0.00%      37.000us       4.625us           0 b           0 b     640.00 Kb           0 b             8            --  
autograd::engine::evaluate_function: NativeDropoutBa...         0.00%      93.000us         0.00%     569.000us      71.125us       0.000us         0.00%      11.000us       1.375us           0 b           0 b    -128.00 Kb    -640.00 Kb             8            --  
                                 NativeDropoutBackward0         0.00%      60.000us         0.00%     476.000us      59.500us       0.000us         0.00%      11.000us       1.375us           0 b           0 b     512.00 Kb           0 b             8            --  
autograd::engine::evaluate_function: AdaptiveAvgPool...         0.00%      51.000us         0.00%     457.000us     114.250us       0.000us         0.00%     115.000us      28.750us           0 b           0 b      -1.53 Mb      -3.06 Mb             4            --  
                                        aten::transpose         0.00%     280.000us         0.00%     421.000us       7.017us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            60            --  
                          aten::native_dropout_backward         0.00%     157.000us         0.00%     416.000us      52.000us      11.000us         0.00%      11.000us       1.375us           0 b           0 b     512.00 Kb           0 b             8            --  
                             AdaptiveAvgPool2DBackward0         0.00%      23.000us         0.00%     406.000us     101.500us       0.000us         0.00%     115.000us      28.750us           0 b           0 b       1.53 Mb           0 b             4            --  
                    aten::_adaptive_avg_pool2d_backward         0.00%      86.000us         0.00%     383.000us      95.750us     107.000us         0.00%     115.000us      28.750us           0 b           0 b       1.53 Mb           0 b             4            --  
                                             aten::view         0.00%     349.000us         0.00%     349.000us       3.009us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           116            --  
                                     cudaGetErrorString         0.00%     347.000us         0.00%     347.000us       0.293us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1184            --  
                                        cudaMemsetAsync         0.00%     283.000us         0.00%     283.000us      23.583us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            12            --  
        autograd::engine::evaluate_function: TBackward0         0.00%     106.000us         0.00%     281.000us      23.417us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            12            --  
                              aten::adaptive_avg_pool2d         0.00%      18.000us         0.00%     280.000us      70.000us       0.000us         0.00%     154.000us      38.500us           0 b           0 b       1.53 Mb           0 b             4            --  
                             aten::_adaptive_avg_pool2d         0.00%      88.000us         0.00%     262.000us      65.500us     154.000us         0.00%     154.000us      38.500us           0 b           0 b       1.53 Mb           0 b             4            --  
                                       aten::zeros_like         0.00%      28.000us         0.00%     222.000us      55.500us       0.000us         0.00%       8.000us       2.000us           0 b           0 b       1.53 Mb           0 b             4            --  
                                  cudaStreamSynchronize         0.00%     199.000us         0.00%     199.000us      16.583us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            12            --  
                                            aten::zeros         0.00%      89.000us         0.00%     182.000us      22.750us       0.000us         0.00%       0.000us       0.000us          32 b           0 b           0 b           0 b             8            --  
                                             TBackward0         0.00%      35.000us         0.00%     175.000us      14.583us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            12            --  
                                            aten::alias         0.00%     113.000us         0.00%     113.000us       1.087us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           104            --  
autograd::engine::evaluate_function: ReshapeAliasBac...         0.00%      27.000us         0.00%      90.000us      22.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
                                           aten::expand         0.00%      66.000us         0.00%      89.000us       5.562us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            16            --  
                                           aten::detach         0.00%      35.000us         0.00%      89.000us      22.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
                                  ReshapeAliasBackward0         0.00%      19.000us         0.00%      63.000us      15.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 44.077s
Self CUDA time total: 22.077s

