-----------------------------------------------------------------------------------------------------------------------------
Showing VGG16_CIFAR10_Conv2dRFFTFunction_date-20240125-062929.pt
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                               aten::threshold_backward         0.00%       1.568ms         0.22%     123.777ms       2.063ms      10.112ms         0.04%      10.112ms     168.533us           0 b           0 b     842.78 Mb     842.78 Mb            60            --  
                                       aten::contiguous         0.00%      59.000us         0.22%     119.555ms       5.978ms       0.000us         0.00%     859.000us      42.950us           0 b           0 b     104.59 Mb           0 b            20            --  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.00%       1.130ms         0.16%      88.373ms       1.699ms       0.000us         0.00%      17.397ms     334.558us           0 b           0 b    -830.48 Mb      -1.64 Gb            52            --  
                                     Conv2dRFFTFunction         0.02%      13.547ms         0.16%      88.111ms       1.694ms       0.000us         0.00%       10.208s     196.311ms           0 b           0 b     832.22 Mb    -619.90 Gb            52            --  
                                CudnnBatchNormBackward0         0.00%     556.000us         0.16%      87.243ms       1.678ms       0.000us         0.00%      17.397ms     334.558us           0 b           0 b     844.15 Mb           0 b            52            --  
                        aten::cudnn_batch_norm_backward         0.01%       2.779ms         0.16%      86.687ms       1.667ms      17.397ms         0.06%      17.397ms     334.558us           0 b           0 b     844.15 Mb           0 b            52            --  
                                              aten::pad         0.00%     562.000us         0.08%      43.557ms     418.817us       0.000us         0.00%      15.994ms     153.788us           0 b           0 b       1.15 Gb           0 b           104            --  
                                            aten::randn         0.00%     107.000us         0.06%      30.828ms       3.853ms       0.000us         0.00%       0.000us       0.000us       9.19 Mb           0 b           0 b           0 b             8            --  
                                          aten::normal_         0.05%      30.276ms         0.05%      30.276ms       3.784ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             8            --  
                                            aten::empty         0.03%      16.170ms         0.03%      16.170ms       9.105us       0.000us         0.00%       0.000us       0.000us       9.19 Mb       9.19 Mb     360.06 Gb     360.06 Gb          1776            --  
                                       aten::batch_norm         0.00%     212.000us         0.01%       7.173ms     137.942us       0.000us         0.00%      11.793ms     226.788us           0 b           0 b     846.90 Mb           0 b            52            --  
                           aten::_batch_norm_impl_index         0.00%     303.000us         0.01%       6.961ms     133.865us       0.000us         0.00%      11.793ms     226.788us           0 b           0 b     846.90 Mb           0 b            52            --  
                                 aten::cudnn_batch_norm         0.01%       3.077ms         0.01%       6.658ms     128.038us      11.793ms         0.04%      11.793ms     226.788us           0 b           0 b     846.90 Mb           0 b            52            --  
