-----------------------------------------------------------------------------------------------------------------------------
Showing DenseNet121_CIFAR10_Conv2dRFFTFunction_date-20240125-063411.pt
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total KFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ReluBackward0         0.00%       1.989ms         0.33%     178.337ms     368.465us       0.000us         0.00%      24.629ms      50.886us           0 b           0 b       1.96 Gb           0 b           484            --  
                               aten::threshold_backward         0.01%       6.114ms         0.33%     176.348ms     364.355us      24.629ms         0.08%      24.629ms      50.886us           0 b           0 b       1.96 Gb       1.96 Gb           484            --  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.01%       5.313ms         0.29%     156.672ms     323.702us       0.000us         0.00%      37.146ms      76.748us           0 b           0 b      -1.95 Gb      -3.85 Gb           484            --  
                                              aten::cat         0.01%       5.929ms         0.29%     154.398ms     622.573us      15.368ms         0.05%      15.368ms      61.968us           0 b           0 b       1.28 Gb       1.28 Gb           248            --  
                                CudnnBatchNormBackward0         0.00%       2.279ms         0.28%     151.359ms     312.725us       0.000us         0.00%      37.146ms      76.748us           0 b           0 b       1.90 Gb           0 b           484            --  
                                            aten::relu_         0.01%       4.135ms         0.28%     151.192ms     312.380us       0.000us         0.00%      14.211ms      29.362us           0 b           0 b           0 b           0 b           484            --  
                        aten::cudnn_batch_norm_backward         0.02%      10.884ms         0.28%     149.080ms     308.017us      37.146ms         0.11%      37.146ms      76.748us           0 b           0 b       1.90 Gb           0 b           484            --  
                                       aten::clamp_min_         0.01%       3.779ms         0.27%     147.057ms     303.837us      14.211ms         0.04%      14.211ms      29.362us           0 b           0 b           0 b           0 b           484            --  
                                            aten::empty         0.19%     100.210ms         0.19%     100.210ms       4.236us       0.000us         0.00%       0.000us       0.000us      18.38 Mb      18.38 Mb     336.48 Gb     336.48 Gb         23656            --  
                                             aten::real         0.03%      15.514ms         0.08%      45.434ms       7.954us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          5712            --  
                                          aten::resize_         0.07%      38.147ms         0.07%      38.147ms       3.082us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     145.93 Gb     145.93 Gb         12376            --  
                                       aten::empty_like         0.02%      10.232ms         0.06%      34.025ms       7.136us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      60.25 Gb           0 b          4768            --  
                                    aten::empty_strided         0.05%      29.216ms         0.05%      29.216ms       5.554us       0.000us         0.00%       0.000us       0.000us      18.38 Mb      18.38 Mb      86.04 Gb      86.04 Gb          5260            --  
                                            aten::slice         0.04%      21.154ms         0.05%      28.880ms       2.652us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         10888            --  
                                            aten::randn         0.00%      84.000us         0.05%      26.986ms       3.373ms       0.000us         0.00%       0.000us       0.000us      18.38 Mb           0 b           0 b           0 b             8            --  
                                          aten::normal_         0.05%      25.711ms         0.05%      25.711ms       3.214ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             8            --  
                                           aten::narrow         0.01%       7.251ms         0.04%      23.241ms       3.506us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          6628            --  
                                       aten::as_strided         0.04%      20.007ms         0.04%      20.007ms       0.825us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         24244            --  
                                           aten::select         0.02%      11.412ms         0.03%      16.793ms       2.940us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          5712            --  
                                     aten::view_as_real         0.02%      13.127ms         0.02%      13.127ms       2.298us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          5712            --  
                                          aten::reshape         0.02%       8.437ms         0.02%      11.504ms       3.018us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3812            --  
autograd::engine::evaluate_function: ConvolutionBack...         0.00%      27.000us         0.02%      11.112ms       2.778ms       0.000us         0.00%      13.759ms       3.440ms           0 b           0 b     -77.86 Mb     -98.00 Mb             4            --  
                                   ConvolutionBackward0         0.00%      31.000us         0.02%      11.085ms       2.771ms       0.000us         0.00%      13.759ms       3.440ms           0 b           0 b      20.14 Mb           0 b             4            --  
                             aten::convolution_backward         0.00%     340.000us         0.02%      11.054ms       2.764ms      13.759ms         0.04%      13.759ms       3.440ms           0 b           0 b      20.14 Mb      19.86 Mb             4            --  
                                        aten::unsqueeze         0.02%       8.209ms         0.02%      10.827ms       4.549us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2380            --  
                                          aten::permute         0.01%       7.815ms         0.02%      10.576ms       2.777us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3808            --  
                                           CatBackward0         0.00%       2.677ms         0.02%      10.300ms      41.532us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           248            --  
                                       aten::avg_pool2d         0.00%     197.000us         0.01%       3.755ms     312.917us     711.000us         0.00%     711.000us      59.250us           0 b           0 b      21.44 Mb      21.44 Mb            12            --  
                                            aten::_conj         0.00%       2.645ms         0.01%       3.212ms       3.374us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           952            --  
                                   aten::_reshape_alias         0.01%       3.085ms         0.01%       3.085ms       0.808us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3816            --  
                                      aten::as_strided_         0.01%       2.758ms         0.01%       2.758ms       0.724us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -3.61 Gb      -3.61 Gb          3808            --  
                                            aten::alias         0.00%       1.894ms         0.00%       1.894ms       1.315us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1440            --  
                                             aten::view         0.00%       1.347ms         0.00%       1.347ms       1.386us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           972            --  
autograd::engine::evaluate_function: AvgPool2DBackwa...         0.00%     108.000us         0.00%       1.063ms      88.583us       0.000us         0.00%       2.103ms     175.250us           0 b           0 b     -19.62 Mb    -110.62 Mb            12            --  
                                     AvgPool2DBackward0         0.00%      51.000us         0.00%     955.000us      79.583us       0.000us         0.00%       2.103ms     175.250us           0 b           0 b      91.00 Mb           0 b            12            --  
                              aten::avg_pool2d_backward         0.00%     132.000us         0.00%     904.000us      75.333us       2.103ms         0.01%       2.103ms     175.250us           0 b           0 b      91.00 Mb      91.00 Mb            12            --  
                                 cudaFuncSetCacheConfig         0.00%     827.000us         0.00%     827.000us       0.176us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          4704            --  
    autograd::engine::evaluate_function: AddmmBackward0         0.00%     130.000us         0.00%     651.000us     162.750us       0.000us         0.00%     102.000us      25.500us           0 b           0 b     162.00 Kb    -128.00 Kb             4            --  
                                           aten::conv2d         0.00%      28.000us         0.00%     545.000us     136.250us       0.000us         0.00%       1.275ms     318.750us           0 b           0 b      98.00 Mb           0 b             4   7552892.928  
                                      aten::convolution         0.00%      62.000us         0.00%     517.000us     129.250us       0.000us         0.00%       1.275ms     318.750us           0 b           0 b      98.00 Mb           0 b             4            --  
                                     aten::_convolution         0.00%      41.000us         0.00%     455.000us     113.750us       0.000us         0.00%       1.275ms     318.750us           0 b           0 b      98.00 Mb           0 b             4            --  
                                    cudaPeekAtLastError         0.00%     452.000us         0.00%     452.000us       0.094us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          4832            --  
                                aten::cudnn_convolution         0.00%     241.000us         0.00%     414.000us     103.500us       1.275ms         0.00%       1.275ms     318.750us           0 b           0 b      98.00 Mb      97.71 Mb             4            --  
                                         AddmmBackward0         0.00%      75.000us         0.00%     398.000us      99.500us       0.000us         0.00%      73.000us      18.250us           0 b           0 b     288.00 Kb           0 b             4            --  
                                           aten::linear         0.00%      35.000us         0.00%     329.000us      82.250us       0.000us         0.00%     111.000us      27.750us           0 b           0 b       2.00 Kb           0 b             4            --  
                                            aten::addmm         0.00%     170.000us         0.00%     254.000us      63.500us     111.000us         0.00%     111.000us      27.750us           0 b           0 b       2.00 Kb       2.00 Kb             4       655.360  
                                  cudaStreamSynchronize         0.00%     253.000us         0.00%     253.000us      21.083us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            12            --  
                                               aten::mm         0.00%     126.000us         0.00%     236.000us      29.500us      73.000us         0.00%      73.000us       9.125us           0 b           0 b     288.00 Kb     288.00 Kb             8      1310.720  
autograd::engine::evaluate_function: MaxPool2DWithIn...         0.00%      32.000us         0.00%     212.000us      53.000us       0.000us         0.00%       2.473ms     618.250us           0 b           0 b      24.50 Mb     -73.50 Mb             4            --  
     autograd::engine::evaluate_function: MeanBackward1         0.00%      21.000us         0.00%     209.000us      52.250us       0.000us         0.00%      28.000us       7.000us           0 b           0 b       6.00 Mb    -128.00 Kb             4            --  
                                          MeanBackward1         0.00%      30.000us         0.00%     188.000us      47.000us       0.000us         0.00%      28.000us       7.000us           0 b           0 b       6.12 Mb           0 b             4            --  
                          MaxPool2DWithIndicesBackward0         0.00%      21.000us         0.00%     180.000us      45.000us       0.000us         0.00%       2.473ms     618.250us           0 b           0 b      98.00 Mb           0 b             4            --  
                                       aten::max_pool2d         0.00%      19.000us         0.00%     169.000us      42.250us       0.000us         0.00%     839.000us     209.750us           0 b           0 b      73.50 Mb           0 b             4            --  
                 aten::max_pool2d_with_indices_backward         0.00%      68.000us         0.00%     159.000us      39.750us       2.086ms         0.01%       2.473ms     618.250us           0 b           0 b      98.00 Mb      98.00 Mb             4            --  
                              aten::adaptive_avg_pool2d         0.00%      14.000us         0.00%     153.000us      38.250us       0.000us         0.00%      64.000us      16.000us           0 b           0 b     128.00 Kb           0 b             4            --  
                          aten::max_pool2d_with_indices         0.00%     112.000us         0.00%     150.000us      37.500us     839.000us         0.00%     839.000us     209.750us           0 b           0 b      73.50 Mb      73.50 Mb             4            --  
                                                aten::t         0.00%      73.000us         0.00%     147.000us       7.350us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            20            --  
                                             aten::mean         0.00%      96.000us         0.00%     139.000us      34.750us      64.000us         0.00%      64.000us      16.000us           0 b           0 b     128.00 Kb     128.00 Kb             4            --  
                                              aten::div         0.00%      89.000us         0.00%     130.000us      32.500us      28.000us         0.00%      28.000us       7.000us           0 b           0 b       6.12 Mb       6.12 Mb             4            --  
                                            aten::zeros         0.00%      46.000us         0.00%      80.000us      10.000us       0.000us         0.00%       0.000us       0.000us          32 b           0 b           0 b           0 b             8            --  
                                        aten::transpose         0.00%      47.000us         0.00%      74.000us       3.700us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            20            --  
                                            aten::zero_         0.00%      18.000us         0.00%      64.000us       5.333us       0.000us         0.00%     387.000us      32.250us           0 b           0 b           0 b           0 b            12            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 53.905s
Self CUDA time total: 32.385s

