-----------------------------------------------------------------------------------------------------------------------------
Showing DenseNet121_CIFAR10_Conv2dRFFTFunction_date-20240125-063411.pt
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total KFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::clamp_min_         0.01%       3.927ms         1.30%     927.163ms       1.916ms      14.228ms         0.03%      14.228ms      29.397us           0 b           0 b           0 b           0 b           484            --  
autograd::engine::evaluate_function: torch::autograd...         0.01%       5.585ms         1.01%     725.532ms     496.940us       0.000us         0.00%      11.190ms       7.664us           0 b           0 b     -24.31 Gb           0 b          1460            --  
                        torch::autograd::AccumulateGrad         0.01%       6.251ms         1.01%     719.947ms     493.114us       0.000us         0.00%      11.190ms       7.664us           0 b           0 b     -24.31 Gb     -24.31 Gb          1460            --  
                                       aten::batch_norm         0.00%       1.121ms         0.86%     615.637ms       1.272ms       0.000us         0.00%      26.252ms      54.240us           0 b           0 b       1.90 Gb           0 b           484            --  
                           aten::_batch_norm_impl_index         0.00%       1.578ms         0.86%     614.516ms       1.270ms       0.000us         0.00%      26.252ms      54.240us           0 b           0 b       1.90 Gb           0 b           484            --  
                                 aten::cudnn_batch_norm         0.02%      16.353ms         0.86%     612.938ms       1.266ms      26.252ms         0.06%      26.252ms      54.240us           0 b           0 b       1.90 Gb           0 b           484            --  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.01%       5.440ms         0.42%     301.469ms     622.870us       0.000us         0.00%      37.147ms      76.750us           0 b           0 b      -1.94 Gb      -3.85 Gb           484            --  
                                CudnnBatchNormBackward0         0.00%       2.220ms         0.41%     296.029ms     611.630us       0.000us         0.00%      37.147ms      76.750us           0 b           0 b       1.90 Gb           0 b           484            --  
                        aten::cudnn_batch_norm_backward         0.02%      11.307ms         0.41%     293.809ms     607.043us      37.147ms         0.09%      37.147ms      76.750us           0 b           0 b       1.90 Gb           0 b           484            --  
     autograd::engine::evaluate_function: ReluBackward0         0.01%       3.823ms         0.40%     282.969ms     584.647us       0.000us         0.00%      24.621ms      50.870us           0 b           0 b      -1.93 Gb      -3.88 Gb           484            --  
                                          ReluBackward0         0.00%       2.054ms         0.39%     279.146ms     576.748us       0.000us         0.00%      24.621ms      50.870us           0 b           0 b       1.95 Gb           0 b           484            --  
                               aten::threshold_backward         0.01%       6.357ms         0.39%     277.092ms     572.504us      24.621ms         0.06%      24.621ms      50.870us           0 b           0 b       1.95 Gb       1.95 Gb           484            --  
                                              aten::cat         0.01%       5.548ms         0.34%     239.975ms     967.641us      15.378ms         0.04%      15.378ms      62.008us           0 b           0 b       1.28 Gb       1.28 Gb           248            --  
                                            aten::empty         0.10%      71.288ms         0.10%      71.288ms       4.725us       0.000us         0.00%       0.000us       0.000us      18.38 Mb      18.38 Mb     336.48 Gb     336.48 Gb         15088            --  
                                             aten::real         0.01%       8.500ms         0.05%      33.970ms      11.894us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2856            --  
                                             aten::imag         0.01%       8.621ms         0.04%      31.607ms      11.067us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2856            --  
                                            aten::randn         0.00%      57.000us         0.04%      29.896ms       3.737ms       0.000us         0.00%       0.000us       0.000us      18.38 Mb           0 b           0 b           0 b             8            --  
                                          aten::normal_         0.04%      29.559ms         0.04%      29.559ms       3.695ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             8            --  
                                       aten::empty_like         0.01%       9.812ms         0.04%      29.505ms       7.732us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      58.25 Gb           0 b          3816            --  
                                            aten::slice         0.03%      20.959ms         0.04%      28.875ms       2.652us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         10888            --  
                                           aten::select         0.03%      19.414ms         0.03%      23.688ms       4.147us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          5712            --  
                                           aten::narrow         0.01%       7.116ms         0.03%      23.190ms       3.499us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          6628            --  
                                       aten::as_strided         0.03%      18.961ms         0.03%      18.961ms       0.782us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         24244            --  
                                     aten::view_as_real         0.02%      17.434ms         0.02%      17.434ms       3.052us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          5712            --  
                                    aten::empty_strided         0.02%      14.586ms         0.02%      14.586ms       6.067us       0.000us         0.00%       0.000us       0.000us      18.38 Mb      18.38 Mb      29.73 Gb      29.73 Gb          2404            --  
